"","x"
"1","PGSC0003DMG400001283"
"2","PGSC0003DMG400020638"
"3","PGSC0003DMG400027194"
"4","PGSC0003DMG400012847"
"5","PGSC0003DMG400027631"
"6","PGSC0003DMG400019276"
"7","PGSC0003DMG400009466"
"8","PGSC0003DMG401011372"
"9","PGSC0003DMG400008420"
"10","Novel02695"
"11","PGSC0003DMG400013167"
"12","Novel00900"
"13","PGSC0003DMG400011406"
"14","PGSC0003DMG400023728"
"15","PGSC0003DMG400021026"
"16","Novel02216"
"17","PGSC0003DMG401008471"
"18","PGSC0003DMG400023327"
"19","Novel01727"
"20","PGSC0003DMG401019681"
"21","Novel03555"
"22","PGSC0003DMG400000716"
"23","PGSC0003DMG400039789"
"24","PGSC0003DMG400025836"
"25","PGSC0003DMG400013816"
"26","PGSC0003DMG400000601"
"27","Novel01816"
"28","PGSC0003DMG400030692"
"29","PGSC0003DMG400029617"
"30","PGSC0003DMG400008702"
"31","PGSC0003DMG401011536"
"32","Novel00078"
"33","PGSC0003DMG401021514"
"34","PGSC0003DMG401025892"
"35","PGSC0003DMG400042481"
"36","PGSC0003DMG400022578"
"37","PGSC0003DMG400030582"
"38","PGSC0003DMG400043507"
"39","PGSC0003DMG400009565"
"40","PGSC0003DMG400017330"
"41","Novel00312"
"42","PGSC0003DMG400005170"
"43","Novel02692"
"44","PGSC0003DMG400010310"
"45","Novel00009"
"46","PGSC0003DMG400010067"
"47","Novel03041"
"48","Novel00024"
"49","PGSC0003DMG400027289"
"50","PGSC0003DMG400032817"
"51","PGSC0003DMG400011029"
"52","PGSC0003DMG400011096"
"53","PGSC0003DMG402028848"
"54","PGSC0003DMG400007467"
"55","Novel01140"
"56","PGSC0003DMG400030548"
"57","PGSC0003DMG400021857"
"58","PGSC0003DMG400025028"
"59","PGSC0003DMG400033043"
"60","PGSC0003DMG401015682"
"61","PGSC0003DMG400001627"
"62","PGSC0003DMG400005620"
"63","PGSC0003DMG400002515"
"64","PGSC0003DMG401031070"
"65","PGSC0003DMG400012118"
"66","PGSC0003DMG400026077"
"67","Novel03422"
"68","PGSC0003DMG400027333"
"69","PGSC0003DMG400011848"
