GO_acc,term_type,Term,queryitem,querytotal,bgitem,bgtotal,pvalue,FDR,entries
GO:0055114,P,oxidation reduction,14,71,203,37767,4.90E-18,8.40E-16,// Cluster-67248.85825 // Cluster-67248.86976 // Cluster-67248.21632 // Cluster-67248.100189 // Cluster-67248.84604 // Cluster-67248.91693 // Cluster-67248.89076 // Cluster-67248.96569 // Cluster-67248.102286 // Cluster-67248.41890 // Cluster-67248.94495 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0008152,P,metabolic process,43,71,10614,37767,1.20E-08,1.00E-06,// Cluster-67248.84604 // Cluster-67248.97235 // Cluster-67248.21632 // Cluster-67248.116648 // Cluster-67248.102459 // Cluster-67248.94338 // Cluster-67248.75640 // Cluster-67248.132953 // Cluster-67248.88518 // Cluster-67248.131901 // Cluster-67248.151551 // Cluster-67248.80974 // Cluster-67248.100189 // Cluster-67248.96569 // Cluster-67248.41890 // Cluster-67248.107469 // Cluster-67248.145082 // Cluster-67248.85825 // Cluster-67248.96255 // Cluster-67248.149503 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.102286 // Cluster-67248.41201 // Cluster-67248.91693 // Cluster-67248.84245 // Cluster-67248.110524 // Cluster-67248.6264 // Cluster-67248.75172 // Cluster-67248.101576 // Cluster-67248.101001 // Cluster-67248.110527 // Cluster-67248.96566 // Cluster-67248.65001 // Cluster-67248.98484 // Cluster-67248.68063 // Cluster-67248.82896 // Cluster-67248.89076 // Cluster-67248.102077 // Cluster-67248.76854 // Cluster-67248.94495 // Cluster-67248.99225 // Cluster-67248.82530 
GO:0006725,P,cellular aromatic compound metabolic process,9,71,399,37767,7.50E-08,4.30E-06,// Cluster-67248.80974 // Cluster-67248.96255 // Cluster-67248.86976 // Cluster-67248.102459 // Cluster-67248.149503 // Cluster-67248.100189 // Cluster-67248.41890 // Cluster-67248.101576 // Cluster-67248.101001 
GO:0046483,P,heterocycle metabolic process,9,71,460,37767,2.40E-07,1.00E-05,// Cluster-67248.80974 // Cluster-67248.96255 // Cluster-67248.86976 // Cluster-67248.102459 // Cluster-67248.149503 // Cluster-67248.100189 // Cluster-67248.41890 // Cluster-67248.101576 // Cluster-67248.101001 
GO:0006629,P,lipid metabolic process,11,71,841,37767,5.30E-07,1.80E-05,// Cluster-67248.21632 // Cluster-67248.75172 // Cluster-67248.92938 // Cluster-67248.102459 // Cluster-67248.94338 // Cluster-67248.41201 // Cluster-67248.102077 // Cluster-67248.41890 // Cluster-67248.94495 // Cluster-67248.96566 // Cluster-67248.99225 
GO:0009987,P,cellular process,42,71,11684,37767,8.70E-07,2.50E-05,// Cluster-67248.149503 // Cluster-67248.74369 // Cluster-67248.21632 // Cluster-67248.116648 // Cluster-67248.102459 // Cluster-67248.84604 // Cluster-67248.132953 // Cluster-67248.131901 // Cluster-67248.151551 // Cluster-67248.80974 // Cluster-67248.75172 // Cluster-67248.121974 // Cluster-67248.100189 // Cluster-67248.96569 // Cluster-67248.115845 // Cluster-67248.41890 // Cluster-67248.107469 // Cluster-67248.145082 // Cluster-67248.56573 // Cluster-67248.85825 // Cluster-67248.96255 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.41201 // Cluster-67248.91693 // Cluster-67248.6264 // Cluster-67248.63364 // Cluster-67248.101576 // Cluster-67248.101001 // Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.65001 // Cluster-67248.98484 // Cluster-67248.68063 // Cluster-67248.82896 // Cluster-67248.89076 // Cluster-67248.115833 // Cluster-67248.102077 // Cluster-67248.76854 // Cluster-67248.94495 // Cluster-67248.99225 // Cluster-67248.82530 
GO:0008610,P,lipid biosynthetic process,7,71,439,37767,2.10E-05,0.00051,// Cluster-67248.21632 // Cluster-67248.92938 // Cluster-67248.102077 // Cluster-67248.41890 // Cluster-67248.94495 // Cluster-67248.75172 // Cluster-67248.99225 
GO:0042592,P,homeostatic process,5,71,216,37767,6.20E-05,0.0012,// Cluster-67248.85825 // Cluster-67248.107469 // Cluster-67248.149503 // Cluster-67248.91693 // Cluster-67248.89076 
GO:0009308,P,amine metabolic process,7,71,521,37767,6.10E-05,0.0012,// Cluster-67248.21632 // Cluster-67248.86976 // Cluster-67248.116648 // Cluster-67248.100189 // Cluster-67248.102077 // Cluster-67248.41890 // Cluster-67248.101001 
GO:0055086,P,"nucleobase, nucleoside and nucleotide metabolic process",5,71,221,37767,6.90E-05,0.0012,// Cluster-67248.102459 // Cluster-67248.96255 // Cluster-67248.101576 // Cluster-67248.86976 // Cluster-67248.80974 
GO:0044237,P,cellular metabolic process,31,71,8722,37767,0.0001,0.0016,// Cluster-67248.149503 // Cluster-67248.116648 // Cluster-67248.102459 // Cluster-67248.132953 // Cluster-67248.131901 // Cluster-67248.151551 // Cluster-67248.80974 // Cluster-67248.100189 // Cluster-67248.96569 // Cluster-67248.41890 // Cluster-67248.145082 // Cluster-67248.21632 // Cluster-67248.96255 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.41201 // Cluster-67248.6264 // Cluster-67248.75172 // Cluster-67248.101576 // Cluster-67248.101001 // Cluster-67248.110527 // Cluster-67248.110524 // Cluster-67248.65001 // Cluster-67248.98484 // Cluster-67248.68063 // Cluster-67248.82896 // Cluster-67248.102077 // Cluster-67248.76854 // Cluster-67248.94495 // Cluster-67248.99225 // Cluster-67248.82530 
GO:0006807,P,nitrogen compound metabolic process,18,71,3826,37767,0.0002,0.0026,// Cluster-67248.80974 // Cluster-67248.96255 // Cluster-67248.101576 // Cluster-67248.41890 // Cluster-67248.92938 // Cluster-67248.21632 // Cluster-67248.116648 // Cluster-67248.102459 // Cluster-67248.76854 // Cluster-67248.96569 // Cluster-67248.102077 // Cluster-67248.100189 // Cluster-67248.149503 // Cluster-67248.101001 // Cluster-67248.98484 // Cluster-67248.65001 // Cluster-67248.99225 // Cluster-67248.86976 
GO:0044238,P,primary metabolic process,31,71,8995,37767,0.00019,0.0026,// Cluster-67248.149503 // Cluster-67248.116648 // Cluster-67248.102459 // Cluster-67248.94338 // Cluster-67248.131901 // Cluster-67248.151551 // Cluster-67248.80974 // Cluster-67248.100189 // Cluster-67248.96569 // Cluster-67248.41890 // Cluster-67248.107469 // Cluster-67248.98484 // Cluster-67248.21632 // Cluster-67248.96255 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.41201 // Cluster-67248.110524 // Cluster-67248.75172 // Cluster-67248.101576 // Cluster-67248.101001 // Cluster-67248.110527 // Cluster-67248.96566 // Cluster-67248.65001 // Cluster-67248.68063 // Cluster-67248.82896 // Cluster-67248.102077 // Cluster-67248.76854 // Cluster-67248.94495 // Cluster-67248.99225 // Cluster-67248.82530 
GO:0006396,P,RNA processing,6,71,453,37767,0.00023,0.0028,// Cluster-67248.21632 // Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.96569 // Cluster-67248.98484 // Cluster-67248.99225 
GO:0065008,P,regulation of biological quality,7,71,665,37767,0.00027,0.0029,// Cluster-67248.85825 // Cluster-67248.21632 // Cluster-67248.91693 // Cluster-67248.89076 // Cluster-67248.149503 // Cluster-67248.94495 // Cluster-67248.107469 
GO:0042180,P,cellular ketone metabolic process,8,71,882,37767,0.00026,0.0029,// Cluster-67248.86976 // Cluster-67248.92938 // Cluster-67248.116648 // Cluster-67248.100189 // Cluster-67248.41890 // Cluster-67248.75172 // Cluster-67248.99225 // Cluster-67248.101001 
GO:0034641,P,cellular nitrogen compound metabolic process,6,71,506,37767,0.00041,0.0041,// Cluster-67248.86976 // Cluster-67248.116648 // Cluster-67248.100189 // Cluster-67248.149503 // Cluster-67248.41890 // Cluster-67248.101001 
GO:0006810,P,transport,11,71,1846,37767,0.00065,0.006,// Cluster-67248.21632 // Cluster-67248.74369 // Cluster-67248.115833 // Cluster-67248.84604 // Cluster-67248.41201 // Cluster-67248.68110 // Cluster-67248.99608 // Cluster-67248.114284 // Cluster-67248.149503 // Cluster-67248.107469 // Cluster-67248.56573 
