Tags,GO ID,GO Name,GO Category,FDR,P-Value,Nr Test,Nr Reference,Non Annot Test,Non Annot Reference
[OVER],GO:0003824,catalytic activity,MOLECULAR_FUNCTION,1,0.022806822,20,3655,8,3523
[OVER],GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION,1,7.64E-04,11,987,17,6191
[OVER],GO:1901265,nucleoside phosphate binding,MOLECULAR_FUNCTION,1,0.017521907,9,1072,19,6106
[OVER],GO:0008152,metabolic process,BIOLOGICAL_PROCESS,1,0.043315932,21,4123,7,3055
[OVER],GO:0044281,small molecule metabolic process,BIOLOGICAL_PROCESS,1,0.043824285,5,504,23,6674
[OVER],GO:0036094,small molecule binding,MOLECULAR_FUNCTION,1,0.027716396,9,1157,19,6021
[OVER],GO:0000166,nucleotide binding,MOLECULAR_FUNCTION,1,0.017521907,9,1072,19,6106
[OVER],GO:0043168,anion binding,MOLECULAR_FUNCTION,1,0.043221348,8,1050,20,6128
[OVER],GO:0034660,ncRNA metabolic process,BIOLOGICAL_PROCESS,1,0.009432096,4,214,24,6964
[OVER],GO:0006399,tRNA metabolic process,BIOLOGICAL_PROCESS,1,0.005417562,4,182,24,6996
[OVER],GO:0006396,RNA processing,BIOLOGICAL_PROCESS,1,0.02538677,4,289,24,6889
[OVER],GO:0034470,ncRNA processing,BIOLOGICAL_PROCESS,1,0.004016666,4,167,24,7011
[OVER],GO:0008033,tRNA processing,BIOLOGICAL_PROCESS,1,0.001894329,4,135,24,7043
[OVER],GO:0050660,flavin adenine dinucleotide binding,MOLECULAR_FUNCTION,1,5.25E-04,5,172,23,7006
[OVER],GO:0044283,small molecule biosynthetic process,BIOLOGICAL_PROCESS,1,0.006515075,4,192,24,6986
[OVER],GO:0016829,lyase activity,MOLECULAR_FUNCTION,1,0.02784578,3,168,25,7010
[OVER],GO:0016053,organic acid biosynthetic process,BIOLOGICAL_PROCESS,1,0.008590288,3,107,25,7071
[OVER],GO:0042440,pigment metabolic process,BIOLOGICAL_PROCESS,1,0.005896875,3,93,25,7085
[OVER],GO:0098660,inorganic ion transmembrane transport,BIOLOGICAL_PROCESS,1,0.039918515,3,194,25,6984
[OVER],GO:0098655,cation transmembrane transport,BIOLOGICAL_PROCESS,1,0.038908101,3,192,25,6986
[OVER],GO:0098662,inorganic cation transmembrane transport,BIOLOGICAL_PROCESS,1,0.038908101,3,192,25,6986
