Tags,GO ID,GO Name,GO Category,FDR,P-Value,Nr Test,Nr Reference,Non Annot Test,Non Annot Reference
[OVER],GO:0005488,binding,MOLECULAR_FUNCTION,9.26E-07,8.44E-10,753,64225,442,54032
[OVER],GO:0003824,catalytic activity,MOLECULAR_FUNCTION,6.01E-11,1.10E-14,692,55317,503,62940
[OVER],GO:0009987,cellular process,BIOLOGICAL_PROCESS,0.012447796,1.72E-04,732,66311,463,51946
[OVER],GO:0097159,organic cyclic compound binding,MOLECULAR_FUNCTION,0.003399173,3.10E-05,445,37494,750,80763
[OVER],GO:1901363,heterocyclic compound binding,MOLECULAR_FUNCTION,0.003399173,3.06E-05,445,37489,750,80768
[OVER],GO:0008152,metabolic process,BIOLOGICAL_PROCESS,0.002529714,1.94E-05,671,59287,524,58970
[OVER],GO:0043167,ion binding,MOLECULAR_FUNCTION,9.26E-07,7.35E-10,415,31568,780,86689
[OVER],GO:0044281,small molecule metabolic process,BIOLOGICAL_PROCESS,1.11E-07,6.05E-11,195,12047,1000,106210
[OVER],GO:0050896,response to stimulus,BIOLOGICAL_PROCESS,0.005020508,5.03E-05,192,14405,1003,103852
[OVER],GO:0005515,protein binding,MOLECULAR_FUNCTION,7.89E-08,2.87E-11,337,23874,858,94383
[OVER],GO:0006793,phosphorus metabolic process,BIOLOGICAL_PROCESS,0.005639634,6.17E-05,151,10895,1044,107362
[OVER],GO:0006796,phosphate-containing compound metabolic process,BIOLOGICAL_PROCESS,0.0187554,3.21E-04,144,10694,1051,107563
[OVER],GO:0006082,organic acid metabolic process,BIOLOGICAL_PROCESS,1.13E-05,2.27E-08,117,6760,1078,111497
[OVER],GO:0036094,small molecule binding,MOLECULAR_FUNCTION,8.36E-06,1.52E-08,281,20274,914,97983
[OVER],GO:1901265,nucleoside phosphate binding,MOLECULAR_FUNCTION,8.46E-05,2.31E-07,261,19134,934,99123
[OVER],GO:0000166,nucleotide binding,MOLECULAR_FUNCTION,8.46E-05,2.31E-07,261,19134,934,99123
[OVER],GO:0043168,anion binding,MOLECULAR_FUNCTION,2.93E-04,1.02E-06,249,18431,946,99826
[OVER],GO:0097367,carbohydrate derivative binding,MOLECULAR_FUNCTION,0.004445023,4.21E-05,218,16654,977,101603
[OVER],GO:0032553,ribonucleotide binding,MOLECULAR_FUNCTION,0.003244833,2.80E-05,217,16454,978,101803
[OVER],GO:0043436,oxoacid metabolic process,BIOLOGICAL_PROCESS,1.26E-05,2.76E-08,116,6709,1079,111548
[OVER],GO:0019752,carboxylic acid metabolic process,BIOLOGICAL_PROCESS,4.27E-05,1.01E-07,113,6651,1082,111606
[OVER],GO:0017076,purine nucleotide binding,MOLECULAR_FUNCTION,0.003244833,2.63E-05,216,16348,979,101909
[OVER],GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS,6.72E-04,2.82E-06,93,5566,1102,112691
[OVER],GO:0032555,purine ribonucleotide binding,MOLECULAR_FUNCTION,0.003244833,2.71E-05,214,16180,981,102077
