Tags,GO ID,GO Name,GO Category,FDR,P-Value,Nr Test,Nr Reference,Non Annot Test,Non Annot Reference
[OVER],GO:0042651,thylakoid membrane,CELLULAR_COMPONENT,1.59E-08,2.60E-12,24,286,1456,116110
[OVER],GO:0009654,photosystem II oxygen evolving complex,CELLULAR_COMPONENT,5.02E-07,3.29E-10,17,170,1463,116226
[OVER],GO:0019318,hexose metabolic process,BIOLOGICAL_PROCESS,5.02E-07,1.94E-10,45,1157,1435,115239
[OVER],GO:0006006,glucose metabolic process,BIOLOGICAL_PROCESS,5.02E-07,3.06E-10,35,759,1445,115637
[OVER],GO:0005996,monosaccharide metabolic process,BIOLOGICAL_PROCESS,6.90E-07,5.65E-10,45,1199,1435,115197
[OVER],GO:0016051,carbohydrate biosynthetic process,BIOLOGICAL_PROCESS,9.57E-07,9.40E-10,54,1636,1426,114760
[OVER],GO:0044281,small molecule metabolic process,BIOLOGICAL_PROCESS,2.22E-06,2.54E-09,239,12852,1241,103544
[OVER],GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS,8.58E-06,1.12E-08,130,6059,1350,110337
[OVER],GO:0009579,thylakoid,CELLULAR_COMPONENT,1.85E-05,2.73E-08,36,957,1444,115439
[OVER],GO:0006457,protein folding,BIOLOGICAL_PROCESS,2.63E-05,4.30E-08,35,931,1445,115465
[OVER],GO:0015979,photosynthesis,BIOLOGICAL_PROCESS,3.64E-05,6.55E-08,36,993,1444,115403
[OVER],GO:0034357,photosynthetic membrane,CELLULAR_COMPONENT,4.29E-05,8.42E-08,32,826,1448,115570
[OVER],GO:0016052,carbohydrate catabolic process,BIOLOGICAL_PROCESS,5.04E-05,1.27E-07,29,713,1451,115683
[OVER],GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION,5.04E-05,1.38E-07,218,12076,1262,104320
[OVER],GO:0046364,monosaccharide biosynthetic process,BIOLOGICAL_PROCESS,5.04E-05,1.48E-07,27,635,1453,115761
[OVER],GO:0019319,hexose biosynthetic process,BIOLOGICAL_PROCESS,5.04E-05,1.44E-07,27,634,1453,115762
[OVER],GO:0006094,gluconeogenesis,BIOLOGICAL_PROCESS,5.04E-05,1.44E-07,27,634,1453,115762
[OVER],GO:0009132,nucleoside diphosphate metabolic process,BIOLOGICAL_PROCESS,5.04E-05,1.48E-07,27,635,1453,115761
[OVER],GO:0006740,NADPH regeneration,BIOLOGICAL_PROCESS,6.42E-05,2.18E-07,28,690,1452,115706
