Tags,GO ID,GO Name,GO Category,FDR,P-Value,Nr Test,Nr Reference,Non Annot Test,Non Annot Reference
[OVER],GO:0022626,cytosolic ribosome,CELLULAR_COMPONENT,1.19E-92,1.43E-96,127,119,1856,36919
[OVER],GO:0044391,ribosomal subunit,CELLULAR_COMPONENT,3.38E-88,8.13E-92,136,172,1847,36866
[OVER],GO:0005840,ribosome,CELLULAR_COMPONENT,2.17E-83,7.85E-87,154,282,1829,36756
[OVER],GO:0003735,structural constituent of ribosome,MOLECULAR_FUNCTION,1.52E-82,7.34E-86,149,262,1834,36776
[OVER],GO:0005198,structural molecule activity,MOLECULAR_FUNCTION,1.81E-74,1.09E-77,152,330,1831,36708
[OVER],GO:0110165,cellular anatomical entity,CELLULAR_COMPONENT,3.97E-69,2.86E-72,1224,15233,759,21805
[OVER],GO:1990904,ribonucleoprotein complex,CELLULAR_COMPONENT,2.62E-64,2.21E-67,164,491,1819,36547
[OVER],GO:0043043,peptide biosynthetic process,BIOLOGICAL_PROCESS,9.42E-63,9.07E-66,166,521,1817,36517
[OVER],GO:0006412,translation,BIOLOGICAL_PROCESS,1.37E-62,1.48E-65,165,516,1818,36522
[OVER],GO:0043604,amide biosynthetic process,BIOLOGICAL_PROCESS,1.60E-62,1.93E-65,172,568,1811,36470
[OVER],GO:0006518,peptide metabolic process,BIOLOGICAL_PROCESS,1.50E-61,1.99E-64,176,609,1807,36429
[OVER],GO:0005622,intracellular anatomical structure,CELLULAR_COMPONENT,8.26E-57,1.19E-59,871,9796,1112,27242
[OVER],GO:0005737,cytoplasm,CELLULAR_COMPONENT,1.07E-56,1.68E-59,630,6095,1353,30943
[OVER],GO:0043603,cellular amide metabolic process,BIOLOGICAL_PROCESS,1.47E-56,2.48E-59,183,726,1800,36312
[OVER],GO:0008152,metabolic process,BIOLOGICAL_PROCESS,4.81E-55,8.68E-58,902,10400,1081,26638
[OVER],GO:0071704,organic substance metabolic process,BIOLOGICAL_PROCESS,2.75E-52,5.30E-55,842,9566,1141,27472
[OVER],GO:0005829,cytosol,CELLULAR_COMPONENT,2.99E-52,6.12E-55,204,973,1779,36065
[OVER],GO:0022625,cytosolic large ribosomal subunit,CELLULAR_COMPONENT,4.63E-52,1.00E-54,74,76,1909,36962
[OVER],GO:0009987,cellular process,BIOLOGICAL_PROCESS,3.35E-51,7.67E-54,1005,12360,978,24678
[OVER],GO:0015934,large ribosomal subunit,CELLULAR_COMPONENT,2.22E-50,5.34E-53,80,107,1903,36931
[OVER],GO:0043229,intracellular organelle,CELLULAR_COMPONENT,1.26E-48,3.18E-51,746,8231,1237,28807
[OVER],GO:0043226,organelle,CELLULAR_COMPONENT,1.97E-48,5.21E-51,746,8242,1237,28796
[OVER],GO:1901566,organonitrogen compound biosynthetic process,BIOLOGICAL_PROCESS,2.08E-47,5.77E-50,217,1185,1766,35853
[OVER],GO:0044238,primary metabolic process,BIOLOGICAL_PROCESS,3.19E-47,9.21E-50,791,9023,1192,28015
[OVER],GO:0044237,cellular metabolic process,BIOLOGICAL_PROCESS,4.03E-46,1.21E-48,790,9068,1193,27970
[OVER],GO:0022627,cytosolic small ribosomal subunit,CELLULAR_COMPONENT,3.16E-43,9.90E-46,53,35,1930,37003
[OVER],GO:0043228,non-membrane-bounded organelle,CELLULAR_COMPONENT,1.45E-42,4.90E-45,203,1141,1780,35897
[OVER],GO:0043232,intracellular non-membrane-bounded organelle,CELLULAR_COMPONENT,1.45E-42,4.90E-45,203,1141,1780,35897
[OVER],GO:1901564,organonitrogen compound metabolic process,BIOLOGICAL_PROCESS,3.72E-40,1.30E-42,495,4879,1488,32159
[OVER],GO:0005488,binding,MOLECULAR_FUNCTION,2.66E-39,9.62E-42,946,12092,1037,24946
[OVER],GO:0044267,cellular protein metabolic process,BIOLOGICAL_PROCESS,7.39E-38,2.76E-40,390,3520,1593,33518
[OVER],GO:0015935,small ribosomal subunit,CELLULAR_COMPONENT,2.30E-37,8.86E-40,56,65,1927,36973
[OVER],GO:1901576,organic substance biosynthetic process,BIOLOGICAL_PROCESS,2.15E-36,8.55E-39,423,4032,1560,33006
[OVER],GO:0009058,biosynthetic process,BIOLOGICAL_PROCESS,6.88E-36,2.81E-38,434,4208,1549,32830
[OVER],GO:0006807,nitrogen compound metabolic process,BIOLOGICAL_PROCESS,7.63E-35,3.21E-37,673,7852,1310,29186
[OVER],GO:0019538,protein metabolic process,BIOLOGICAL_PROCESS,1.33E-34,5.74E-37,412,3958,1571,33080
[OVER],GO:0044271,cellular nitrogen compound biosynthetic process,BIOLOGICAL_PROCESS,1.94E-32,8.65E-35,328,2908,1655,34130
[OVER],GO:0044260,cellular macromolecule metabolic process,BIOLOGICAL_PROCESS,1.39E-31,6.34E-34,545,6052,1438,30986
[OVER],GO:0044249,cellular biosynthetic process,BIOLOGICAL_PROCESS,3.83E-31,1.80E-33,405,4017,1578,33021
[OVER],GO:0043170,macromolecule metabolic process,BIOLOGICAL_PROCESS,1.36E-29,6.56E-32,625,7417,1358,29621
[OVER],GO:0009059,macromolecule biosynthetic process,BIOLOGICAL_PROCESS,2.14E-29,1.06E-31,325,2991,1658,34047
[OVER],GO:0010467,gene expression,BIOLOGICAL_PROCESS,2.28E-29,1.15E-31,351,3346,1632,33692
