Tags,GO ID,GO Name,GO Category,FDR,P-Value,Nr Test,Nr Reference,Non Annot Test,Non Annot Reference
[OVER],GO:0003824,catalytic activity,MOLECULAR_FUNCTION,4.42E-11,8.07E-15,678,55331,489,62954
[OVER],GO:0005515,protein binding,MOLECULAR_FUNCTION,9.30E-08,5.08E-11,329,23882,838,94403
[OVER],GO:0044281,small molecule metabolic process,BIOLOGICAL_PROCESS,9.30E-08,4.19E-11,192,12050,975,106235
[OVER],GO:0043167,ion binding,MOLECULAR_FUNCTION,1.76E-06,1.28E-09,405,31578,762,86707
[OVER],GO:0005488,binding,MOLECULAR_FUNCTION,3.10E-06,3.10E-09,733,64245,434,54040
[OVER],GO:0016491,oxidoreductase activity,MOLECULAR_FUNCTION,3.10E-06,3.39E-09,190,12576,977,105709
[OVER],GO:0006629,lipid metabolic process,BIOLOGICAL_PROCESS,5.54E-06,7.07E-09,89,4668,1078,113617
[OVER],GO:0036094,small molecule binding,MOLECULAR_FUNCTION,1.81E-05,2.63E-08,274,20281,893,98004
[OVER],GO:0006720,isoprenoid metabolic process,BIOLOGICAL_PROCESS,1.91E-05,3.53E-08,26,713,1141,117572
[OVER],GO:0008299,isoprenoid biosynthetic process,BIOLOGICAL_PROCESS,1.91E-05,3.25E-08,26,710,1141,117575
[OVER],GO:0006082,organic acid metabolic process,BIOLOGICAL_PROCESS,1.91E-05,3.84E-08,114,6763,1053,111522
[OVER],GO:0043436,oxoacid metabolic process,BIOLOGICAL_PROCESS,2.15E-05,4.71E-08,113,6712,1054,111573
[OVER],GO:0019752,carboxylic acid metabolic process,BIOLOGICAL_PROCESS,7.32E-05,1.73E-07,110,6654,1057,111631
[OVER],GO:0035251,UDP-glucosyltransferase activity,MOLECULAR_FUNCTION,1.29E-04,3.28E-07,14,243,1153,118042
[OVER],GO:0005524,ATP binding,MOLECULAR_FUNCTION,1.36E-04,3.72E-07,186,13099,981,105186
[OVER],GO:1901265,nucleoside phosphate binding,MOLECULAR_FUNCTION,1.43E-04,4.44E-07,254,19141,913,99144
[OVER],GO:0000166,nucleotide binding,MOLECULAR_FUNCTION,1.43E-04,4.44E-07,254,19141,913,99144
[OVER],GO:0046527,glucosyltransferase activity,MOLECULAR_FUNCTION,4.88E-04,1.67E-06,16,367,1151,117918
[OVER],GO:0035639,purine ribonucleoside triphosphate binding,MOLECULAR_FUNCTION,4.88E-04,1.69E-06,200,14643,967,103642
[OVER],GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS,5.17E-04,1.88E-06,92,5567,1075,112718
[OVER],GO:0043168,anion binding,MOLECULAR_FUNCTION,5.38E-04,2.06E-06,242,18438,925,99847
[OVER],GO:0003774,motor activity,MOLECULAR_FUNCTION,5.85E-04,2.35E-06,19,521,1148,117764
[OVER],GO:0051020,GTPase binding,MOLECULAR_FUNCTION,6.21E-04,2.72E-06,9,109,1158,118176
[OVER],GO:0031267,small GTPase binding,MOLECULAR_FUNCTION,6.21E-04,2.72E-06,9,109,1158,118176
[OVER],GO:0016114,terpenoid biosynthetic process,BIOLOGICAL_PROCESS,7.43E-04,3.39E-06,19,535,1148,117750
[OVER],GO:0051274,beta-glucan biosynthetic process,BIOLOGICAL_PROCESS,8.11E-04,3.99E-06,12,221,1155,118064
[OVER],GO:0006721,terpenoid metabolic process,BIOLOGICAL_PROCESS,8.11E-04,3.85E-06,19,540,1148,117745
[OVER],GO:0005874,microtubule,CELLULAR_COMPONENT,8.56E-04,4.37E-06,17,445,1150,117840
