Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0051274	beta-glucan biosynthetic process	BIOLOGICAL_PROCESS	4.931815159287542E-6	2.2050440926993144E-9	16	293	859	116708
[OVER]	GO:0016051	carbohydrate biosynthetic process	BIOLOGICAL_PROCESS	4.931815159287542E-6	3.1380984332294488E-9	38	1652	837	115349
[OVER]	GO:0035251	UDP-glucosyltransferase activity	MOLECULAR_FUNCTION	4.931815159287542E-6	1.9161655495761177E-9	17	334	858	116667
[OVER]	GO:0005975	carbohydrate metabolic process	BIOLOGICAL_PROCESS	4.931815159287542E-6	3.22921274138978E-9	89	6100	786	110901
[OVER]	GO:0051273	beta-glucan metabolic process	BIOLOGICAL_PROCESS	6.024784879089305E-6	4.9310729080776765E-9	16	311	859	116690
[OVER]	GO:0030244	cellulose biosynthetic process	BIOLOGICAL_PROCESS	7.1606533023465924E-6	7.0328891494646514E-9	14	233	861	116768
[OVER]	GO:0009250	glucan biosynthetic process	BIOLOGICAL_PROCESS	9.916948162920082E-6	1.1363338867317167E-8	16	331	859	116670
[OVER]	GO:0030243	cellulose metabolic process	BIOLOGICAL_PROCESS	1.0444999657624793E-5	1.7097724108077907E-8	14	251	861	116750
[OVER]	GO:0016759	cellulose synthase activity	MOLECULAR_FUNCTION	1.0444999657624793E-5	1.640972358497211E-8	13	209	862	116792
[OVER]	GO:0016760	cellulose synthase (UDP-forming) activity	MOLECULAR_FUNCTION	1.0444999657624793E-5	1.640972358497211E-8	13	209	862	116792
[OVER]	GO:0006011	UDP-glucose metabolic process	BIOLOGICAL_PROCESS	1.0684522347007055E-5	1.9238786350806612E-8	13	212	862	116789
[OVER]	GO:0046527	glucosyltransferase activity	MOLECULAR_FUNCTION	1.2608739559964437E-5	2.4767535557304508E-8	19	506	856	116495
[OVER]	GO:0006006	glucose metabolic process	BIOLOGICAL_PROCESS	2.4595199689506695E-5	5.233877819014357E-8	23	771	852	116230
[OVER]	GO:0044262	cellular carbohydrate metabolic process	BIOLOGICAL_PROCESS	2.704132155398148E-5	6.197061740968092E-8	41	2098	834	114903
[OVER]	GO:0044281	small molecule metabolic process	BIOLOGICAL_PROCESS	3.892035146340216E-5	9.556478506319077E-8	149	12942	726	104059
[OVER]	GO:1901135	carbohydrate derivative metabolic process	BIOLOGICAL_PROCESS	3.9593277248046276E-5	1.0369822163508601E-7	71	4828	804	112173
[OVER]	GO:0019318	hexose metabolic process	BIOLOGICAL_PROCESS	2.0965934215087277E-4	5.977007220937865E-7	27	1175	848	115826
[OVER]	GO:0033692	cellular polysaccharide biosynthetic process	BIOLOGICAL_PROCESS	2.0965934215087277E-4	6.177554687699639E-7	16	450	859	116551
[OVER]	GO:0009225	nucleotide-sugar metabolic process	BIOLOGICAL_PROCESS	2.3538113175765736E-4	7.702063649006576E-7	13	297	862	116704
[OVER]	GO:0046364	monosaccharide biosynthetic process	BIOLOGICAL_PROCESS	2.3538113175765736E-4	8.476649040216831E-7	19	643	856	116358
[OVER]	GO:0019319	hexose biosynthetic process	BIOLOGICAL_PROCESS	2.3538113175765736E-4	8.290060951276874E-7	19	642	856	116359
[OVER]	GO:0006094	gluconeogenesis	BIOLOGICAL_PROCESS	2.3538113175765736E-4	8.290060951276874E-7	19	642	856	116359
[OVER]	GO:0005996	monosaccharide metabolic process	BIOLOGICAL_PROCESS	3.029938314376847E-4	1.140752680154976E-6	27	1217	848	115784
[OVER]	GO:0034637	cellular carbohydrate biosynthetic process	BIOLOGICAL_PROCESS	3.196951155968936E-4	1.2559637869251017E-6	19	661	856	116340
[OVER]	GO:0006757	ATP generation from ADP	BIOLOGICAL_PROCESS	5.838085393017296E-4	2.798576385954729E-6	16	508	859	116493
[OVER]	GO:0046031	ADP metabolic process	BIOLOGICAL_PROCESS	5.838085393017296E-4	2.866959597160237E-6	16	509	859	116492
[OVER]	GO:0006096	glycolytic process	BIOLOGICAL_PROCESS	5.838085393017296E-4	2.798576385954729E-6	16	508	859	116493
[OVER]	GO:0009135	purine nucleoside diphosphate metabolic process	BIOLOGICAL_PROCESS	5.838085393017296E-4	2.866959597160237E-6	16	509	859	116492
[OVER]	GO:0009179	purine ribonucleoside diphosphate metabolic process	BIOLOGICAL_PROCESS	5.838085393017296E-4	2.866959597160237E-6	16	509	859	116492
[OVER]	GO:0009185	ribonucleoside diphosphate metabolic process	BIOLOGICAL_PROCESS	5.838085393017296E-4	2.866959597160237E-6	16	509	859	116492
[OVER]	GO:0000271	polysaccharide biosynthetic process	BIOLOGICAL_PROCESS	6.589793069329858E-4	3.3891719017512235E-6	16	516	859	116485
[OVER]	GO:0009132	nucleoside diphosphate metabolic process	BIOLOGICAL_PROCESS	6.589793069329858E-4	3.4518477364307655E-6	18	644	857	116357
[OVER]	GO:0044042	glucan metabolic process	BIOLOGICAL_PROCESS	9.320810903037855E-4	5.187552311397726E-6	26	1246	849	115755
[OVER]	GO:0006073	cellular glucan metabolic process	BIOLOGICAL_PROCESS	9.320810903037855E-4	5.187552311397726E-6	26	1246	849	115755
[OVER]	GO:0005984	disaccharide metabolic process	BIOLOGICAL_PROCESS	0.0015215577585975801	8.717387714996776E-6	25	1206	850	115795
