Tags,GO ID,GO Name,GO Category,FDR,P-Value,Nr Test,Nr Reference,Non Annot Test,Non Annot Reference
[OVER],GO:0022626,cytosolic ribosome,CELLULAR_COMPONENT,3.73E-88,4.48E-92,126,120,1196,22674
[OVER],GO:0044391,ribosomal subunit,CELLULAR_COMPONENT,1.54E-82,3.71E-86,134,174,1188,22620
[OVER],GO:0005840,ribosome,CELLULAR_COMPONENT,6.29E-77,3.03E-80,151,285,1171,22509
[OVER],GO:0003735,structural constituent of ribosome,MOLECULAR_FUNCTION,6.29E-77,2.53E-80,147,264,1175,22530
[OVER],GO:0005198,structural molecule activity,MOLECULAR_FUNCTION,3.48E-68,2.10E-71,149,333,1173,22461
[OVER],GO:1990904,ribonucleoprotein complex,CELLULAR_COMPONENT,1.67E-57,1.20E-60,160,495,1162,22299
[OVER],GO:0043043,peptide biosynthetic process,BIOLOGICAL_PROCESS,5.79E-53,4.88E-56,158,529,1164,22265
[OVER],GO:0043604,amide biosynthetic process,BIOLOGICAL_PROCESS,7.65E-53,8.28E-56,164,576,1158,22218
[OVER],GO:0006412,translation,BIOLOGICAL_PROCESS,7.65E-53,7.90E-56,157,524,1165,22270
[OVER],GO:0006518,peptide metabolic process,BIOLOGICAL_PROCESS,2.81E-51,3.39E-54,167,618,1155,22176
[OVER],GO:0022625,cytosolic large ribosomal subunit,CELLULAR_COMPONENT,8.47E-50,1.12E-52,74,76,1248,22718
[OVER],GO:0015934,large ribosomal subunit,CELLULAR_COMPONENT,7.21E-47,1.04E-49,79,108,1243,22686
[OVER],GO:0043603,cellular amide metabolic process,BIOLOGICAL_PROCESS,8.49E-47,1.33E-49,174,735,1148,22059
[OVER],GO:0022627,cytosolic small ribosomal subunit,CELLULAR_COMPONENT,5.49E-40,9.25E-43,52,36,1270,22758
[OVER],GO:0005829,cytosol,CELLULAR_COMPONENT,9.74E-37,1.76E-39,184,993,1138,21801
