Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0016879	ligase activity, forming carbon-nitrogen bonds	MOLECULAR_FUNCTION	1.0	0.014130222109296993	2	45	26	7133
[OVER]	GO:0016880	acid-ammonia (or amide) ligase activity	MOLECULAR_FUNCTION	1.0	0.026895606236618158	1	6	27	7172
[OVER]	GO:1901265	nucleoside phosphate binding	MOLECULAR_FUNCTION	1.0	0.01752190722641176	9	1072	19	6106
[OVER]	GO:0016053	organic acid biosynthetic process	BIOLOGICAL_PROCESS	1.0	0.00859028765670145	3	107	25	7071
[OVER]	GO:0034660	ncRNA metabolic process	BIOLOGICAL_PROCESS	1.0	0.009432095808715424	4	214	24	6964
[OVER]	GO:0016852	sirohydrochlorin cobaltochelatase activity	MOLECULAR_FUNCTION	1.0	0.003885650846575889	1	0	27	7178
[OVER]	GO:0016835	carbon-oxygen lyase activity	MOLECULAR_FUNCTION	1.0	0.02604722683705444	2	63	26	7115
[OVER]	GO:0016829	lyase activity	MOLECULAR_FUNCTION	1.0	0.02784578048969927	3	168	25	7010
[OVER]	GO:0006721	terpenoid metabolic process	BIOLOGICAL_PROCESS	1.0	0.026797411307163704	2	64	26	7114
[OVER]	GO:0006720	isoprenoid metabolic process	BIOLOGICAL_PROCESS	1.0	0.03310833626065204	2	72	26	7106
[OVER]	GO:0006766	vitamin metabolic process	BIOLOGICAL_PROCESS	1.0	0.01036764933551748	2	38	26	7140
[OVER]	GO:0006767	water-soluble vitamin metabolic process	BIOLOGICAL_PROCESS	1.0	0.01036764933551748	2	38	26	7140
[OVER]	GO:0015696	ammonium transport	BIOLOGICAL_PROCESS	1.0	0.01545544694093432	1	3	27	7175
[OVER]	GO:0022804	active transmembrane transporter activity	MOLECULAR_FUNCTION	1.0	0.011141105749921743	3	118	25	7060
[OVER]	GO:0016117	carotenoid biosynthetic process	BIOLOGICAL_PROCESS	1.0	0.02313566229148464	2	59	26	7119
[OVER]	GO:0030411	scytalone dehydratase activity	MOLECULAR_FUNCTION	1.0	0.007756740614353284	1	1	27	7177
[OVER]	GO:0016108	tetraterpenoid metabolic process	BIOLOGICAL_PROCESS	1.0	0.02313566229148464	2	59	26	7119
[OVER]	GO:0016109	tetraterpenoid biosynthetic process	BIOLOGICAL_PROCESS	1.0	0.02313566229148464	2	59	26	7119
[OVER]	GO:0016114	terpenoid biosynthetic process	BIOLOGICAL_PROCESS	1.0	0.026797411307163704	2	64	26	7114
[OVER]	GO:0016116	carotenoid metabolic process	BIOLOGICAL_PROCESS	1.0	0.02313566229148464	2	59	26	7119
[OVER]	GO:0042440	pigment metabolic process	BIOLOGICAL_PROCESS	1.0	0.0058968751384614465	3	93	25	7085
[OVER]	GO:0008519	ammonium transmembrane transporter activity	MOLECULAR_FUNCTION	1.0	0.01545544694093432	1	3	27	7175
[OVER]	GO:0042398	cellular modified amino acid biosynthetic process	BIOLOGICAL_PROCESS	1.0	0.003811837757167749	2	22	26	7156
[OVER]	GO:0042364	water-soluble vitamin biosynthetic process	BIOLOGICAL_PROCESS	1.0	0.01036764933551748	2	38	26	7140
[OVER]	GO:0050840	extracellular matrix binding	MOLECULAR_FUNCTION	1.0	0.026895606236618158	1	6	27	7172
[OVER]	GO:0016615	malate dehydrogenase activity	MOLECULAR_FUNCTION	1.0	0.019283168058241994	1	4	27	7174
[OVER]	GO:0016679	oxidoreductase activity, acting on diphenols and related substances as donors	MOLECULAR_FUNCTION	1.0	0.04194991122516139	1	10	27	7168
