Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0003824	catalytic activity	MOLECULAR_FUNCTION	6.009054585783892E-11	1.0953435263915224E-14	692	55317	503	62940
[OVER]	GO:0005515	protein binding	MOLECULAR_FUNCTION	7.885959862660085E-8	2.8749397968137386E-11	337	23874	858	94383
[OVER]	GO:0044281	small molecule metabolic process	BIOLOGICAL_PROCESS	1.1054690636908428E-7	6.04521908689852E-11	195	12047	1000	106210
[OVER]	GO:0005488	binding	MOLECULAR_FUNCTION	9.26291984902889E-7	8.442325782928263E-10	753	64225	442	54032
[OVER]	GO:0043167	ion binding	MOLECULAR_FUNCTION	9.26291984902889E-7	7.352652656367816E-10	415	31568	780	86689
[OVER]	GO:0006629	lipid metabolic process	BIOLOGICAL_PROCESS	2.3018319300360816E-6	2.52489236703323E-9	92	4665	1103	113592
[OVER]	GO:0016491	oxidoreductase activity	MOLECULAR_FUNCTION	2.3018319300360816E-6	2.937080479448154E-9	194	12572	1001	105685
[OVER]	GO:0006720	isoprenoid metabolic process	BIOLOGICAL_PROCESS	8.36170022627782E-6	1.4509128365633689E-8	27	712	1168	117545
[OVER]	GO:0008299	isoprenoid biosynthetic process	BIOLOGICAL_PROCESS	8.36170022627782E-6	1.334626722217189E-8	27	709	1168	117548
[OVER]	GO:0036094	small molecule binding	MOLECULAR_FUNCTION	8.36170022627782E-6	1.524188885577437E-8	281	20274	914	97983
[OVER]	GO:0006082	organic acid metabolic process	BIOLOGICAL_PROCESS	1.1325687362318162E-5	2.2709179909861423E-8	117	6760	1078	111497
[OVER]	GO:0043436	oxoacid metabolic process	BIOLOGICAL_PROCESS	1.2624043061213354E-5	2.7613655985154984E-8	116	6709	1079	111548
[OVER]	GO:0019752	carboxylic acid metabolic process	BIOLOGICAL_PROCESS	4.2715030995093706E-5	1.0122045259500878E-7	113	6651	1082	111606
[OVER]	GO:1901265	nucleoside phosphate binding	MOLECULAR_FUNCTION	8.458727810498294E-5	2.3128129266765296E-7	261	19134	934	99123
[OVER]	GO:0000166	nucleotide binding	MOLECULAR_FUNCTION	8.458727810498294E-5	2.3128129266765296E-7	261	19134	934	99123
[OVER]	GO:0005524	ATP binding	MOLECULAR_FUNCTION	1.1388992924039838E-4	3.3216166019802663E-7	190	13095	1005	105162
[OVER]	GO:0035251	UDP-glucosyltransferase activity	MOLECULAR_FUNCTION	1.4011936263438364E-4	4.3420145183822855E-7	14	243	1181	118014
[OVER]	GO:0035639	purine ribonucleoside triphosphate binding	MOLECULAR_FUNCTION	2.420053604017E-4	7.940387326340868E-7	206	14637	989	103620
[OVER]	GO:0043168	anion binding	MOLECULAR_FUNCTION	2.9324663534667197E-4	1.0156190433078321E-6	249	18431	946	99826
[OVER]	GO:0016114	terpenoid biosynthetic process	BIOLOGICAL_PROCESS	3.413042739456542E-4	1.2442736928386956E-6	20	534	1175	117723
[OVER]	GO:0006721	terpenoid metabolic process	BIOLOGICAL_PROCESS	3.725016724439363E-4	1.425908698746384E-6	20	539	1175	117718
[OVER]	GO:0046527	glucosyltransferase activity	MOLECULAR_FUNCTION	5.611333391095938E-4	2.2502612942783565E-6	16	367	1179	117890
[OVER]	GO:0005975	carbohydrate metabolic process	BIOLOGICAL_PROCESS	6.724645365799264E-4	2.819300827805014E-6	93	5566	1102	112691
[OVER]	GO:0051020	GTPase binding	MOLECULAR_FUNCTION	6.9420346196243E-4	3.2889582589852486E-6	9	109	1186	118148
[OVER]	GO:0031267	small GTPase binding	MOLECULAR_FUNCTION	6.9420346196243E-4	3.2889582589852486E-6	9	109	1186	118148
[OVER]	GO:0003774	motor activity	MOLECULAR_FUNCTION	6.9420346196243E-4	3.2900638007698107E-6	19	521	1176	117736
[OVER]	GO:0008610	lipid biosynthetic process	BIOLOGICAL_PROCESS	9.726491668608012E-4	4.787008294794319E-6	53	2660	1142	115597
[OVER]	GO:0051274	beta-glucan biosynthetic process	BIOLOGICAL_PROCESS	9.925565420200496E-4	5.065910167072802E-6	12	221	1183	118036
[OVER]	GO:0005874	microtubule	CELLULAR_COMPONENT	0.0010597421442511904	5.942320759958334E-6	17	445	1178	117812
[OVER]	GO:0044283	small molecule biosynthetic process	BIOLOGICAL_PROCESS	0.0010597421442511904	5.872920741590735E-6	71	3988	1124	114269
[OVER]	GO:0044255	cellular lipid metabolic process	BIOLOGICAL_PROCESS	0.0010597421442511904	5.988335120631955E-6	61	3254	1134	115003
[OVER]	GO:0004107	chorismate synthase activity	MOLECULAR_FUNCTION	0.0011453917903151752	6.681104135998106E-6	5	22	1190	118235
[OVER]	GO:1901135	carbohydrate derivative metabolic process	BIOLOGICAL_PROCESS	0.0013924730681830206	8.376159542478979E-6	77	4486	1118	113771
[OVER]	GO:0006520	cellular amino acid metabolic process	BIOLOGICAL_PROCESS	0.0016754711549801682	1.0383889768378732E-5	79	4668	1116	113589
[OVER]	GO:0006694	steroid biosynthetic process	BIOLOGICAL_PROCESS	0.001700088582695255	1.0863309811411666E-5	23	786	1172	117471
[OVER]	GO:0044262	cellular carbohydrate metabolic process	BIOLOGICAL_PROCESS	0.001700088582695255	1.1156250269236089E-5	39	1779	1156	116478
[OVER]	GO:0016462	pyrophosphatase activity	MOLECULAR_FUNCTION	0.0018948640536914066	1.2779797664342334E-5	54	2831	1141	115426
[OVER]	GO:0030554	adenyl nucleotide binding	MOLECULAR_FUNCTION	0.0019176931656552127	1.3283328526230054E-5	200	14767	995	103490
[OVER]	GO:0051273	beta-glucan metabolic process	BIOLOGICAL_PROCESS	0.00198561621365256	1.4115755073359431E-5	12	246	1183	118011
[OVER]	GO:0008202	steroid metabolic process	BIOLOGICAL_PROCESS	0.0019877618202033278	1.4493341744100093E-5	23	801	1172	117456
[OVER]	GO:0032559	adenyl ribonucleotide binding	MOLECULAR_FUNCTION	0.0021026975664785413	1.571465552781994E-5	198	14634	997	103623
[OVER]	GO:0008152	metabolic process	BIOLOGICAL_PROCESS	0.002529714004956975	1.936711414659004E-5	671	59287	524	58970
[OVER]	GO:0017111	nucleoside-triphosphatase activity	MOLECULAR_FUNCTION	0.003244832695878175	2.5923210846126348E-5	51	2691	1144	115566
[OVER]	GO:0017076	purine nucleotide binding	MOLECULAR_FUNCTION	0.003244832695878175	2.626533501231697E-5	216	16348	979	101909
[OVER]	GO:0009250	glucan biosynthetic process	BIOLOGICAL_PROCESS	0.003244832695878175	2.8390807401048557E-5	12	265	1183	117992
[OVER]	GO:0032553	ribonucleotide binding	MOLECULAR_FUNCTION	0.003244832695878175	2.8035728585258773E-5	217	16454	978	101803
[OVER]	GO:0032555	purine ribonucleotide binding	MOLECULAR_FUNCTION	0.003244832695878175	2.714514601566446E-5	214	16180	981	102077
[OVER]	GO:0006886	intracellular protein transport	BIOLOGICAL_PROCESS	0.003244832695878175	2.731217107786202E-5	57	3134	1138	115123
[OVER]	GO:0097159	organic cyclic compound binding	MOLECULAR_FUNCTION	0.0033991728522735965	3.098043066235505E-5	445	37494	750	80763
[OVER]	GO:1901363	heterocyclic compound binding	MOLECULAR_FUNCTION	0.0033991728522735965	3.056773240019077E-5	445	37489	750	80768
[OVER]	GO:0004506	squalene monooxygenase activity	MOLECULAR_FUNCTION	0.0036993465355776825	3.439057114736818E-5	6	55	1189	118202
[OVER]	GO:0097367	carbohydrate derivative binding	MOLECULAR_FUNCTION	0.004445022970409834	4.213291915080411E-5	218	16654	977	101603
[OVER]	GO:0015031	protein transport	BIOLOGICAL_PROCESS	0.004990864771920533	4.8216520764088265E-5	69	4112	1126	114145
[OVER]	GO:0050896	response to stimulus	BIOLOGICAL_PROCESS	0.005020508388126873	5.0284285421032825E-5	192	14405	1003	103852
[OVER]	GO:0009233	menaquinone metabolic process	BIOLOGICAL_PROCESS	0.005020508388126873	5.207512188812416E-5	4	17	1191	118240
[OVER]	GO:0009234	menaquinone biosynthetic process	BIOLOGICAL_PROCESS	0.005020508388126873	5.207512188812416E-5	4	17	1191	118240
[OVER]	GO:0046907	intracellular transport	BIOLOGICAL_PROCESS	0.005020508388126873	5.3078652298825844E-5	60	3439	1135	114818
[OVER]	GO:0071949	FAD binding	MOLECULAR_FUNCTION	0.005020508388126873	5.289741144597293E-5	15	428	1180	117829
[OVER]	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	MOLECULAR_FUNCTION	0.005484646412481611	5.898544264243802E-5	58	3302	1137	114955
