Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0042651	thylakoid membrane	CELLULAR_COMPONENT	1.590632707110054E-8	2.6037529990343E-12	24	286	1456	116110
[OVER]	GO:0009654	photosystem II oxygen evolving complex	CELLULAR_COMPONENT	5.022122963826537E-7	3.2883437314300454E-10	17	170	1463	116226
[OVER]	GO:0019318	hexose metabolic process	BIOLOGICAL_PROCESS	5.022122963826537E-7	1.937076940822009E-10	45	1157	1435	115239
[OVER]	GO:0006006	glucose metabolic process	BIOLOGICAL_PROCESS	5.022122963826537E-7	3.0602515102166466E-10	35	759	1445	115637
[OVER]	GO:0005996	monosaccharide metabolic process	BIOLOGICAL_PROCESS	6.903725949040241E-7	5.650455024586873E-10	45	1199	1435	115197
[OVER]	GO:0016051	carbohydrate biosynthetic process	BIOLOGICAL_PROCESS	9.573564316994798E-7	9.402747733175444E-10	54	1636	1426	114760
[OVER]	GO:0044281	small molecule metabolic process	BIOLOGICAL_PROCESS	2.2180699462033942E-6	2.541576301100632E-9	239	12852	1241	103544
[OVER]	GO:0005975	carbohydrate metabolic process	BIOLOGICAL_PROCESS	8.580253628949143E-6	1.123621362442186E-8	130	6059	1350	110337
[OVER]	GO:0009579	thylakoid	CELLULAR_COMPONENT	1.8545272428261315E-5	2.7321566844713015E-8	36	957	1444	115439
[OVER]	GO:0006457	protein folding	BIOLOGICAL_PROCESS	2.625881929055886E-5	4.2983825978979965E-8	35	931	1445	115465
[OVER]	GO:0015979	photosynthesis	BIOLOGICAL_PROCESS	3.639238319732687E-5	6.552892702088649E-8	36	993	1444	115403
[OVER]	GO:0034357	photosynthetic membrane	CELLULAR_COMPONENT	4.285022530791113E-5	8.417133797592627E-8	32	826	1448	115570
[OVER]	GO:0016052	carbohydrate catabolic process	BIOLOGICAL_PROCESS	5.0381804340524514E-5	1.2749657180152708E-7	29	713	1451	115683
[OVER]	GO:0016491	oxidoreductase activity	MOLECULAR_FUNCTION	5.0381804340524514E-5	1.3762302233689736E-7	218	12076	1262	104320
[OVER]	GO:0046364	monosaccharide biosynthetic process	BIOLOGICAL_PROCESS	5.0381804340524514E-5	1.484485968455461E-7	27	635	1453	115761
[OVER]	GO:0019319	hexose biosynthetic process	BIOLOGICAL_PROCESS	5.0381804340524514E-5	1.440938299019768E-7	27	634	1453	115762
[OVER]	GO:0006094	gluconeogenesis	BIOLOGICAL_PROCESS	5.0381804340524514E-5	1.440938299019768E-7	27	634	1453	115762
[OVER]	GO:0009132	nucleoside diphosphate metabolic process	BIOLOGICAL_PROCESS	5.0381804340524514E-5	1.484485968455461E-7	27	635	1453	115761
[OVER]	GO:0006740	NADPH regeneration	BIOLOGICAL_PROCESS	6.417885320633606E-5	2.17919216272537E-7	28	690	1452	115706
[OVER]	GO:0009521	photosystem	CELLULAR_COMPONENT	6.417885320633606E-5	2.206180909040853E-7	29	733	1451	115663
[OVER]	GO:0006098	pentose-phosphate shunt	BIOLOGICAL_PROCESS	6.417885320633606E-5	2.17919216272537E-7	28	690	1452	115706
[OVER]	GO:0006739	NADP metabolic process	BIOLOGICAL_PROCESS	6.819061881043746E-5	2.455710613569527E-7	29	737	1451	115659
[OVER]	GO:0019898	extrinsic component of membrane	CELLULAR_COMPONENT	6.925991960652457E-5	2.6075923243576116E-7	24	532	1456	115864
[OVER]	GO:0006757	ATP generation from ADP	BIOLOGICAL_PROCESS	7.00434654980002E-5	3.4389896000222636E-7	23	501	1457	115895
[OVER]	GO:0051156	glucose 6-phosphate metabolic process	BIOLOGICAL_PROCESS	7.00434654980002E-5	3.4724034818695766E-7	28	707	1452	115689
[OVER]	GO:0015976	carbon utilization	BIOLOGICAL_PROCESS	7.00434654980002E-5	2.953494913572326E-7	21	420	1459	115976
[OVER]	GO:0046031	ADP metabolic process	BIOLOGICAL_PROCESS	7.00434654980002E-5	3.5543418406253177E-7	23	502	1457	115894
[OVER]	GO:0006096	glycolytic process	BIOLOGICAL_PROCESS	7.00434654980002E-5	3.4389896000222636E-7	23	501	1457	115895
[OVER]	GO:0009135	purine nucleoside diphosphate metabolic process	BIOLOGICAL_PROCESS	7.00434654980002E-5	3.5543418406253177E-7	23	502	1457	115894
[OVER]	GO:0009179	purine ribonucleoside diphosphate metabolic process	BIOLOGICAL_PROCESS	7.00434654980002E-5	3.5543418406253177E-7	23	502	1457	115894
[OVER]	GO:0009185	ribonucleoside diphosphate metabolic process	BIOLOGICAL_PROCESS	7.00434654980002E-5	3.5543418406253177E-7	23	502	1457	115894
[OVER]	GO:0051274	beta-glucan biosynthetic process	BIOLOGICAL_PROCESS	1.0395970504976479E-4	5.445589395306062E-7	17	292	1463	116104
[OVER]	GO:0009250	glucan biosynthetic process	BIOLOGICAL_PROCESS	1.111559770858838E-4	6.004497043434548E-7	18	329	1462	116067
[OVER]	GO:1901135	carbohydrate derivative metabolic process	BIOLOGICAL_PROCESS	1.213728553194932E-4	6.755077886499866E-7	102	4797	1378	111599
[OVER]	GO:0035251	UDP-glucosyltransferase activity	MOLECULAR_FUNCTION	1.2357133432693606E-4	7.079713048686793E-7	18	333	1462	116063
[OVER]	GO:0016829	lyase activity	MOLECULAR_FUNCTION	1.4304554108327127E-4	8.42959482566339E-7	64	2583	1416	113813
[OVER]	GO:0051273	beta-glucan metabolic process	BIOLOGICAL_PROCESS	1.9568238446314592E-4	1.1851773162770338E-6	17	310	1463	116086
[OVER]	GO:0051082	unfolded protein binding	MOLECULAR_FUNCTION	2.2195020013015063E-4	1.3806036347922284E-6	29	806	1451	115590
[OVER]	GO:0009523	photosystem II	CELLULAR_COMPONENT	3.1776945259407433E-4	2.132680889893116E-6	22	519	1458	115877
[OVER]	GO:0006165	nucleoside diphosphate phosphorylation	BIOLOGICAL_PROCESS	3.1776945259407433E-4	2.0387994278248792E-6	23	559	1457	115837
[OVER]	GO:0046939	nucleotide phosphorylation	BIOLOGICAL_PROCESS	3.1776945259407433E-4	2.0976645572104304E-6	23	560	1457	115836
[OVER]	GO:1990204	oxidoreductase complex	CELLULAR_COMPONENT	3.610886327396354E-4	2.4825212923661297E-6	20	443	1460	115953
[OVER]	GO:0004089	carbonate dehydratase activity	MOLECULAR_FUNCTION	4.39937535056128E-4	3.0966302189251106E-6	9	85	1471	116311
[OVER]	GO:0045300	acyl-[acyl-carrier-protein] desaturase activity	MOLECULAR_FUNCTION	5.241593215089518E-4	3.861052458324248E-6	6	28	1474	116368
[OVER]	GO:0030244	cellulose biosynthetic process	BIOLOGICAL_PROCESS	5.241593215089518E-4	3.7753418122200123E-6	14	233	1466	116163
[OVER]	GO:0016759	cellulose synthase activity	MOLECULAR_FUNCTION	7.387492547127459E-4	5.8378676827079085E-6	13	209	1467	116187
[OVER]	GO:0016760	cellulose synthase (UDP-forming) activity	MOLECULAR_FUNCTION	7.387492547127459E-4	5.8378676827079085E-6	13	209	1467	116187
[OVER]	GO:0004332	fructose-bisphosphate aldolase activity	MOLECULAR_FUNCTION	7.387492547127459E-4	5.925472823854076E-6	8	69	1472	116327
[OVER]	GO:0006091	generation of precursor metabolites and energy	BIOLOGICAL_PROCESS	7.387492547127459E-4	5.854919625396623E-6	69	3040	1411	113356
[OVER]	GO:0006011	UDP-glucose metabolic process	BIOLOGICAL_PROCESS	8.245260018636532E-4	6.748453117234025E-6	13	212	1467	116184
[OVER]	GO:0030243	cellulose metabolic process	BIOLOGICAL_PROCESS	9.536768779439055E-4	8.429947848906678E-6	14	251	1466	116145
[OVER]	GO:0034637	cellular carbohydrate biosynthetic process	BIOLOGICAL_PROCESS	9.536768779439055E-4	8.303983301757028E-6	24	656	1456	115740
[OVER]	GO:0009379	Holliday junction helicase complex	CELLULAR_COMPONENT	9.536768779439055E-4	8.155956062640057E-6	22	567	1458	115829
[OVER]	GO:0009378	four-way junction helicase activity	MOLECULAR_FUNCTION	9.536768779439055E-4	8.155956062640057E-6	22	567	1458	115829
[OVER]	GO:0015930	glutamate synthase activity	MOLECULAR_FUNCTION	0.0010548805086152192	9.497205430321992E-6	8	74	1472	116322
[OVER]	GO:0016830	carbon-carbon lyase activity	MOLECULAR_FUNCTION	0.0016136050279865317	1.5519831451957175E-5	29	920	1451	115476
[OVER]	GO:0046527	glucosyltransferase activity	MOLECULAR_FUNCTION	0.0016136050279865317	1.5584006654314187E-5	20	505	1460	115891
