Tags,GO ID,GO Name,GO Category,FDR,P-Value,Nr Test,Nr Reference,Non Annot Test,Non Annot Reference
[OVER],GO:0110165,cellular anatomical entity,CELLULAR_COMPONENT,9.73E-05,4.94E-07,974,11412,745,11178
[OVER],GO:0003735,structural constituent of ribosome,MOLECULAR_FUNCTION,2.62E-58,7.18E-62,141,257,1578,22333
[OVER],GO:0005622,intracellular anatomical structure,CELLULAR_COMPONENT,8.66E-11,3.09E-13,559,5530,1160,17060
[OVER],GO:0008152,metabolic process,BIOLOGICAL_PROCESS,7.00E-11,2.40E-13,967,10659,752,11931
[OVER],GO:0009987,cellular process,BIOLOGICAL_PROCESS,0.001658295,9.33E-06,854,10010,865,12580
[OVER],GO:0071704,organic substance metabolic process,BIOLOGICAL_PROCESS,4.43E-07,1.82E-09,738,8072,981,14518
[OVER],GO:0005198,structural molecule activity,MOLECULAR_FUNCTION,1.54E-45,1.48E-48,143,366,1576,22224
[OVER],GO:0044238,primary metabolic process,BIOLOGICAL_PROCESS,2.57E-06,1.13E-08,706,7749,1013,14841
[OVER],GO:0044237,cellular metabolic process,BIOLOGICAL_PROCESS,8.81E-07,3.75E-09,675,7309,1044,15281
[OVER],GO:0043229,intracellular organelle,CELLULAR_COMPONENT,3.17E-10,1.22E-12,479,4623,1240,17967
[OVER],GO:0043226,organelle,CELLULAR_COMPONENT,4.36E-10,1.74E-12,479,4634,1240,17956
[OVER],GO:0006807,nitrogen compound metabolic process,BIOLOGICAL_PROCESS,3.78E-04,2.02E-06,604,6720,1115,15870
[OVER],GO:0005737,cytoplasm,CELLULAR_COMPONENT,9.54E-21,1.70E-23,382,2955,1337,19635
[OVER],GO:0032991,protein-containing complex,CELLULAR_COMPONENT,2.06E-19,3.95E-22,234,1522,1485,21068
[OVER],GO:0043170,macromolecule metabolic process,BIOLOGICAL_PROCESS,0.005281132,3.12E-05,556,6270,1163,16320
[OVER],GO:0044260,cellular macromolecule metabolic process,BIOLOGICAL_PROCESS,5.93E-04,3.25E-06,508,5548,1211,17042
[OVER],GO:1901564,organonitrogen compound metabolic process,BIOLOGICAL_PROCESS,7.75E-13,2.02E-15,442,4013,1277,18577
[OVER],GO:0009058,biosynthetic process,BIOLOGICAL_PROCESS,3.22E-14,7.51E-17,405,3515,1314,19075
[OVER],GO:1901576,organic substance biosynthetic process,BIOLOGICAL_PROCESS,1.27E-14,2.62E-17,393,3358,1326,19232
[OVER],GO:0044249,cellular biosynthetic process,BIOLOGICAL_PROCESS,2.84E-12,8.95E-15,375,3295,1344,19295
[OVER],GO:0034641,cellular nitrogen compound metabolic process,BIOLOGICAL_PROCESS,1.94E-05,9.03E-08,375,3778,1344,18812
