Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0005840	ribosome	CELLULAR_COMPONENT	1.197774186713998E-58	1.6432627064261188E-62	146	276	1573	22314
[OVER]	GO:0003735	structural constituent of ribosome	MOLECULAR_FUNCTION	2.6160662755873133E-58	7.178121211654036E-62	141	257	1578	22333
[OVER]	GO:1990904	ribonucleoprotein complex	CELLULAR_COMPONENT	1.4400238977058176E-53	5.926837279623341E-57	162	398	1557	22192
[OVER]	GO:0006412	translation	BIOLOGICAL_PROCESS	6.647123160025401E-47	3.647755884223022E-50	160	448	1559	22142
[OVER]	GO:0043043	peptide biosynthetic process	BIOLOGICAL_PROCESS	8.79197486952934E-47	6.030988386287105E-50	161	456	1558	22134
[OVER]	GO:0006518	peptide metabolic process	BIOLOGICAL_PROCESS	9.38924994558811E-46	7.728837930241276E-49	162	473	1557	22117
[OVER]	GO:0005198	structural molecule activity	MOLECULAR_FUNCTION	1.544069817617352E-45	1.482849324094041E-48	143	366	1576	22224
[OVER]	GO:0043604	amide biosynthetic process	BIOLOGICAL_PROCESS	8.261500128441954E-45	9.067361918992403E-48	162	484	1557	22106
[OVER]	GO:0043603	cellular amide metabolic process	BIOLOGICAL_PROCESS	1.5939408784741405E-39	1.9680982173504273E-42	163	550	1556	22040
[OVER]	GO:0043232	intracellular non-membrane-bounded organelle	CELLULAR_COMPONENT	3.5909400158681377E-31	4.926519434583808E-34	176	759	1543	21831
[OVER]	GO:0043228	non-membrane-bounded organelle	CELLULAR_COMPONENT	3.7572805129280725E-31	5.6701997039660855E-34	176	760	1543	21830
[OVER]	GO:1901566	organonitrogen compound biosynthetic process	BIOLOGICAL_PROCESS	3.711830266631219E-27	6.110846919958105E-30	197	999	1522	21591
[OVER]	GO:0005737	cytoplasm	CELLULAR_COMPONENT	9.54143974819295E-21	1.7017247458706042E-23	382	2955	1337	19635
[OVER]	GO:0032991	protein-containing complex	CELLULAR_COMPONENT	2.0553537553478173E-19	3.947722948946281E-22	234	1522	1485	21068
[OVER]	GO:1901576	organic substance biosynthetic process	BIOLOGICAL_PROCESS	1.2745444418250698E-14	2.6228792190116678E-17	393	3358	1326	19232
[OVER]	GO:0044267	cellular protein metabolic process	BIOLOGICAL_PROCESS	1.4007837731390181E-14	3.074844336702468E-17	335	2731	1384	19859
[OVER]	GO:0009058	biosynthetic process	BIOLOGICAL_PROCESS	3.219519144520462E-14	7.508825004369303E-17	405	3515	1314	19075
[OVER]	GO:0044271	cellular nitrogen compound biosynthetic process	BIOLOGICAL_PROCESS	3.2925416948940805E-13	8.130847922635952E-16	311	2542	1408	20048
[OVER]	GO:1901564	organonitrogen compound metabolic process	BIOLOGICAL_PROCESS	7.752006403034148E-13	2.0206903780717357E-15	442	4013	1277	18577
