"","x"
"1","Novel03424"
"2","PGSC0003DMG400026354"
"3","PGSC0003DMG400010498"
"4","PGSC0003DMG400001283"
"5","PGSC0003DMG400030382"
"6","PGSC0003DMG400030092"
"7","PGSC0003DMG400021353"
"8","Novel01223"
"9","PGSC0003DMG400016154"
"10","PGSC0003DMG400004532"
"11","PGSC0003DMG400021701"
"12","PGSC0003DMG401012873"
"13","PGSC0003DMG400009213"
"14","PGSC0003DMG400016536"
"15","PGSC0003DMG400012215"
"16","PGSC0003DMG402027687"
"17","PGSC0003DMG400025737"
"18","PGSC0003DMG400020206"
"19","PGSC0003DMG400016115"
"20","PGSC0003DMG400007410"
"21","PGSC0003DMG400013574"
"22","PGSC0003DMG400001591"
"23","Novel03054"
"24","PGSC0003DMG400022855"
"25","PGSC0003DMG400004168"
"26","PGSC0003DMG400014264"
"27","PGSC0003DMG400033572"
"28","PGSC0003DMG400010637"
"29","PGSC0003DMG400000440"
"30","PGSC0003DMG400017198"
"31","PGSC0003DMG400004659"
"32","PGSC0003DMG400010485"
"33","PGSC0003DMG400019386"
"34","PGSC0003DMG400006351"
"35","PGSC0003DMG400014200"
"36","PGSC0003DMG400003964"
"37","PGSC0003DMG400030684"
"38","PGSC0003DMG400005862"
"39","PGSC0003DMG400028631"
"40","PGSC0003DMG400012163"
"41","PGSC0003DMG400014345"
"42","PGSC0003DMG400030802"
"43","PGSC0003DMG400000345"
"44","PGSC0003DMG402003830"
"45","PGSC0003DMG400030009"
"46","PGSC0003DMG400020017"
"47","PGSC0003DMG400020638"
"48","Novel00691"
"49","PGSC0003DMG400012696"
"50","PGSC0003DMG400026414"
"51","PGSC0003DMG400021865"
"52","PGSC0003DMG400016063"
"53","PGSC0003DMG400027194"
"54","PGSC0003DMG400002821"
"55","PGSC0003DMG400004299"
"56","Novel03005"
"57","PGSC0003DMG400025174"
"58","PGSC0003DMG400022500"
"59","PGSC0003DMG400012847"
"60","PGSC0003DMG400019667"
"61","Novel00371"
"62","PGSC0003DMG400019276"
"63","PGSC0003DMG401028515"
"64","PGSC0003DMG400031345"
"65","PGSC0003DMG400007160"
"66","PGSC0003DMG400015754"
"67","PGSC0003DMG400027017"
"68","PGSC0003DMG400026130"
"69","PGSC0003DMG400014293"
"70","PGSC0003DMG400035878"
"71","PGSC0003DMG400008443"
"72","PGSC0003DMG400027855"
"73","PGSC0003DMG400030575"
"74","PGSC0003DMG400010638"
"75","PGSC0003DMG400024857"
"76","PGSC0003DMG400018524"
"77","PGSC0003DMG400019764"
"78","PGSC0003DMG400015726"
"79","PGSC0003DMG400002738"
"80","PGSC0003DMG400012777"
"81","PGSC0003DMG400002541"
"82","PGSC0003DMG400020689"
"83","PGSC0003DMG400017779"
"84","Novel02915"
"85","PGSC0003DMG400046040"
"86","PGSC0003DMG400008420"
"87","PGSC0003DMG400022348"
"88","Novel02695"
"89","PGSC0003DMG400009414"
"90","PGSC0003DMG400013167"
"91","PGSC0003DMG401025318"
"92","Novel02204"
"93","PGSC0003DMG400015319"
"94","Novel02272"
"95","Novel00900"
"96","PGSC0003DMG400003144"
"97","PGSC0003DMG400023375"
"98","PGSC0003DMG400020021"
"99","PGSC0003DMG402003899"
"100","PGSC0003DMG400012762"
"101","Novel02003"
"102","PGSC0003DMG400024081"
"103","PGSC0003DMG400015334"
"104","Novel01300"
"105","PGSC0003DMG400015488"
"106","PGSC0003DMG400020050"
"107","PGSC0003DMG400025221"
"108","PGSC0003DMG400019511"
"109","PGSC0003DMG400021258"
"110","PGSC0003DMG400023728"
"111","PGSC0003DMG400025752"
"112","PGSC0003DMG400001631"
"113","PGSC0003DMG400019971"
"114","PGSC0003DMG400015464"
"115","PGSC0003DMG400030052"
"116","PGSC0003DMG400013887"
"117","PGSC0003DMG400031097"
"118","PGSC0003DMG402028683"
"119","PGSC0003DMG401018530"
"120","PGSC0003DMG401000554"
"121","PGSC0003DMG400030220"
"122","PGSC0003DMG400014879"
"123","PGSC0003DMG401018318"
"124","PGSC0003DMG400028815"
"125","PGSC0003DMG400020829"
"126","PGSC0003DMG400029406"
"127","PGSC0003DMG400017247"
"128","PGSC0003DMG400002426"
"129","PGSC0003DMG400018517"
"130","PGSC0003DMG400022983"
"131","PGSC0003DMG400025399"
"132","PGSC0003DMG400018291"
"133","PGSC0003DMG400020260"
"134","PGSC0003DMG400020118"
"135","PGSC0003DMG400024055"
"136","PGSC0003DMG400028620"
"137","PGSC0003DMG400008472"
"138","PGSC0003DMG400000708"
"139","PGSC0003DMG400022931"
"140","PGSC0003DMG400024838"
"141","Novel03457"
"142","Novel02216"
"143","PGSC0003DMG400009072"
"144","PGSC0003DMG400032122"
"145","PGSC0003DMG400002386"
"146","PGSC0003DMG400005108"
"147","PGSC0003DMG400009105"
"148","PGSC0003DMG400006381"
"149","PGSC0003DMG400013334"
"150","PGSC0003DMG402006194"
"151","PGSC0003DMG400028326"
"152","PGSC0003DMG401025624"
"153","PGSC0003DMG401029299"
"154","PGSC0003DMG400012522"
"155","PGSC0003DMG400024535"
"156","PGSC0003DMG400001659"
"157","PGSC0003DMG400018288"
"158","PGSC0003DMG401008471"
"159","PGSC0003DMG400007081"
"160","PGSC0003DMG400033045"
"161","PGSC0003DMG400024979"
"162","PGSC0003DMG400010092"
"163","PGSC0003DMG400011964"
"164","PGSC0003DMG400023327"
"165","PGSC0003DMG400023526"
"166","PGSC0003DMG400015711"
"167","PGSC0003DMG400016462"
"168","Novel00857"
"169","PGSC0003DMG400023206"
"170","PGSC0003DMG400001570"
"171","PGSC0003DMG400024310"
"172","PGSC0003DMG400020150"
"173","PGSC0003DMG400029659"
"174","PGSC0003DMG400029743"
"175","PGSC0003DMG400005931"
"176","Novel01880"
"177","PGSC0003DMG401030700"
"178","PGSC0003DMG400003562"
"179","Novel03093"
"180","PGSC0003DMG400016290"
"181","Novel00329"
"182","PGSC0003DMG400006368"
"183","PGSC0003DMG402015935"
"184","PGSC0003DMG400029620"
"185","PGSC0003DMG400018158"
"186","PGSC0003DMG404006439"
"187","PGSC0003DMG400027383"
"188","PGSC0003DMG400023943"
"189","PGSC0003DMG400000828"
"190","Novel02053"
"191","PGSC0003DMG400012763"
"192","Novel01462"
"193","PGSC0003DMG400011319"
"194","PGSC0003DMG400018819"
"195","PGSC0003DMG400016133"
"196","PGSC0003DMG400007707"
"197","Novel02232"
"198","PGSC0003DMG400008954"
"199","Novel03555"
"200","PGSC0003DMG400026970"
"201","PGSC0003DMG400021076"
"202","Novel01091"
"203","PGSC0003DMG400023742"
"204","PGSC0003DMG400014513"
"205","PGSC0003DMG400019379"
"206","PGSC0003DMG400003707"
"207","PGSC0003DMG401030679"
"208","PGSC0003DMG400030984"
"209","PGSC0003DMG400010224"
"210","PGSC0003DMG400025239"
"211","PGSC0003DMG400016625"
"212","PGSC0003DMG400006991"
"213","PGSC0003DMG400030185"
"214","PGSC0003DMG400006185"
"215","PGSC0003DMG400028897"
"216","PGSC0003DMG400003766"
"217","PGSC0003DMG401024348"
"218","PGSC0003DMG401019352"
"219","PGSC0003DMG400026319"
"220","PGSC0003DMG400003155"
"221","PGSC0003DMG400030353"
"222","PGSC0003DMG400022263"
"223","PGSC0003DMG400017291"
"224","PGSC0003DMG400027594"
"225","PGSC0003DMG400027765"
"226","Novel00018"
"227","PGSC0003DMG400010661"
"228","PGSC0003DMG400023013"
"229","PGSC0003DMG400025836"
"230","PGSC0003DMG400027152"
"231","Novel03456"
"232","PGSC0003DMG400034293"
"233","PGSC0003DMG400029552"
"234","PGSC0003DMG400013816"
"235","PGSC0003DMG400029643"
"236","PGSC0003DMG401004779"
"237","Novel01816"
"238","Novel01973"
"239","PGSC0003DMG400027124"
"240","PGSC0003DMG400008351"
"241","PGSC0003DMG400012210"
"242","PGSC0003DMG400003380"
"243","PGSC0003DMG400003516"
"244","PGSC0003DMG400030692"
"245","PGSC0003DMG400031346"
"246","Novel00806"
"247","PGSC0003DMG400030957"
"248","PGSC0003DMG400027013"
"249","PGSC0003DMG400022420"
"250","PGSC0003DMG400014013"
"251","PGSC0003DMG400029830"
"252","PGSC0003DMG400003491"
"253","PGSC0003DMG400009909"
"254","PGSC0003DMG400024264"
"255","PGSC0003DMG400002217"
"256","PGSC0003DMG400015229"
"257","PGSC0003DMG400031326"
"258","PGSC0003DMG400011249"
"259","PGSC0003DMG400029074"
"260","PGSC0003DMG400024772"
"261","PGSC0003DMG400031110"
"262","PGSC0003DMG401029058"
"263","PGSC0003DMG400006993"
"264","PGSC0003DMG400024972"
"265","PGSC0003DMG401028661"
"266","PGSC0003DMG401011998"
"267","PGSC0003DMG400029617"
"268","PGSC0003DMG400011977"
"269","PGSC0003DMG400009440"
"270","PGSC0003DMG400014102"
"271","PGSC0003DMG400025098"
"272","PGSC0003DMG400018094"
"273","PGSC0003DMG400004625"
"274","PGSC0003DMG400027012"
"275","PGSC0003DMG400024765"
"276","PGSC0003DMG400031377"
"277","PGSC0003DMG401022455"
"278","PGSC0003DMG400029107"
"279","PGSC0003DMG400000286"
"280","PGSC0003DMG401025807"
"281","PGSC0003DMG400008702"
"282","PGSC0003DMG400027530"
"283","PGSC0003DMG400026222"
"284","PGSC0003DMG400021761"
"285","Novel00819"
"286","PGSC0003DMG400031137"
"287","PGSC0003DMG400025161"
"288","PGSC0003DMG400003863"
"289","PGSC0003DMG400012191"
"290","PGSC0003DMG401024842"
"291","PGSC0003DMG401004368"
"292","PGSC0003DMG400021247"
"293","Novel00335"
"294","PGSC0003DMG400029408"
"295","PGSC0003DMG400008100"
"296","Novel02466"
"297","PGSC0003DMG400028160"
"298","PGSC0003DMG400031093"
"299","PGSC0003DMG400017341"
"300","PGSC0003DMG400010802"
"301","PGSC0003DMG400021051"
"302","PGSC0003DMG400012640"
"303","PGSC0003DMG400020703"
"304","PGSC0003DMG401005911"
"305","PGSC0003DMG401000927"
"306","PGSC0003DMG400031166"
"307","PGSC0003DMG400028267"
"308","PGSC0003DMG400006610"
"309","PGSC0003DMG400025778"
"310","PGSC0003DMG400011907"
"311","PGSC0003DMG400008256"
"312","PGSC0003DMG400025459"
"313","PGSC0003DMG400007797"
"314","PGSC0003DMG400010437"
"315","PGSC0003DMG401021514"
"316","PGSC0003DMG400002167"
"317","PGSC0003DMG400001049"
"318","PGSC0003DMG400011451"
"319","PGSC0003DMG400028112"
"320","PGSC0003DMG400025254"
"321","PGSC0003DMG400000505"
"322","PGSC0003DMG402022752"
"323","Novel01962"
"324","PGSC0003DMG402030647"
"325","PGSC0003DMG400027630"
"326","PGSC0003DMG400004643"
"327","PGSC0003DMG400028818"
"328","PGSC0003DMG400014322"
"329","PGSC0003DMG400032281"
"330","PGSC0003DMG400001630"
"331","PGSC0003DMG400020497"
"332","PGSC0003DMG400012547"
"333","PGSC0003DMG400027149"
"334","PGSC0003DMG400042481"
"335","Novel01084"
"336","PGSC0003DMG400029283"
"337","Novel00551"
"338","Novel03066"
"339","PGSC0003DMG400004605"
"340","PGSC0003DMG400009850"
"341","PGSC0003DMG400031787"
"342","PGSC0003DMG400022711"
"343","PGSC0003DMG400003993"
"344","PGSC0003DMG400008404"
"345","PGSC0003DMG403025662"
"346","PGSC0003DMG400005010"
"347","PGSC0003DMG400022578"
"348","Novel02733"
"349","PGSC0003DMG400004876"
"350","PGSC0003DMG400033874"
"351","PGSC0003DMG400024685"
"352","PGSC0003DMG400026821"
"353","PGSC0003DMG400022225"
"354","Novel02346"
"355","PGSC0003DMG400022635"
"356","PGSC0003DMG401012456"
"357","PGSC0003DMG400012421"
"358","PGSC0003DMG400017570"
"359","PGSC0003DMG400029792"
"360","Novel01629"
"361","PGSC0003DMG400020589"
"362","PGSC0003DMG401014796"
"363","PGSC0003DMG400001834"
"364","PGSC0003DMG400033903"
"365","PGSC0003DMG400001410"
"366","PGSC0003DMG400030582"
"367","Novel03458"
"368","PGSC0003DMG400005871"
"369","PGSC0003DMG400043507"
"370","PGSC0003DMG400008724"
"371","PGSC0003DMG401030227"
"372","PGSC0003DMG400002597"
"373","Novel02246"
"374","PGSC0003DMG400016010"
"375","PGSC0003DMG400003960"
"376","PGSC0003DMG400000156"
"377","PGSC0003DMG400026212"
"378","PGSC0003DMG402024348"
"379","PGSC0003DMG400006450"
"380","PGSC0003DMG400027964"
"381","PGSC0003DMG400012242"
