GO_acc,term_type,Term,queryitem,querytotal,bgitem,bgtotal,pvalue,FDR,entries
GO:0034654,P,"nucleobase, nucleoside, nucleotide and nucleic acid biosynthetic process",8,60,8,37767,3.10E-19,4.40E-17,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0055114,P,oxidation reduction,14,60,203,37767,3.80E-19,4.40E-17,// PGSC0003DMG400020809 // Novel02885 // PGSC0003DMG400020999 // PGSC0003DMG400000803 // PGSC0003DMG400026871 // PGSC0003DMG400002612 // PGSC0003DMG400018565 // PGSC0003DMG400000735 // PGSC0003DMG400032121 // PGSC0003DMG400000425 // PGSC0003DMG400011406 // PGSC0003DMG400033634 // PGSC0003DMG400009810 // PGSC0003DMG400029517 
GO:0018130,P,heterocycle biosynthetic process,9,60,123,37767,7.40E-13,5.80E-11,// PGSC0003DMG400016535 // PGSC0003DMG400030880 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0019438,P,aromatic compound biosynthetic process,8,60,237,37767,5.30E-09,3.10E-07,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0034641,P,cellular nitrogen compound metabolic process,10,60,506,37767,8.40E-09,4.00E-07,// PGSC0003DMG400016535 // PGSC0003DMG400030880 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400002473 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0008152,P,metabolic process,38,60,10614,37767,1.50E-08,5.00E-07,// PGSC0003DMG400010819 // PGSC0003DMG400029830 // PGSC0003DMG400014248 // Novel01306 // PGSC0003DMG400002612 // PGSC0003DMG400029201 // PGSC0003DMG400018565 // PGSC0003DMG400020206 // PGSC0003DMG400032121 // PGSC0003DMG400011406 // PGSC0003DMG400029517 // PGSC0003DMG400020809 // Novel02885 // PGSC0003DMG400016535 // PGSC0003DMG400004735 // PGSC0003DMG400024157 // PGSC0003DMG400001528 // PGSC0003DMG400009810 // PGSC0003DMG400002045 // Novel00135 // PGSC0003DMG400020999 // PGSC0003DMG400026871 // PGSC0003DMG400033634 // PGSC0003DMG400015342 // PGSC0003DMG400002473 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400030880 // PGSC0003DMG400000803 // PGSC0003DMG400008796 // PGSC0003DMG400011792 // PGSC0003DMG400000425 // PGSC0003DMG400000735 // PGSC0003DMG400010067 // Novel01794 // PGSC0003DMG400010638 // PGSC0003DMG400009414 // PGSC0003DMG400008677 
GO:0044271,P,cellular nitrogen compound biosynthetic process,9,60,394,37767,1.50E-08,5.00E-07,// PGSC0003DMG400016535 // PGSC0003DMG400030880 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0046483,P,heterocycle metabolic process,9,60,460,37767,5.40E-08,1.60E-06,// PGSC0003DMG400016535 // PGSC0003DMG400030880 // PGSC0003DMG400024157 // PGSC0003DMG400015342 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0006725,P,cellular aromatic compound metabolic process,8,60,399,37767,2.60E-07,6.90E-06,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400016365 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0032774,P,RNA biosynthetic process,7,60,1040,37767,0.0013,0.028,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
GO:0006351,P,"transcription, DNA-dependent",7,60,1039,37767,0.0013,0.028,// PGSC0003DMG400015342 // PGSC0003DMG400024157 // PGSC0003DMG400030880 // PGSC0003DMG400010067 // PGSC0003DMG400020206 // PGSC0003DMG400025632 // PGSC0003DMG400008677 
