GO_acc,term_type,Term,queryitem,querytotal,bgitem,bgtotal,pvalue,FDR,entries
GO:0055114,P,oxidation reduction,11,28,203,37767,2.90E-18,2.40E-16,// mRNA_9681 // mRNA_4149 // mRNA_4323 // mRNA_6063 // mRNA_2656 // mRNA_10037 // mRNA_34 // mRNA_8909 // mRNA_4763 // mRNA_7186 // mRNA_8451 
GO:0006725,P,cellular aromatic compound metabolic process,10,28,399,37767,2.20E-13,8.80E-12,// mRNA_1520 // mRNA_9681 // mRNA_621 // mRNA_2656 // mRNA_10198 // mRNA_1128 // mRNA_8909 // mRNA_3553 // mRNA_4763 // mRNA_8635 
GO:0034641,P,cellular nitrogen compound metabolic process,10,28,506,37767,2.20E-12,5.90E-11,// mRNA_1520 // mRNA_9681 // mRNA_621 // mRNA_2656 // mRNA_10198 // mRNA_1128 // mRNA_8909 // mRNA_1402 // mRNA_4763 // mRNA_3553 
GO:0046483,P,heterocycle metabolic process,9,28,460,37767,3.60E-11,7.40E-10,// mRNA_1520 // mRNA_9681 // mRNA_621 // mRNA_2656 // mRNA_10198 // mRNA_1128 // mRNA_8909 // mRNA_3553 // mRNA_4763 
GO:0018130,P,heterocycle biosynthetic process,5,28,123,37767,3.80E-08,6.20E-07,// mRNA_8909 // mRNA_1520 // mRNA_3553 // mRNA_1128 // mRNA_621 
GO:0008152,P,metabolic process,21,28,10614,37767,3.60E-07,4.90E-06,// mRNA_1520 // mRNA_9681 // mRNA_4323 // mRNA_6063 // mRNA_10347 // mRNA_621 // mRNA_2656 // mRNA_10037 // mRNA_34 // mRNA_1128 // mRNA_190 // mRNA_8909 // mRNA_1402 // mRNA_4763 // mRNA_4149 // mRNA_3553 // mRNA_8635 // mRNA_183 // mRNA_7186 // mRNA_10198 // mRNA_8451 
GO:0044271,P,cellular nitrogen compound biosynthetic process,6,28,394,37767,4.20E-07,4.90E-06,// mRNA_1520 // mRNA_621 // mRNA_1128 // mRNA_3553 // mRNA_8909 // mRNA_1402 
GO:0019438,P,aromatic compound biosynthetic process,5,28,237,37767,9.00E-07,9.10E-06,// mRNA_8909 // mRNA_1520 // mRNA_3553 // mRNA_1128 // mRNA_621 
GO:0006807,P,nitrogen compound metabolic process,10,28,3826,37767,0.00027,0.0024,// mRNA_1520 // mRNA_9681 // mRNA_621 // mRNA_2656 // mRNA_10198 // mRNA_1128 // mRNA_8909 // mRNA_1402 // mRNA_4763 // mRNA_3553 
GO:0016070,P,RNA metabolic process,6,28,1657,37767,0.0012,0.0095,// mRNA_1520 // mRNA_9681 // mRNA_2656 // mRNA_1128 // mRNA_3553 // mRNA_4763 
