Cluster-13954.7,GO:0016042
Cluster-14528.1,GO:0008152
Cluster-15354.100020,GO:0009733
Cluster-15354.100214,GO:0006955
Cluster-15354.100306,GO:0006355
Cluster-15354.100357,GO:0034314
Cluster-15354.100360,GO:0006468
Cluster-15354.100614,GO:0051321
Cluster-15354.100735,GO:0000746
Cluster-15354.100781,GO:0006351
Cluster-15354.101044,GO:0006120
Cluster-15354.101235,GO:0055085
Cluster-15354.101243,GO:0006468
Cluster-15354.101361,GO:0007165
Cluster-15354.101366,GO:0055085
Cluster-15354.101369,GO:0055085
Cluster-15354.101638,GO:0006508
Cluster-15354.101807,GO:0006281
Cluster-15354.102267,GO:0000160
Cluster-15354.102270,GO:0006355
Cluster-15354.102272,GO:0000160
Cluster-15354.102278,GO:0055114
Cluster-15354.102368,GO:0006468
Cluster-15354.102448,GO:0008152
Cluster-15354.102456,GO:0005975
Cluster-15354.102576,GO:0009405
Cluster-15354.102844,GO:0006457
Cluster-15354.102982,GO:0006810
Cluster-15354.103467,GO:0005982
Cluster-15354.103554,GO:0006952
Cluster-15354.103758,GO:0006508
Cluster-15354.103977,GO:0007165
Cluster-15354.103987,GO:0006665
Cluster-15354.104132,GO:0006098
Cluster-15354.104173,GO:0030036
Cluster-15354.104176,GO:0030036
Cluster-15354.104242,GO:0090063
Cluster-15354.104324,GO:0006694
Cluster-15354.104392,GO:0055114
Cluster-15354.104508,GO:0006694
Cluster-15354.104574,GO:0015893
Cluster-15354.104576,GO:0006810
Cluster-15354.104735,GO:0044238
Cluster-15354.104855,GO:0006810
Cluster-15354.104879,GO:0006468
Cluster-15354.105156,GO:0015979
Cluster-15354.105194,GO:0006468
Cluster-15354.105217,GO:0005975
Cluster-15354.105353,GO:0055085
Cluster-15354.105373,GO:0007268
Cluster-15354.105381,GO:0006412
Cluster-15354.105417,GO:0006096
Cluster-15354.105418,GO:0006144
Cluster-15354.105466,GO:0035556
Cluster-15354.105592,GO:0032259
Cluster-15354.105642,GO:0032259
Cluster-15354.106003,GO:0006308
Cluster-15354.106004,GO:0007165
Cluster-15354.106011,GO:0006013
Cluster-15354.106044,GO:0006355
Cluster-15354.106188,GO:0019752
Cluster-15354.106198,GO:0019752
Cluster-15354.106203,GO:0019752
Cluster-15354.106206,GO:0019752
Cluster-15354.106410,GO:0006351
Cluster-15354.106411,GO:0006351
Cluster-15354.106857,GO:0055085
Cluster-15354.106940,GO:0010506
Cluster-15354.107015,GO:0016192
Cluster-15354.107186,GO:0042967
Cluster-15354.107205,GO:0016192
Cluster-15354.107368,GO:0009069
Cluster-15354.107523,GO:0006355
Cluster-15354.107713,GO:0015979
Cluster-15354.107838,GO:0009415
Cluster-15354.107839,GO:0055085
Cluster-15354.108502,GO:0051252
Cluster-15354.108597,GO:0006468
Cluster-15354.109097,GO:0006355
Cluster-15354.109137,GO:0045454
Cluster-15354.109164,GO:0006323
Cluster-15354.109456,GO:0006075
Cluster-15354.10988,GO:0009405
Cluster-15354.109938,GO:0006123
Cluster-15354.110061,GO:0000921
Cluster-15354.110136,GO:0006355
Cluster-15354.110289,GO:0009231
Cluster-15354.110310,GO:0055114
Cluster-15354.110626,GO:0009089
Cluster-15354.110630,GO:0009089
Cluster-15354.110818,GO:0010508
Cluster-15354.110878,GO:0006096
Cluster-15354.111195,GO:0006810
Cluster-15354.111356,GO:0008152
Cluster-15354.112134,GO:0046656
Cluster-15354.112139,GO:0006629
Cluster-15354.112174,GO:0007165
Cluster-15354.112388,GO:0006468
Cluster-15354.112417,GO:0055114
Cluster-15354.112541,GO:0051252
Cluster-15354.112551,GO:0006355
Cluster-15354.112617,GO:0008152
Cluster-15354.112658,GO:0055114
Cluster-15354.112901,GO:0019069
Cluster-15354.112965,GO:0055114
Cluster-15354.112971,GO:0055114
Cluster-15354.112972,GO:0006631
Cluster-15354.112973,GO:0055114
Cluster-15354.113312,GO:0006810
Cluster-15354.113446,GO:0009058
Cluster-15354.113785,GO:0006508
Cluster-15354.113789,GO:0007049
Cluster-15354.114225,GO:0000160
Cluster-15354.114356,GO:0030683
Cluster-15354.114567,GO:0006355
Cluster-15354.114568,GO:0006355
Cluster-15354.114646,GO:0016567
Cluster-15354.114750,GO:0006144
Cluster-15354.114870,GO:0006508
Cluster-15354.114984,GO:0006457
Cluster-15354.115015,GO:0002949
Cluster-15354.115079,GO:0006011
Cluster-15354.115686,GO:0006605
Cluster-15354.115708,GO:0006027
Cluster-15354.115738,GO:0006355
Cluster-15354.115739,GO:0006230
Cluster-15354.115863,GO:0055114
Cluster-15354.115916,GO:0008152
Cluster-15354.116223,GO:0006508
Cluster-15354.116284,GO:0007165
Cluster-15354.116366,GO:0006355
Cluster-15354.116513,GO:0048309
Cluster-15354.116795,GO:0006810
Cluster-15354.116962,GO:0055114
Cluster-15354.117109,GO:0006012
Cluster-15354.117117,GO:0006094
Cluster-15354.117191,GO:0006355
Cluster-15354.117639,GO:0050832
Cluster-15354.118360,GO:0006468
Cluster-15354.118514,GO:0006468
Cluster-15354.118720,GO:0007264
Cluster-15354.118960,GO:0006355
Cluster-15354.119044,GO:0006468
Cluster-15354.119136,GO:0006457
Cluster-15354.119408,GO:0006206
Cluster-15354.119456,GO:0006013
Cluster-15354.119602,GO:0006935
Cluster-15354.120210,GO:0016998
Cluster-15354.120239,GO:0006468
Cluster-15354.120256,GO:0043401
Cluster-15354.120346,GO:0006198
Cluster-15354.120925,GO:0006260
Cluster-15354.121099,GO:0006355
Cluster-15354.121220,GO:0006950
Cluster-15354.121471,GO:0051258
Cluster-15354.121490,GO:0006118
Cluster-15354.121555,GO:0015986
Cluster-15354.121596,GO:0006511
Cluster-15354.121982,GO:0090263
Cluster-15354.122094,GO:0055114
Cluster-15354.122408,GO:0032012
Cluster-15354.122413,GO:0055114
Cluster-15354.122429,GO:0006468
Cluster-15354.122556,GO:0006355
Cluster-15354.122769,GO:0055114
