"","Gene_ID","Comparison"
"1","Cluster-67248.75476","Cv653"
"2","Cluster-67248.137729","Cv653"
"3","Cluster-67248.97664","Cv653"
"4","Cluster-21872.0","Cv653"
"5","Cluster-67248.101319","Cv653"
"6","Cluster-67248.107843","Cv653"
"7","Cluster-67248.127520","Cv653"
"8","Cluster-38634.0","Cv653"
"9","Cluster-67248.132818","Cv653"
"10","Cluster-67248.65887","Cv653"
"11","Cluster-73563.2","Cv653"
"12","Cluster-67248.13959","Cv653"
"13","Cluster-11379.0","Cv653"
"14","Cluster-67248.86831","Cv653"
"15","Cluster-67248.99142","Cv653"
"16","Cluster-67248.85568","Cv653"
"17","Cluster-67248.90898","Cv653"
"18","Cluster-67248.96338","Cv653"
"19","Cluster-67248.106883","Cv653"
"20","Cluster-67248.84097","Cv653"
"21","Cluster-67248.124400","Cv653"
"22","Cluster-67248.76847","Cv653"
"23","Cluster-67248.107305","Cv653"
"24","Cluster-67248.5351","Cv653"
"25","Cluster-67248.116978","Cv653"
"26","Cluster-67248.118176","Cv653"
"27","Cluster-67248.145870","Cv653"
"28","Cluster-12724.0","Cv653"
"29","Cluster-67248.60330","Cv653"
"30","Cluster-67248.115049","Cv653"
"31","Cluster-67248.108528","Cv653"
"32","Cluster-67248.36113","Cv653"
"33","Cluster-67248.34321","Cv653"
"34","Cluster-67248.157720","Cv653"
"35","Cluster-5943.0","Cv653"
"36","Cluster-67248.87698","Cv653"
"37","Cluster-67248.107452","Cv653"
"38","Cluster-67248.150475","Cv653"
"39","Cluster-8912.0","Cv653"
"40","Cluster-67248.74132","Cv653"
"41","Cluster-67248.69949","Cv653"
"42","Cluster-67248.91349","Cv653"
"43","Cluster-67248.112030","Cv653"
"44","Cluster-67248.101971","Cv653"
"45","Cluster-67248.92570","Cv653"
"46","Cluster-67248.34459","Cv653"
"47","Cluster-67248.103909","Cv653"
"48","Cluster-67248.49199","Cv653"
"49","Cluster-67248.94807","Cv653"
"50","Cluster-67248.115536","Cv653"
"51","Cluster-51470.0","Cv653"
"52","Cluster-67248.13909","Cv653"
"53","Cluster-67248.76489","Cv653"
"54","Cluster-67248.133030","Cv653"
"55","Cluster-31837.1","Cv653"
"56","Cluster-67248.106796","Cv653"
"57","Cluster-67248.97235","Cv653"
"58","Cluster-67248.67629","Cv653"
"59","Cluster-67248.62076","Cv653"
"60","Cluster-67248.106373","Cv653"
"61","Cluster-67248.97704","Cv653"
"62","Cluster-71973.0","Cv653"
"63","Cluster-67248.55799","Cv653"
"64","Cluster-67248.5858","Cv653"
"65","Cluster-67248.57902","Cv653"
"66","Cluster-67248.97736","Cv653"
"67","Cluster-67248.76270","Cv653"
"68","Cluster-67248.115450","Cv653"
"69","Cluster-67248.141316","Cv653"
"70","Cluster-67248.128314","Cv653"
"71","Cluster-67248.98373","Cv653"
"72","Cluster-67248.84245","Cv653"
"73","Cluster-67248.55800","Cv653"
"74","Cluster-67248.139003","Cv653"
"75","Cluster-67248.128273","Cv653"
"76","Cluster-67248.154099","Cv653"
"77","Cluster-67248.4208","Cv653"
"78","Cluster-67248.107809","Cv653"
"79","Cluster-67248.18739","Cv653"
"80","Cluster-67248.97002","Cv653"
"81","Cluster-67248.82520","Cv653"
"82","Cluster-7595.0","Cv653"
"83","Cluster-34682.0","Cv653"
"84","Cluster-67248.115151","Cv653"
"85","Cluster-67248.97453","Cv653"
"86","Cluster-67248.117440","Cv653"
"87","Cluster-67248.75344","Cv653"
"88","Cluster-67248.39221","Cv653"
"89","Cluster-67248.123409","Cv653"
"90","Cluster-67248.29944","Cv653"
"91","Cluster-67248.102048","Cv653"
"92","Cluster-67248.90923","Cv653"
"93","Cluster-67248.78704","Cv653"
"94","Cluster-67248.142094","Cv653"
"95","Cluster-67248.55802","Cv653"
"96","Cluster-67248.101181","Cv653"
"97","Cluster-67248.84167","Cv653"
"98","Cluster-67248.85825","Cv653"
"99","Cluster-67248.30494","Cv653"
"100","Cluster-9143.0","Cv653"
"101","Cluster-67248.68108","Cv653"
"102","Cluster-67248.117780","Cv653"
"103","Cluster-67248.149503","Cv653"
"104","Cluster-6227.0","Cv653"
"105","Cluster-67248.98385","Cv653"
"106","Cluster-67248.147797","Cv653"
"107","Cluster-21903.0","Cv653"
"108","Cluster-67248.172501","Cv653"
"109","Cluster-67248.118166","Cv653"
"110","Cluster-67248.133712","Cv653"
"111","Cluster-67248.85225","Cv653"
"112","Cluster-67248.95858","Cv653"
"113","Cluster-67248.65881","Cv653"
"114","Cluster-67248.47429","Cv653"
"115","Cluster-67248.96071","Cv653"
"116","Cluster-67248.25091","Cv653"
"117","Cluster-67248.98079","Cv653"
"118","Cluster-67248.22719","Cv653"
"119","Cluster-67248.126128","Cv653"
"120","Cluster-67248.114906","Cv653"
"121","Cluster-67248.124067","Cv653"
"122","Cluster-67248.44437","Cv653"
"123","Cluster-67248.110830","Cv653"
"124","Cluster-67248.92568","Cv653"
"125","Cluster-67248.166488","Cv653"
"126","Cluster-67248.145457","Cv653"
"127","Cluster-67248.121974","Cv653"
"128","Cluster-67248.92208","Cv653"
"129","Cluster-67248.113479","Cv653"
"130","Cluster-67248.99044","Cv653"
"131","Cluster-67248.68738","Cv653"
"132","Cluster-67248.100616","Cv653"
"133","Cluster-67248.25232","Cv653"
"134","Cluster-29414.0","Cv653"
"135","Cluster-67248.34464","Cv653"
"136","Cluster-67248.174527","Cv653"
"137","Cluster-67248.55128","Cv653"
"138","Cluster-67248.89076","Cv653"
"139","Cluster-67248.120535","Cv653"
"140","Cluster-67248.80259","Cv653"
"141","Cluster-67248.97742","Cv653"
"142","Cluster-67248.75055","Cv653"
"143","Cluster-67248.129896","Cv653"
"144","Cluster-67248.55801","Cv653"
"145","Cluster-67248.101419","Cv653"
"146","Cluster-67248.145378","Cv653"
"147","Cluster-67248.106499","Cv653"
"148","Cluster-67248.96714","Cv653"
"149","Cluster-67248.93194","Cv653"
"150","Cluster-67248.130547","Cv653"
"151","Cluster-67248.100667","Cv653"
"152","Cluster-67248.61356","Cv653"
"153","Cluster-67248.148421","Cv653"
"154","Cluster-67248.108515","Cv653"
"155","Cluster-67248.83843","Cv653"
"156","Cluster-67248.65027","Cv653"
"157","Cluster-67248.97054","Cv653"
"158","Cluster-67248.98511","Cv653"
"159","Cluster-67248.147119","Cv653"
"160","Cluster-67248.4354","Cv653"
"161","Cluster-67248.158990","Cv653"
"162","Cluster-67248.33940","Cv653"
"163","Cluster-67248.130546","Cv653"
"164","Cluster-67248.88914","Cv653"
"165","Cluster-67248.41890","Cv653"
"166","Cluster-42771.0","Cv653"
"167","Cluster-67248.140271","Cv653"
"168","Cluster-67248.103607","Cv653"
"169","Cluster-67248.128133","Cv653"
"170","Cluster-21194.2","Cv653"
"171","Cluster-67248.46132","Cv653"
"172","Cluster-67248.77198","Cv653"
"173","Cluster-67248.98503","Cv653"
"174","Cluster-67248.155958","Cv653"
"175","Cluster-67248.117442","Cv653"
"176","Cluster-67248.55310","Cv653"
"177","Cluster-67248.123899","Cv653"
"178","Cluster-67248.96719","Cv653"
"179","Cluster-67248.41609","Cv653"
"180","Cluster-67248.95057","Cv653"
"181","Cluster-67248.90443","Cv653"
"182","Cluster-67248.98959","Cv653"
"183","Cluster-67248.65394","Cv653"
"184","Cluster-67248.39226","Cv653"
"185","Cluster-67248.25173","Cv111"
"186","Cluster-67248.114859","Cv111"
"187","Cluster-67248.99613","Cv111"
"188","Cluster-67248.121112","Cv111"
"189","Cluster-67248.67315","Cv111"
"190","Cluster-67248.115467","Cv111"
"191","Cluster-67248.75476","Cv111"
"192","Cluster-67248.80850","Cv111"
"193","Cluster-67248.115240","Cv111"
"194","Cluster-67248.119870","Cv111"
"195","Cluster-67248.137729","Cv111"
"196","Cluster-67248.37854","Cv111"
"197","Cluster-67248.106057","Cv111"
"198","Cluster-67248.102822","Cv111"
"199","Cluster-67248.68771","Cv111"
"200","Cluster-67248.69836","Cv111"
"201","Cluster-67248.106340","Cv111"
"202","Cluster-67248.111006","Cv111"
"203","Cluster-67248.97664","Cv111"
"204","Cluster-67248.101319","Cv111"
"205","Cluster-67248.97566","Cv111"
"206","Cluster-67248.133140","Cv111"
"207","Cluster-67248.114082","Cv111"
"208","Cluster-67248.120460","Cv111"
"209","Cluster-67248.124956","Cv111"
"210","Cluster-67248.115960","Cv111"
"211","Cluster-67248.88233","Cv111"
"212","Cluster-67248.127520","Cv111"
"213","Cluster-38634.0","Cv111"
"214","Cluster-67248.73459","Cv111"
"215","Cluster-67248.92937","Cv111"
"216","Cluster-67248.144983","Cv111"
"217","Cluster-67248.83389","Cv111"
"218","Cluster-67248.77810","Cv111"
"219","Cluster-67248.109976","Cv111"
"220","Cluster-67248.115849","Cv111"
"221","Cluster-67248.54100","Cv111"
"222","Cluster-67248.132818","Cv111"
"223","Cluster-67248.82229","Cv111"
"224","Cluster-67248.84071","Cv111"
"225","Cluster-67248.146207","Cv111"
"226","Cluster-67248.123875","Cv111"
"227","Cluster-67248.131113","Cv111"
"228","Cluster-67248.104884","Cv111"
"229","Cluster-67248.145589","Cv111"
"230","Cluster-67248.107824","Cv111"
"231","Cluster-71171.0","Cv111"
"232","Cluster-67248.101158","Cv111"
"233","Cluster-67248.97639","Cv111"
"234","Cluster-67248.38271","Cv111"
"235","Cluster-67248.104243","Cv111"
"236","Cluster-67248.65887","Cv111"
"237","Cluster-67248.104385","Cv111"
"238","Cluster-67248.96588","Cv111"
"239","Cluster-73563.2","Cv111"
"240","Cluster-67248.163091","Cv111"
"241","Cluster-67248.92940","Cv111"
"242","Cluster-67248.105163","Cv111"
"243","Cluster-67248.130404","Cv111"
"244","Cluster-67248.105453","Cv111"
"245","Cluster-67248.125838","Cv111"
"246","Cluster-67248.94094","Cv111"
"247","Cluster-67248.139756","Cv111"
"248","Cluster-67248.130236","Cv111"
"249","Cluster-67248.132612","Cv111"
"250","Cluster-67248.104246","Cv111"
"251","Cluster-67248.48130","Cv111"
"252","Cluster-67248.84901","Cv111"
"253","Cluster-67248.88871","Cv111"
"254","Cluster-67248.123341","Cv111"
"255","Cluster-67248.117096","Cv111"
"256","Cluster-67248.79689","Cv111"
"257","Cluster-67248.123018","Cv111"
"258","Cluster-67248.80120","Cv111"
"259","Cluster-67248.62498","Cv111"
"260","Cluster-67248.114098","Cv111"
"261","Cluster-67248.99365","Cv111"
"262","Cluster-67248.115998","Cv111"
"263","Cluster-67248.95596","Cv111"
"264","Cluster-67248.116066","Cv111"
"265","Cluster-67248.116155","Cv111"
"266","Cluster-67248.104084","Cv111"
"267","Cluster-67248.173471","Cv111"
"268","Cluster-67248.90934","Cv111"
"269","Cluster-67248.59433","Cv111"
"270","Cluster-11379.0","Cv111"
"271","Cluster-67248.98139","Cv111"
"272","Cluster-67248.75044","Cv111"
"273","Cluster-67248.71493","Cv111"
"274","Cluster-12662.0","Cv111"
"275","Cluster-67248.5992","Cv111"
"276","Cluster-67248.83783","Cv111"
"277","Cluster-67248.157273","Cv111"
"278","Cluster-67248.125209","Cv111"
"279","Cluster-67248.92798","Cv111"
"280","Cluster-67248.123223","Cv111"
"281","Cluster-67248.106934","Cv111"
"282","Cluster-67248.86831","Cv111"
"283","Cluster-67248.80602","Cv111"
"284","Cluster-67248.96582","Cv111"
"285","Cluster-67248.114585","Cv111"
"286","Cluster-67248.100650","Cv111"
"287","Cluster-67248.71505","Cv111"
"288","Cluster-67248.106337","Cv111"
"289","Cluster-67248.104088","Cv111"
"290","Cluster-67248.115569","Cv111"
"291","Cluster-67248.114681","Cv111"
"292","Cluster-67248.88741","Cv111"
"293","Cluster-67248.136753","Cv111"
"294","Cluster-67248.99142","Cv111"
"295","Cluster-67248.100538","Cv111"
"296","Cluster-67248.95417","Cv111"
"297","Cluster-67248.82719","Cv111"
"298","Cluster-67248.51096","Cv111"
"299","Cluster-67248.112916","Cv111"
"300","Cluster-67248.85568","Cv111"
"301","Cluster-67248.111638","Cv111"
"302","Cluster-67248.125381","Cv111"
"303","Cluster-67248.98903","Cv111"
"304","Cluster-67248.6264","Cv111"
"305","Cluster-67248.147948","Cv111"
"306","Cluster-67248.104224","Cv111"
"307","Cluster-67248.58784","Cv111"
"308","Cluster-67248.96979","Cv111"
"309","Cluster-67248.108165","Cv111"
"310","Cluster-67248.89733","Cv111"
"311","Cluster-67248.121665","Cv111"
"312","Cluster-67248.90898","Cv111"
"313","Cluster-67248.87982","Cv111"
"314","Cluster-67248.106883","Cv111"
"315","Cluster-67248.102789","Cv111"
"316","Cluster-67248.84097","Cv111"
"317","Cluster-67248.135023","Cv111"
"318","Cluster-67248.113187","Cv111"
"319","Cluster-67248.152682","Cv111"
"320","Cluster-67248.113369","Cv111"
"321","Cluster-67248.80974","Cv111"
"322","Cluster-67248.123094","Cv111"
"323","Cluster-73688.0","Cv111"
"324","Cluster-67248.129917","Cv111"
"325","Cluster-67248.124400","Cv111"
"326","Cluster-67248.97793","Cv111"
"327","Cluster-67248.76378","Cv111"
"328","Cluster-67248.90087","Cv111"
"329","Cluster-67248.107477","Cv111"
"330","Cluster-67248.153054","Cv111"
"331","Cluster-67248.69656","Cv111"
"332","Cluster-67248.132235","Cv111"
"333","Cluster-67248.74164","Cv111"
"334","Cluster-67248.74241","Cv111"
"335","Cluster-67248.139330","Cv111"
"336","Cluster-67248.99760","Cv111"
"337","Cluster-67248.131711","Cv111"
"338","Cluster-67248.127473","Cv111"
"339","Cluster-67248.83303","Cv111"
"340","Cluster-67248.121766","Cv111"
"341","Cluster-67248.123207","Cv111"
"342","Cluster-67248.76847","Cv111"
"343","Cluster-67248.25931","Cv111"
"344","Cluster-67248.107305","Cv111"
"345","Cluster-67248.145874","Cv111"
"346","Cluster-67248.5351","Cv111"
"347","Cluster-67248.102222","Cv111"
"348","Cluster-67248.105579","Cv111"
"349","Cluster-67248.116848","Cv111"
"350","Cluster-67248.43252","Cv111"
"351","Cluster-67248.98740","Cv111"
"352","Cluster-67248.95673","Cv111"
"353","Cluster-67248.95310","Cv111"
"354","Cluster-67248.84302","Cv111"
"355","Cluster-67248.104133","Cv111"
"356","Cluster-67248.31901","Cv111"
"357","Cluster-67248.99469","Cv111"
"358","Cluster-67248.103625","Cv111"
"359","Cluster-67248.129464","Cv111"
"360","Cluster-67248.124160","Cv111"
"361","Cluster-67248.131314","Cv111"
"362","Cluster-67248.4121","Cv111"
"363","Cluster-67248.107526","Cv111"
"364","Cluster-67248.133784","Cv111"
"365","Cluster-67248.88088","Cv111"
"366","Cluster-67248.89378","Cv111"
"367","Cluster-67248.114133","Cv111"
"368","Cluster-67248.145058","Cv111"
"369","Cluster-67248.158168","Cv111"
"370","Cluster-67248.107827","Cv111"
"371","Cluster-67248.115246","Cv111"
"372","Cluster-67248.50537","Cv111"
"373","Cluster-67248.140657","Cv111"
"374","Cluster-67248.128554","Cv111"
"375","Cluster-67248.165565","Cv111"
"376","Cluster-67248.39287","Cv111"
"377","Cluster-67248.118176","Cv111"
"378","Cluster-67248.38272","Cv111"
"379","Cluster-67248.109875","Cv111"
"380","Cluster-67248.84786","Cv111"
"381","Cluster-67248.110957","Cv111"
"382","Cluster-67248.100936","Cv111"
"383","Cluster-67248.100027","Cv111"
"384","Cluster-67248.69157","Cv111"
"385","Cluster-67248.52261","Cv111"
"386","Cluster-67248.28546","Cv111"
"387","Cluster-67248.87839","Cv111"
"388","Cluster-67248.96624","Cv111"
"389","Cluster-67248.98620","Cv111"
"390","Cluster-67248.108372","Cv111"
"391","Cluster-67248.127009","Cv111"
"392","Cluster-67248.94479","Cv111"
"393","Cluster-67248.89699","Cv111"
"394","Cluster-67248.94941","Cv111"
"395","Cluster-67248.98741","Cv111"
"396","Cluster-67248.108536","Cv111"
"397","Cluster-67248.96888","Cv111"
"398","Cluster-67248.96583","Cv111"
"399","Cluster-67248.78919","Cv111"
"400","Cluster-67248.87437","Cv111"
"401","Cluster-67248.135042","Cv111"
"402","Cluster-67248.172037","Cv111"
"403","Cluster-67248.112206","Cv111"
"404","Cluster-67248.145870","Cv111"
"405","Cluster-67248.140445","Cv111"
"406","Cluster-67248.87114","Cv111"
"407","Cluster-67248.142193","Cv111"
"408","Cluster-67248.163816","Cv111"
"409","Cluster-67248.43841","Cv111"
"410","Cluster-67248.41724","Cv111"
"411","Cluster-12724.0","Cv111"
"412","Cluster-67248.111746","Cv111"
"413","Cluster-67248.84604","Cv111"
"414","Cluster-67248.97697","Cv111"
"415","Cluster-67248.60330","Cv111"
"416","Cluster-67248.115049","Cv111"
"417","Cluster-67248.88401","Cv111"
"418","Cluster-67248.118221","Cv111"
"419","Cluster-67248.108528","Cv111"
"420","Cluster-67248.110085","Cv111"
"421","Cluster-67248.111492","Cv111"
"422","Cluster-67248.98012","Cv111"
"423","Cluster-67248.92672","Cv111"
"424","Cluster-67248.102890","Cv111"
"425","Cluster-67248.108047","Cv111"
"426","Cluster-67248.110587","Cv111"
"427","Cluster-67248.111775","Cv111"
"428","Cluster-67248.36113","Cv111"
"429","Cluster-67248.157720","Cv111"
"430","Cluster-67248.67344","Cv111"
"431","Cluster-67248.98319","Cv111"
"432","Cluster-67248.125017","Cv111"
"433","Cluster-67248.87315","Cv111"
"434","Cluster-67248.118924","Cv111"
"435","Cluster-5943.0","Cv111"
"436","Cluster-67248.93520","Cv111"
"437","Cluster-67248.82530","Cv111"
"438","Cluster-67248.87698","Cv111"
"439","Cluster-67248.78924","Cv111"
"440","Cluster-67248.145860","Cv111"
"441","Cluster-67248.157695","Cv111"
"442","Cluster-67248.95931","Cv111"
"443","Cluster-67248.150475","Cv111"
"444","Cluster-67248.59311","Cv111"
"445","Cluster-67248.33971","Cv111"
"446","Cluster-67248.115724","Cv111"
"447","Cluster-67248.66995","Cv111"
"448","Cluster-67248.131392","Cv111"
"449","Cluster-67248.95894","Cv111"
"450","Cluster-67245.0","Cv111"
"451","Cluster-67248.140258","Cv111"
"452","Cluster-67248.130621","Cv111"
"453","Cluster-67248.59436","Cv111"
"454","Cluster-67248.102416","Cv111"
"455","Cluster-67248.121676","Cv111"
"456","Cluster-67248.134515","Cv111"
"457","Cluster-67248.98854","Cv111"
"458","Cluster-8912.0","Cv111"
"459","Cluster-67248.99423","Cv111"
"460","Cluster-67248.77705","Cv111"
"461","Cluster-67248.150048","Cv111"
"462","Cluster-67248.112611","Cv111"
"463","Cluster-67248.74132","Cv111"
"464","Cluster-67248.104448","Cv111"
"465","Cluster-67248.172499","Cv111"
"466","Cluster-67248.62534","Cv111"
"467","Cluster-67248.108390","Cv111"
"468","Cluster-67248.100116","Cv111"
"469","Cluster-67248.47681","Cv111"
"470","Cluster-67248.107110","Cv111"
"471","Cluster-67248.74601","Cv111"
"472","Cluster-67248.86976","Cv111"
"473","Cluster-67248.46306","Cv111"
"474","Cluster-67248.112209","Cv111"
"475","Cluster-67248.69949","Cv111"
"476","Cluster-67248.24071","Cv111"
"477","Cluster-67248.124071","Cv111"
"478","Cluster-67248.88475","Cv111"
"479","Cluster-67248.98983","Cv111"
"480","Cluster-67248.89451","Cv111"
"481","Cluster-67248.102646","Cv111"
"482","Cluster-67248.127310","Cv111"
"483","Cluster-67248.91349","Cv111"
"484","Cluster-67248.101633","Cv111"
"485","Cluster-67248.137924","Cv111"
"486","Cluster-67248.115664","Cv111"
"487","Cluster-67248.149667","Cv111"
"488","Cluster-48148.2","Cv111"
"489","Cluster-67248.98441","Cv111"
"490","Cluster-67248.127163","Cv111"
"491","Cluster-67248.107461","Cv111"
"492","Cluster-67248.106136","Cv111"
"493","Cluster-67248.85536","Cv111"
"494","Cluster-67248.65593","Cv111"
"495","Cluster-67248.115671","Cv111"
"496","Cluster-67248.59762","Cv111"
"497","Cluster-67248.96107","Cv111"
"498","Cluster-67248.106889","Cv111"
"499","Cluster-67248.131888","Cv111"
"500","Cluster-67248.102050","Cv111"
"501","Cluster-67248.158081","Cv111"
"502","Cluster-67248.79535","Cv111"
"503","Cluster-67248.70925","Cv111"
"504","Cluster-67248.99822","Cv111"
"505","Cluster-67248.122872","Cv111"
"506","Cluster-67248.116057","Cv111"
"507","Cluster-67248.96014","Cv111"
"508","Cluster-71180.0","Cv111"
"509","Cluster-67248.68453","Cv111"
"510","Cluster-67248.57733","Cv111"
"511","Cluster-67248.112030","Cv111"
"512","Cluster-67248.101971","Cv111"
"513","Cluster-67248.110805","Cv111"
"514","Cluster-67248.115826","Cv111"
"515","Cluster-67248.92570","Cv111"
"516","Cluster-67248.80348","Cv111"
"517","Cluster-67248.163265","Cv111"
"518","Cluster-67248.34753","Cv111"
"519","Cluster-67248.99848","Cv111"
"520","Cluster-67248.113672","Cv111"
"521","Cluster-67248.127864","Cv111"
"522","Cluster-67248.103612","Cv111"
"523","Cluster-67248.103909","Cv111"
"524","Cluster-67248.82255","Cv111"
"525","Cluster-67248.100033","Cv111"
"526","Cluster-67248.62306","Cv111"
"527","Cluster-67248.91698","Cv111"
"528","Cluster-67248.82464","Cv111"
"529","Cluster-67248.41201","Cv111"
"530","Cluster-67248.53436","Cv111"
"531","Cluster-67248.132609","Cv111"
"532","Cluster-67248.99927","Cv111"
"533","Cluster-67248.121765","Cv111"
"534","Cluster-67248.99067","Cv111"
"535","Cluster-67248.141966","Cv111"
"536","Cluster-67248.112181","Cv111"
"537","Cluster-67248.135347","Cv111"
"538","Cluster-67248.104256","Cv111"
"539","Cluster-67248.65674","Cv111"
"540","Cluster-67248.100782","Cv111"
"541","Cluster-67248.135466","Cv111"
"542","Cluster-67248.49199","Cv111"
"543","Cluster-67248.102459","Cv111"
"544","Cluster-67248.115870","Cv111"
"545","Cluster-67248.151551","Cv111"
"546","Cluster-67248.71743","Cv111"
"547","Cluster-67248.99896","Cv111"
"548","Cluster-67248.115536","Cv111"
"549","Cluster-67248.97239","Cv111"
"550","Cluster-67248.115364","Cv111"
"551","Cluster-67248.26182","Cv111"
"552","Cluster-67248.86827","Cv111"
"553","Cluster-67248.101018","Cv111"
"554","Cluster-67248.82531","Cv111"
"555","Cluster-67248.99572","Cv111"
"556","Cluster-67248.28846","Cv111"
"557","Cluster-67248.104082","Cv111"
"558","Cluster-45428.1","Cv111"
"559","Cluster-67248.131642","Cv111"
"560","Cluster-67248.90355","Cv111"
"561","Cluster-67248.141352","Cv111"
"562","Cluster-67248.167058","Cv111"
"563","Cluster-67248.125006","Cv111"
"564","Cluster-67248.39150","Cv111"
"565","Cluster-67248.92938","Cv111"
"566","Cluster-67248.87057","Cv111"
"567","Cluster-67248.76977","Cv111"
"568","Cluster-67248.109143","Cv111"
"569","Cluster-67248.18493","Cv111"
"570","Cluster-67248.122581","Cv111"
"571","Cluster-67248.117045","Cv111"
"572","Cluster-67248.90892","Cv111"
"573","Cluster-67248.83874","Cv111"
"574","Cluster-67248.148557","Cv111"
"575","Cluster-67248.126626","Cv111"
"576","Cluster-67248.19877","Cv111"
"577","Cluster-67248.13909","Cv111"
"578","Cluster-64287.0","Cv111"
"579","Cluster-67248.160557","Cv111"
"580","Cluster-67248.92943","Cv111"
"581","Cluster-67248.76489","Cv111"
"582","Cluster-67248.78431","Cv111"
"583","Cluster-67248.3081","Cv111"
"584","Cluster-67248.125955","Cv111"
"585","Cluster-67248.116351","Cv111"
"586","Cluster-67248.99818","Cv111"
"587","Cluster-67248.133030","Cv111"
"588","Cluster-67248.89637","Cv111"
"589","Cluster-67248.116386","Cv111"
"590","Cluster-67248.35464","Cv111"
"591","Cluster-67248.99637","Cv111"
"592","Cluster-67248.104792","Cv111"
"593","Cluster-67248.112168","Cv111"
"594","Cluster-67248.100000","Cv111"
"595","Cluster-67248.73417","Cv111"
"596","Cluster-67248.98233","Cv111"
"597","Cluster-67248.115111","Cv111"
"598","Cluster-67248.115148","Cv111"
"599","Cluster-67248.106744","Cv111"
"600","Cluster-67248.78975","Cv111"
"601","Cluster-67248.153516","Cv111"
"602","Cluster-67248.122841","Cv111"
"603","Cluster-67248.123375","Cv111"
"604","Cluster-67248.76854","Cv111"
"605","Cluster-67248.125502","Cv111"
"606","Cluster-44468.0","Cv111"
"607","Cluster-67248.103792","Cv111"
"608","Cluster-67248.104424","Cv111"
"609","Cluster-67248.117067","Cv111"
"610","Cluster-67248.124063","Cv111"
"611","Cluster-67248.92493","Cv111"
"612","Cluster-67248.91877","Cv111"
"613","Cluster-67248.122847","Cv111"
"614","Cluster-67248.117874","Cv111"
"615","Cluster-67248.106332","Cv111"
"616","Cluster-67248.106796","Cv111"
"617","Cluster-63417.0","Cv111"
"618","Cluster-67248.149131","Cv111"
"619","Cluster-67248.123117","Cv111"
"620","Cluster-67248.123177","Cv111"
"621","Cluster-67248.50635","Cv111"
"622","Cluster-67248.78087","Cv111"
"623","Cluster-67248.109224","Cv111"
"624","Cluster-67248.154811","Cv111"
"625","Cluster-67248.56082","Cv111"
"626","Cluster-67248.97521","Cv111"
"627","Cluster-67248.103781","Cv111"
"628","Cluster-67248.154178","Cv111"
"629","Cluster-67248.117751","Cv111"
"630","Cluster-67248.98067","Cv111"
"631","Cluster-67248.80958","Cv111"
"632","Cluster-67248.111401","Cv111"
"633","Cluster-67248.89739","Cv111"
"634","Cluster-67248.119101","Cv111"
"635","Cluster-67248.122558","Cv111"
"636","Cluster-67248.83385","Cv111"
"637","Cluster-67248.83468","Cv111"
"638","Cluster-67248.142674","Cv111"
"639","Cluster-67248.77988","Cv111"
"640","Cluster-67248.91872","Cv111"
"641","Cluster-67248.100572","Cv111"
"642","Cluster-67248.108388","Cv111"
"643","Cluster-67248.152390","Cv111"
"644","Cluster-67248.100692","Cv111"
"645","Cluster-67248.86253","Cv111"
"646","Cluster-67248.106021","Cv111"
"647","Cluster-67248.97196","Cv111"
"648","Cluster-67248.101576","Cv111"
"649","Cluster-67248.44435","Cv111"
"650","Cluster-67248.101937","Cv111"
"651","Cluster-67248.63365","Cv111"
"652","Cluster-67248.127116","Cv111"
"653","Cluster-67248.97235","Cv111"
"654","Cluster-67248.76700","Cv111"
"655","Cluster-67248.98664","Cv111"
"656","Cluster-67248.79178","Cv111"
"657","Cluster-67248.128913","Cv111"
"658","Cluster-67248.103344","Cv111"
"659","Cluster-67248.116173","Cv111"
"660","Cluster-67248.101019","Cv111"
"661","Cluster-67248.111605","Cv111"
"662","Cluster-67248.67629","Cv111"
"663","Cluster-67248.106134","Cv111"
"664","Cluster-67248.118629","Cv111"
"665","Cluster-67248.82145","Cv111"
"666","Cluster-67248.62650","Cv111"
"667","Cluster-67248.87650","Cv111"
"668","Cluster-67248.99869","Cv111"
"669","Cluster-67248.117250","Cv111"
"670","Cluster-67248.76925","Cv111"
"671","Cluster-67248.11825","Cv111"
"672","Cluster-67248.82557","Cv111"
"673","Cluster-67248.81412","Cv111"
"674","Cluster-67248.96874","Cv111"
"675","Cluster-67248.60064","Cv111"
"676","Cluster-67248.149621","Cv111"
"677","Cluster-67248.92211","Cv111"
"678","Cluster-67248.143751","Cv111"
"679","Cluster-67248.21106","Cv111"
"680","Cluster-67248.87072","Cv111"
"681","Cluster-67248.107838","Cv111"
"682","Cluster-67248.114875","Cv111"
