"","Gene_ID","Comparison"
"1","mRNA_5735","M6vS6"
"2","mRNA_10198","M6vS6"
"3","mRNA_6063","M6vS6"
"4","mRNA_10037","M6vS6"
"5","mRNA_8909","M6vS6"
"6","mRNA_7186","M6vS6"
"7","mRNA_7744","M6vS6"
"8","mRNA_190","M6vS6"
"9","mRNA_4763","M6vS6"
"10","mRNA_3627","M6vS6"
"11","mRNA_6472","M6vS6"
"12","mRNA_34","M6vS6"
"13","mRNA_8402","M6vS6"
"14","mRNA_621","M6vS6"
"15","mRNA_1402","M6vS6"
"16","mRNA_6708","M6vS6"
"17","mRNA_10347","B6vS6"
"18","mRNA_1341","B6vS6"
"19","mRNA_10198","S1vM1"
"20","mRNA_2785","S1vM1"
"21","mRNA_6063","S1vM1"
"22","mRNA_8909","S1vM1"
"23","mRNA_183","S1vM1"
"24","mRNA_8635","S1vM1"
"25","mRNA_190","S1vM1"
"26","mRNA_8565","S1vM1"
"27","mRNA_4763","S1vM1"
"28","mRNA_6472","S1vM1"
"29","mRNA_34","S1vM1"
"30","mRNA_1922","S1vM1"
"31","mRNA_621","S1vM1"
"32","mRNA_2656","S1vM1"
"33","mRNA_6708","S1vM1"
"34","mRNA_1128","S1vM1"
"35","mRNA_9290","S1vM1"
"36","mRNA_4837","B1vM1"
"37","mRNA_10198","B1vM1"
"38","mRNA_2785","B1vM1"
"39","mRNA_1342","B1vM1"
"40","mRNA_4323","B1vM1"
"41","mRNA_8458","B1vM1"
"42","mRNA_1789","B1vM1"
"43","mRNA_183","B1vM1"
"44","mRNA_8635","B1vM1"
"45","mRNA_9681","B1vM1"
"46","mRNA_190","B1vM1"
"47","mRNA_8565","B1vM1"
"48","mRNA_3553","B1vM1"
"49","mRNA_6472","B1vM1"
"50","mRNA_5145","B1vM1"
"51","mRNA_10347","B1vM1"
"52","mRNA_1520","B1vM1"
"53","mRNA_8071","B1vM1"
"54","mRNA_1341","B1vM1"
"55","mRNA_621","B1vM1"
"56","mRNA_2656","B1vM1"
"57","mRNA_4149","B1vM1"
"58","mRNA_299","B1vM1"
"59","mRNA_6708","B1vM1"
"60","mRNA_6246","B1vM1"
"61","mRNA_8451","S1vS6"
"62","mRNA_8458","M6vM1"
