"","Gene_ID","Comparison"
"1","Cluster-36085.0","Cv653"
"2","Cluster-15354.28956","Cv653"
"3","Cluster-15354.100852","Cv653"
"4","Cluster-15354.131693","Cv653"
"5","Cluster-15354.30036","Cv653"
"6","Cluster-15354.69862","Cv653"
"7","Cluster-15354.58791","Cv653"
"8","Cluster-15354.54116","Cv653"
"9","Cluster-15354.39338","Cv653"
"10","Cluster-15354.145370","Cv653"
"11","Cluster-15354.74476","Cv653"
"12","Cluster-15354.82116","Cv653"
"13","Cluster-15354.94574","Cv653"
"14","Cluster-15354.87490","Cv653"
"15","Cluster-15354.84254","Cv653"
"16","Cluster-15354.31054","Cv653"
"17","Cluster-15354.64834","Cv653"
"18","Cluster-15354.119602","Cv653"
"19","Cluster-15354.111665","Cv653"
"20","Cluster-15354.98295","Cv653"
"21","Cluster-15354.104574","Cv653"
"22","Cluster-15354.84420","Cv653"
"23","Cluster-15354.50921","Cv653"
"24","Cluster-15354.81569","Cv653"
"25","Cluster-15354.25748","Cv653"
"26","Cluster-15354.68326","Cv653"
"27","Cluster-15354.71609","Cv653"
"28","Cluster-15354.76178","Cv653"
"29","Cluster-15354.97445","Cv653"
"30","Cluster-15354.38955","Cv653"
"31","Cluster-15354.123160","Cv653"
"32","Cluster-15354.122770","Cv653"
"33","Cluster-49498.0","Cv653"
"34","Cluster-15354.87424","Cv653"
"35","Cluster-15354.27636","Cv653"
"36","Cluster-15354.42734","Cv653"
"37","Cluster-15354.83785","Cv653"
"38","Cluster-15354.57859","Cv653"
"39","Cluster-15354.79697","Cv653"
"40","Cluster-15354.96204","Cv653"
"41","Cluster-15354.136526","Cv653"
"42","Cluster-15354.69551","Cv653"
"43","Cluster-15354.65967","Cv653"
"44","Cluster-15354.88672","Cv653"
"45","Cluster-15354.3706","Cv653"
"46","Cluster-15354.109928","Cv653"
"47","Cluster-15354.67280","Cv653"
"48","Cluster-15354.126587","Cv653"
"49","Cluster-15354.77206","Cv653"
"50","Cluster-15354.93173","Cv653"
"51","Cluster-15354.81346","Cv653"
"52","Cluster-15354.82827","Cv653"
"53","Cluster-15354.34673","Cv653"
"54","Cluster-15354.135847","Cv653"
"55","Cluster-15354.78876","Cv653"
"56","Cluster-15354.63564","Cv653"
"57","Cluster-15354.81995","Cv653"
"58","Cluster-15354.86852","Cv653"
"59","Cluster-15354.82316","Cv653"
"60","Cluster-15354.77181","Cv653"
"61","Cluster-15354.122429","Cv653"
"62","Cluster-15354.84828","Cv653"
"63","Cluster-51899.0","Cv653"
"64","Cluster-15354.125059","Cv653"
"65","Cluster-15354.4421","Cv653"
"66","Cluster-15354.13834","Cv653"
"67","Cluster-15354.6437","Cv653"
"68","Cluster-15354.93292","Cv653"
"69","Cluster-15354.83555","Cv653"
"70","Cluster-15354.38585","Cv653"
"71","Cluster-15354.147644","Cv653"
"72","Cluster-15354.30479","Cv653"
"73","Cluster-15354.81946","Cv653"
"74","Cluster-15354.82121","Cv653"
"75","Cluster-15354.83261","Cv653"
"76","Cluster-15354.85892","Cv653"
"77","Cluster-15354.46150","Cv653"
"78","Cluster-15354.83543","Cv653"
"79","Cluster-15354.126588","Cv653"
"80","Cluster-15354.95337","Cv653"
"81","Cluster-15354.89255","Cv653"
"82","Cluster-15354.84351","Cv653"
"83","Cluster-15354.84468","Cv653"
"84","Cluster-15354.7969","Cv653"
"85","Cluster-15354.91648","Cv653"
"86","Cluster-15354.55907","Cv653"
"87","Cluster-15354.114845","Cv653"
"88","Cluster-15354.66454","Cv653"
"89","Cluster-15354.25620","Cv653"
"90","Cluster-15354.38251","Cv653"
"91","Cluster-15354.87320","Cv653"
"92","Cluster-15354.85894","Cv653"
"93","Cluster-15354.25458","Cv653"
"94","Cluster-15354.103467","Cv653"
"95","Cluster-15354.84729","Cv653"
"96","Cluster-15354.36521","Cv653"
"97","Cluster-15354.127493","Cv653"
"98","Cluster-15354.58887","Cv653"
"99","Cluster-15354.98883","Cv653"
"100","Cluster-15354.3789","Cv653"
"101","Cluster-15354.77377","Cv653"
"102","Cluster-15354.90394","Cv653"
"103","Cluster-15354.139018","Cv653"
"104","Cluster-15354.83667","Cv653"
"105","Cluster-15354.83322","Cv653"
"106","Cluster-15354.145367","Cv653"
"107","Cluster-15354.57513","Cv653"
"108","Cluster-15354.13839","Cv653"
"109","Cluster-15354.80645","Cv653"
"110","Cluster-15354.112965","Cv653"
"111","Cluster-15354.84368","Cv653"
"112","Cluster-15354.115739","Cv653"
"113","Cluster-15354.70257","Cv653"
"114","Cluster-15354.38685","Cv653"
"115","Cluster-15354.143223","Cv653"
"116","Cluster-15354.116348","Cv653"
"117","Cluster-15354.110630","Cv653"
"118","Cluster-15354.122773","Cv653"
"119","Cluster-15354.68250","Cv653"
"120","Cluster-15354.60930","Cv653"
"121","Cluster-15354.128645","Cv653"
"122","Cluster-15354.100020","Cv653"
"123","Cluster-15354.75705","Cv653"
"124","Cluster-15354.68515","Cv653"
"125","Cluster-15354.105592","Cv653"
"126","Cluster-15354.73133","Cv653"
"127","Cluster-15354.84105","Cv653"
"128","Cluster-15354.139123","Cv653"
"129","Cluster-15354.95926","Cv653"
"130","Cluster-15354.138630","Cv653"
"131","Cluster-15354.59559","Cv653"
"132","Cluster-15354.62741","Cv653"
"133","Cluster-15354.119051","Cv653"
"134","Cluster-15354.84076","Cv653"
"135","Cluster-15354.82906","Cv653"
"136","Cluster-15354.83514","Cv653"
"137","Cluster-15354.109164","Cv653"
"138","Cluster-15354.60877","Cv653"
"139","Cluster-15354.20378","Cv653"
"140","Cluster-15354.82631","Cv653"
"141","Cluster-15354.129089","Cv653"
"142","Cluster-15354.21560","Cv653"
"143","Cluster-15354.73058","Cv653"
"144","Cluster-15354.120210","Cv653"
"145","Cluster-15354.83475","Cv653"
"146","Cluster-15354.78302","Cv653"
"147","Cluster-15354.90879","Cv653"
"148","Cluster-15354.79186","Cv653"
"149","Cluster-15354.87763","Cv653"
"150","Cluster-15354.81437","Cv653"
"151","Cluster-15354.81124","Cv653"
"152","Cluster-15354.105466","Cv653"
"153","Cluster-15354.73369","Cv653"
"154","Cluster-15354.129626","Cv653"
"155","Cluster-15354.126582","Cv653"
"156","Cluster-15354.80186","Cv653"
"157","Cluster-15354.96748","Cv653"
"158","Cluster-15354.131576","Cv653"
"159","Cluster-15354.81339","Cv653"
"160","Cluster-15354.53568","Cv653"
"161","Cluster-15354.80228","Cv653"
"162","Cluster-15354.72755","Cv653"
"163","Cluster-15354.30654","Cv653"
"164","Cluster-15354.47055","Cv653"
"165","Cluster-15354.5338","Cv653"
"166","Cluster-15354.25197","Cv653"
"167","Cluster-15354.88028","Cv653"
"168","Cluster-15354.83320","Cv653"
"169","Cluster-15354.17663","Cv653"
"170","Cluster-15354.22449","Cv653"
"171","Cluster-15354.82499","Cv653"
"172","Cluster-15354.83494","Cv653"
"173","Cluster-15354.114870","Cv653"
"174","Cluster-15354.85042","Cv653"
"175","Cluster-15354.86743","Cv653"
"176","Cluster-15354.62009","Cv653"
"177","Cluster-15354.84875","Cv653"
"178","Cluster-15354.78545","Cv653"
"179","Cluster-15354.46731","Cv653"
"180","Cluster-15354.117757","Cv653"
"181","Cluster-15354.85674","Cv653"
"182","Cluster-15354.134535","Cv653"
"183","Cluster-15354.60933","Cv653"
"184","Cluster-15354.87166","Cv653"
"185","Cluster-15354.69204","Cv653"
"186","Cluster-15354.104638","Cv653"
"187","Cluster-15354.35777","Cv653"
"188","Cluster-15354.68622","Cv653"
"189","Cluster-15354.57504","Cv653"
"190","Cluster-15354.127278","Cv653"
"191","Cluster-15354.40680","Cv653"
"192","Cluster-15354.90605","Cv653"
"193","Cluster-15354.94044","Cv653"
"194","Cluster-15354.83070","Cv653"
"195","Cluster-15354.111421","Cv653"
"196","Cluster-15354.81274","Cv653"
"197","Cluster-15354.43464","Cv653"
"198","Cluster-15354.38767","Cv653"
"199","Cluster-15354.24694","Cv653"
"200","Cluster-15354.44274","Cv653"
"201","Cluster-15354.61935","Cv653"
"202","Cluster-15354.83360","Cv653"
"203","Cluster-15354.33019","Cv653"
"204","Cluster-15354.83479","Cv653"
"205","Cluster-15354.76122","Cv653"
"206","Cluster-15354.103758","Cv653"
"207","Cluster-15354.86688","Cv653"
"208","Cluster-15354.58306","Cv653"
"209","Cluster-15354.88966","Cv653"
"210","Cluster-15354.97610","Cv653"
"211","Cluster-15354.64627","Cv653"
"212","Cluster-15354.151253","Cv653"
"213","Cluster-15354.50855","Cv653"
"214","Cluster-15354.80005","Cv653"
"215","Cluster-15354.115176","Cv653"
"216","Cluster-15354.64374","Cv653"
"217","Cluster-15354.76843","Cv653"
"218","Cluster-15354.79453","Cv653"
"219","Cluster-15354.91537","Cv653"
"220","Cluster-15354.47108","Cv653"
"221","Cluster-15354.31908","Cv653"
"222","Cluster-15354.109456","Cv653"
"223","Cluster-15354.138733","Cv653"
"224","Cluster-15354.115079","Cv653"
"225","Cluster-15354.80006","Cv653"
"226","Cluster-15354.93112","Cv653"
"227","Cluster-15354.64963","Cv653"
"228","Cluster-15354.30173","Cv653"
"229","Cluster-15354.88324","Cv653"
"230","Cluster-15354.63881","Cv653"
"231","Cluster-15354.133381","Cv653"
"232","Cluster-15354.96846","Cv653"
"233","Cluster-15354.27677","Cv653"
"234","Cluster-15354.48923","Cv653"
"235","Cluster-15354.130030","Cv653"
"236","Cluster-15354.133828","Cv653"
"237","Cluster-15354.88132","Cv653"
"238","Cluster-15354.67556","Cv653"
"239","Cluster-15354.18863","Cv653"
"240","Cluster-15354.74016","Cv653"
"241","Cluster-15354.102576","Cv653"
"242","Cluster-15354.134697","Cv653"
"243","Cluster-15354.113286","Cv653"
"244","Cluster-15354.113534","Cv653"
"245","Cluster-15354.95774","Cv653"
"246","Cluster-15354.127490","Cv653"
"247","Cluster-15354.84728","Cv653"
"248","Cluster-15354.83481","Cv653"
"249","Cluster-15354.105285","Cv653"
"250","Cluster-15354.109649","Cv653"
"251","Cluster-15354.61106","Cv653"
"252","Cluster-15354.106084","Cv653"
"253","Cluster-15354.95978","Cv653"
"254","Cluster-15354.85134","Cv653"
"255","Cluster-15354.25623","Cv653"
"256","Cluster-15354.88129","Cv653"
"257","Cluster-15354.74501","Cv653"
"258","Cluster-15354.82170","Cv653"
"259","Cluster-15354.82325","Cv653"
"260","Cluster-15354.97991","Cv653"
"261","Cluster-15354.27784","Cv653"
"262","Cluster-15354.60028","Cv653"
"263","Cluster-15354.84827","Cv653"
"264","Cluster-15354.97215","Cv653"
"265","Cluster-15354.95154","Cv653"
"266","Cluster-15354.96402","Cv653"
"267","Cluster-15354.66028","Cv653"
"268","Cluster-15354.115042","Cv653"
"269","Cluster-15354.39541","Cv653"
"270","Cluster-15354.82315","Cv653"
"271","Cluster-15354.71194","Cv653"
"272","Cluster-15354.84833","Cv653"
"273","Cluster-15354.29120","Cv653"
"274","Cluster-15354.136781","Cv653"
"275","Cluster-15354.81067","Cv653"
"276","Cluster-15354.53523","Cv653"
"277","Cluster-15354.72020","Cv653"
"278","Cluster-15354.91216","Cv653"
"279","Cluster-15354.13920","Cv653"
"280","Cluster-15354.119906","Cv653"
"281","Cluster-15354.80066","Cv653"
"282","Cluster-15354.66524","Cv653"
"283","Cluster-15354.132252","Cv653"
"284","Cluster-15354.83467","Cv653"
"285","Cluster-15354.79694","Cv653"
"286","Cluster-15354.62013","Cv653"
"287","Cluster-15354.78625","Cv653"
"288","Cluster-15354.51511","Cv653"
"289","Cluster-15354.77035","Cv653"
"290","Cluster-15354.81003","Cv653"
"291","Cluster-15354.101364","Cv653"
"292","Cluster-15354.64951","Cv653"
"293","Cluster-15354.63962","Cv653"
"294","Cluster-15354.87581","Cv653"
"295","Cluster-15354.80287","Cv653"
"296","Cluster-15354.51831","Cv653"
"297","Cluster-15354.132609","Cv653"
"298","Cluster-15354.71196","Cv653"
"299","Cluster-15354.92789","Cv653"
"300","Cluster-15354.79261","Cv653"
"301","Cluster-15354.70899","Cv653"
"302","Cluster-15354.83410","Cv653"
"303","Cluster-15354.83903","Cv653"
"304","Cluster-15354.28443","Cv653"
"305","Cluster-15354.89269","Cv653"
"306","Cluster-15354.93511","Cv653"
"307","Cluster-15354.44530","Cv653"
"308","Cluster-15354.91760","Cv653"
"309","Cluster-15354.110626","Cv653"
"310","Cluster-15354.96048","Cv653"
"311","Cluster-15354.23167","Cv653"
"312","Cluster-15354.86804","Cv653"
"313","Cluster-15354.13835","Cv653"
"314","Cluster-15354.69615","Cv653"
"315","Cluster-15354.133278","Cv653"
"316","Cluster-15354.104392","Cv653"
"317","Cluster-15354.56984","Cv653"
"318","Cluster-15354.85258","Cv653"
"319","Cluster-15354.62937","Cv653"
"320","Cluster-15354.91156","Cv653"
"321","Cluster-15354.98083","Cv653"
"322","Cluster-15354.84776","Cv653"
"323","Cluster-15354.56273","Cv653"
"324","Cluster-15354.44983","Cv653"
"325","Cluster-15354.82765","Cv653"
"326","Cluster-15354.121609","Cv653"
"327","Cluster-15354.82909","Cv653"
"328","Cluster-15354.77085","Cv653"
"329","Cluster-15354.101635","Cv653"
"330","Cluster-15354.40524","Cv653"
"331","Cluster-15354.37903","Cv653"
"332","Cluster-15354.74981","Cv653"
"333","Cluster-15354.18501","Cv653"
"334","Cluster-15354.125660","Cv653"
"335","Cluster-15354.149913","Cv653"
"336","Cluster-15354.42584","Cv653"
"337","Cluster-15354.82473","Cv653"
"338","Cluster-15354.91984","Cv653"
"339","Cluster-15354.112551","Cv653"
"340","Cluster-15354.94797","Cv653"
"341","Cluster-15354.13061","Cv653"
"342","Cluster-15354.79686","Cv653"
"343","Cluster-15354.84112","Cv653"
"344","Cluster-15354.85986","Cv653"
"345","Cluster-15354.1729","Cv653"
"346","Cluster-15354.82719","Cv653"
"347","Cluster-15354.84211","Cv653"
"348","Cluster-15354.117112","Cv653"
"349","Cluster-15354.83272","Cv653"
"350","Cluster-15354.139691","Cv653"
"351","Cluster-15354.91001","Cv653"
"352","Cluster-15354.93669","Cv653"
"353","Cluster-15354.54112","Cv653"
"354","Cluster-15354.82190","Cv653"
"355","Cluster-15354.137543","Cv653"
"356","Cluster-15354.86738","Cv653"
"357","Cluster-15354.86482","Cv653"
"358","Cluster-15354.87315","Cv653"
"359","Cluster-15354.44803","Cv653"
"360","Cluster-15354.70324","Cv653"
"361","Cluster-15354.70178","Cv653"
"362","Cluster-15354.43076","Cv653"
"363","Cluster-15354.99538","Cv653"
"364","Cluster-15354.122769","Cv653"
"365","Cluster-15354.145364","Cv653"
"366","Cluster-15354.68700","Cv653"
"367","Cluster-42138.1","Cv653"
"368","Cluster-15354.67208","Cv653"
"369","Cluster-15354.81611","Cv653"
"370","Cluster-15354.30013","Cv653"
"371","Cluster-15354.69206","Cv653"
"372","Cluster-15354.97490","Cv653"
"373","Cluster-15354.29049","Cv653"
"374","Cluster-15354.106857","Cv653"
"375","Cluster-15354.93454","Cv653"
"376","Cluster-15354.46576","Cv653"
"377","Cluster-15354.80527","Cv653"
"378","Cluster-15354.82694","Cv653"
"379","Cluster-15354.84488","Cv653"
"380","Cluster-15354.47272","Cv653"
"381","Cluster-15354.40690","Cv653"
"382","Cluster-15354.109137","Cv653"
"383","Cluster-15354.58112","Cv653"
"384","Cluster-15354.54355","Cv653"
"385","Cluster-15354.110061","Cv653"
"386","Cluster-15354.63576","Cv653"
"387","Cluster-15354.86251","Cv653"
"388","Cluster-15354.74861","Cv653"
"389","Cluster-15354.78554","Cv653"
"390","Cluster-15354.109938","Cv653"
"391","Cluster-38827.3","Cv653"
"392","Cluster-15354.83913","Cv653"
"393","Cluster-15354.97881","Cv653"
"394","Cluster-15354.81970","Cv653"
"395","Cluster-15354.83970","Cv653"
"396","Cluster-15354.121982","Cv653"
"397","Cluster-15354.23780","Cv653"
"398","Cluster-15354.55179","Cv653"
"399","Cluster-15354.19827","Cv653"
"400","Cluster-15354.55691","Cv653"
"401","Cluster-15354.86521","Cv653"
"402","Cluster-15354.95041","Cv653"
"403","Cluster-46822.1","Cv653"
"404","Cluster-15354.37051","Cv653"
"405","Cluster-15354.80581","Cv653"
"406","Cluster-15354.83797","Cv653"
"407","Cluster-15354.107698","Cv653"
"408","Cluster-15354.37780","Cv653"
"409","Cluster-15354.88461","Cv653"
"410","Cluster-15354.81672","Cv653"
"411","Cluster-15354.101048","Cv653"
"412","Cluster-15354.77418","Cv653"
"413","Cluster-15354.107713","Cv653"
"414","Cluster-15354.112541","Cv653"
"415","Cluster-15354.112139","Cv653"
"416","Cluster-15354.91443","Cv653"
"417","Cluster-15354.83603","Cv653"
"418","Cluster-15354.53712","Cv653"
"419","Cluster-15354.90513","Cv653"
"420","Cluster-15354.64941","Cv653"
"421","Cluster-15354.56244","Cv653"
"422","Cluster-15354.61102","Cv653"
"423","Cluster-43864.0","Cv653"
"424","Cluster-15354.79863","Cv653"
"425","Cluster-15354.120239","Cv653"
"426","Cluster-15354.97607","Cv653"
"427","Cluster-35269.0","Cv653"
"428","Cluster-15354.30807","Cv653"
"429","Cluster-15354.134256","Cv653"
"430","Cluster-15354.95743","Cv653"
"431","Cluster-15354.36507","Cv653"
"432","Cluster-15354.40658","Cv653"
"433","Cluster-15354.64381","Cv653"
"434","Cluster-15354.92638","Cv653"
"435","Cluster-15354.62857","Cv653"
"436","Cluster-15354.81914","Cv653"
"437","Cluster-15354.107368","Cv653"
"438","Cluster-15354.91585","Cv653"
"439","Cluster-15354.18999","Cv653"
"440","Cluster-15354.86381","Cv653"
"441","Cluster-15354.133804","Cv653"
"442","Cluster-15354.96858","Cv653"
"443","Cluster-15354.85341","Cv653"
"444","Cluster-15354.43414","Cv653"
"445","Cluster-15354.85354","Cv653"
"446","Cluster-15354.43585","Cv653"
"447","Cluster-15354.106410","Cv653"
"448","Cluster-15354.47269","Cv653"
"449","Cluster-15354.107205","Cv653"
"450","Cluster-15354.84843","Cv653"
"451","Cluster-15354.111776","Cv653"
"452","Cluster-15354.77307","Cv653"
"453","Cluster-15354.80028","Cv653"
"454","Cluster-15354.60982","Cv653"
"455","Cluster-15354.113312","Cv653"
"456","Cluster-15354.87833","Cv653"
