"","Gene_ID","Comparison"
"1","Novel03424","Cv653"
"2","PGSC0003DMG400026354","Cv653"
"3","PGSC0003DMG400010498","Cv653"
"4","PGSC0003DMG400001283","Cv653"
"5","PGSC0003DMG400030382","Cv653"
"6","PGSC0003DMG400030092","Cv653"
"7","PGSC0003DMG400021353","Cv653"
"8","Novel01223","Cv653"
"9","PGSC0003DMG400016154","Cv653"
"10","PGSC0003DMG400004532","Cv653"
"11","PGSC0003DMG400021701","Cv653"
"12","PGSC0003DMG401012873","Cv653"
"13","PGSC0003DMG400009213","Cv653"
"14","PGSC0003DMG400016536","Cv653"
"15","PGSC0003DMG400012215","Cv653"
"16","PGSC0003DMG402027687","Cv653"
"17","PGSC0003DMG400025737","Cv653"
"18","PGSC0003DMG400020206","Cv653"
"19","PGSC0003DMG400016115","Cv653"
"20","PGSC0003DMG400007410","Cv653"
"21","PGSC0003DMG400013574","Cv653"
"22","PGSC0003DMG400001591","Cv653"
"23","Novel03054","Cv653"
"24","PGSC0003DMG400022855","Cv653"
"25","PGSC0003DMG400004168","Cv653"
"26","PGSC0003DMG400014264","Cv653"
"27","PGSC0003DMG400033572","Cv653"
"28","PGSC0003DMG400010637","Cv653"
"29","PGSC0003DMG400000440","Cv653"
"30","PGSC0003DMG400017198","Cv653"
"31","PGSC0003DMG400004659","Cv653"
"32","PGSC0003DMG400010485","Cv653"
"33","PGSC0003DMG400019386","Cv653"
"34","PGSC0003DMG400006351","Cv653"
"35","PGSC0003DMG400014200","Cv653"
"36","PGSC0003DMG400003964","Cv653"
"37","PGSC0003DMG400030684","Cv653"
"38","PGSC0003DMG400005862","Cv653"
"39","PGSC0003DMG400028631","Cv653"
"40","PGSC0003DMG400012163","Cv653"
"41","PGSC0003DMG400014345","Cv653"
"42","PGSC0003DMG400030802","Cv653"
"43","PGSC0003DMG400000345","Cv653"
"44","PGSC0003DMG402003830","Cv653"
"45","PGSC0003DMG400030009","Cv653"
"46","PGSC0003DMG400020017","Cv653"
"47","PGSC0003DMG400020638","Cv653"
"48","Novel00691","Cv653"
"49","PGSC0003DMG400012696","Cv653"
"50","PGSC0003DMG400026414","Cv653"
"51","PGSC0003DMG400021865","Cv653"
"52","PGSC0003DMG400016063","Cv653"
"53","PGSC0003DMG400027194","Cv653"
"54","PGSC0003DMG400002821","Cv653"
"55","PGSC0003DMG400004299","Cv653"
"56","Novel03005","Cv653"
"57","PGSC0003DMG400025174","Cv653"
"58","PGSC0003DMG400022500","Cv653"
"59","PGSC0003DMG400012847","Cv653"
"60","PGSC0003DMG400019667","Cv653"
"61","Novel00371","Cv653"
"62","PGSC0003DMG400019276","Cv653"
"63","PGSC0003DMG401028515","Cv653"
"64","PGSC0003DMG400031345","Cv653"
"65","PGSC0003DMG400007160","Cv653"
"66","PGSC0003DMG400015754","Cv653"
"67","PGSC0003DMG400027017","Cv653"
"68","PGSC0003DMG400026130","Cv653"
"69","PGSC0003DMG400014293","Cv653"
"70","PGSC0003DMG400035878","Cv653"
"71","PGSC0003DMG400008443","Cv653"
"72","PGSC0003DMG400027855","Cv653"
"73","PGSC0003DMG400030575","Cv653"
"74","PGSC0003DMG400010638","Cv653"
"75","PGSC0003DMG400024857","Cv653"
"76","PGSC0003DMG400018524","Cv653"
"77","PGSC0003DMG400019764","Cv653"
"78","PGSC0003DMG400015726","Cv653"
"79","PGSC0003DMG400002738","Cv653"
"80","PGSC0003DMG400012777","Cv653"
"81","PGSC0003DMG400002541","Cv653"
"82","PGSC0003DMG400020689","Cv653"
"83","PGSC0003DMG400017779","Cv653"
"84","Novel02915","Cv653"
"85","PGSC0003DMG400046040","Cv653"
"86","PGSC0003DMG400008420","Cv653"
"87","PGSC0003DMG400022348","Cv653"
"88","Novel02695","Cv653"
"89","PGSC0003DMG400009414","Cv653"
"90","PGSC0003DMG400013167","Cv653"
"91","PGSC0003DMG401025318","Cv653"
"92","Novel02204","Cv653"
"93","PGSC0003DMG400015319","Cv653"
"94","Novel02272","Cv653"
"95","Novel00900","Cv653"
"96","PGSC0003DMG400003144","Cv653"
"97","PGSC0003DMG400023375","Cv653"
"98","PGSC0003DMG400020021","Cv653"
"99","PGSC0003DMG402003899","Cv653"
"100","PGSC0003DMG400012762","Cv653"
"101","Novel02003","Cv653"
"102","PGSC0003DMG400024081","Cv653"
"103","PGSC0003DMG400015334","Cv653"
"104","Novel01300","Cv653"
"105","PGSC0003DMG400015488","Cv653"
"106","PGSC0003DMG400020050","Cv653"
"107","PGSC0003DMG400025221","Cv653"
"108","PGSC0003DMG400019511","Cv653"
"109","PGSC0003DMG400021258","Cv653"
"110","PGSC0003DMG400023728","Cv653"
"111","PGSC0003DMG400025752","Cv653"
"112","PGSC0003DMG400001631","Cv653"
"113","PGSC0003DMG400019971","Cv653"
"114","PGSC0003DMG400015464","Cv653"
"115","PGSC0003DMG400030052","Cv653"
"116","PGSC0003DMG400013887","Cv653"
"117","PGSC0003DMG400031097","Cv653"
"118","PGSC0003DMG402028683","Cv653"
"119","PGSC0003DMG401018530","Cv653"
"120","PGSC0003DMG401000554","Cv653"
"121","PGSC0003DMG400030220","Cv653"
"122","PGSC0003DMG400014879","Cv653"
