Novel00009,GO:1902578
Novel00023,GO:0006811
Novel00024,GO:0065007
Novel00044,GO:0015031
Novel00053,GO:0044710
Novel00107,GO:0008150
Novel00135,GO:0006082
Novel00184,GO:0016042
Novel00195,GO:0008150
Novel00284,GO:0006810
Novel00304,GO:0008150
Novel00322,GO:0006412
Novel00326,GO:0071840
Novel00333,GO:0051704
Novel00335,GO:0009058
Novel00339,GO:0008152
Novel00358,GO:0008150
Novel00371,GO:2000112
Novel00415,GO:0034654
Novel00447,GO:0044237
Novel00488,GO:0050789
Novel00551,GO:0050789
Novel00661,GO:0098655
Novel00697,GO:0044699
Novel00702,GO:0008152
Novel00707,GO:0060255
Novel00785,GO:0008152
Novel00790,GO:0055114
Novel00806,GO:0071704
Novel00819,GO:0015774
Novel00827,GO:0009890
Novel00845,GO:0065007
Novel00857,GO:0006461
Novel00924,GO:0071704
Novel00943,GO:0044260
Novel00997,GO:0055114
Novel01003,GO:0008150
Novel01041,GO:0006811
Novel01060,GO:0008152
Novel01091,GO:0044699
Novel01122,GO:0050789
Novel01223,GO:1901564
Novel01300,GO:0043170
Novel01306,GO:0016114
Novel01394,GO:0044238
Novel01403,GO:0051649
Novel01462,GO:0044260
Novel01500,GO:0007154
Novel01535,GO:0019222
Novel01590,GO:0008152
Novel01627,GO:0043170
Novel01629,GO:0006397
Novel01640,GO:0036211
Novel01727,GO:0006139
Novel01751,GO:0008152
Novel01774,GO:0034645
Novel01790,GO:0006950
Novel01794,GO:0008152
Novel01798,GO:0006996
Novel01816,GO:0033554
Novel01880,GO:0042493
Novel01882,GO:0006810
Novel01919,GO:0006464
Novel01922,GO:0071704
Novel01962,GO:0045184
Novel01973,GO:0022610
Novel01974,GO:0055085
Novel01983,GO:0006281
Novel02012,GO:0044710
Novel02052,GO:0009058
Novel02053,GO:0071840
Novel02065,GO:0044260
Novel02170,GO:0043170
Novel02347,GO:0008150
Novel02363,GO:0044249
Novel02365,GO:0007154
Novel02397,GO:0050896
Novel02438,GO:0044699
Novel02466,GO:0044260
Novel02603,GO:0006811
Novel02616,GO:0006139
Novel02678,GO:0006810
Novel02679,GO:0005975
Novel02698,GO:0009059
Novel02733,GO:0019538
Novel02774,GO:0015031
Novel02815,GO:0008150
Novel02885,GO:0044699
Novel02894,GO:0044699
Novel02908,GO:1990267
Novel02934,GO:0008152
Novel02947,GO:0008152
Novel02992,GO:0044707
Novel03005,GO:0046483
Novel03028,GO:0044260
Novel03041,GO:0006807
Novel03046,GO:1901576
Novel03096,GO:0008152
Novel03176,GO:0071704
Novel03196,GO:0044710
Novel03249,GO:0044699
Novel03269,GO:0006796
Novel03306,GO:0033036
Novel03362,GO:0044237
Novel03422,GO:0008150
Novel03424,GO:0009877
Novel03457,GO:0008152
Novel03458,GO:0006807
PGSC0003DMG400000047,GO:0008150
PGSC0003DMG400000067,GO:0050896
PGSC0003DMG400000086,GO:1901566
PGSC0003DMG400000128,GO:1901564
PGSC0003DMG400000132,GO:0032446
PGSC0003DMG400000138,GO:1901699
PGSC0003DMG400000193,GO:1901576
PGSC0003DMG400000211,GO:0008152
PGSC0003DMG400000244,GO:0044710
PGSC0003DMG400000246,GO:0005991
PGSC0003DMG400000279,GO:0009058
PGSC0003DMG400000286,GO:0044267
PGSC0003DMG400000345,GO:0009058
PGSC0003DMG400000425,GO:0055114
PGSC0003DMG400000484,GO:0044763
PGSC0003DMG400000491,GO:0045332
PGSC0003DMG400000493,GO:0044699
PGSC0003DMG400000505,GO:0006950
PGSC0003DMG400000537,GO:0071704
PGSC0003DMG400000545,GO:0042221
PGSC0003DMG400000555,GO:0080090
PGSC0003DMG400000584,GO:0007154
PGSC0003DMG400000597,GO:0046483
PGSC0003DMG400000600,GO:0006950
PGSC0003DMG400000621,GO:0022900
PGSC0003DMG400000639,GO:0015979
PGSC0003DMG400000721,GO:0050794
PGSC0003DMG400000735,GO:0071704
PGSC0003DMG400000744,GO:0044699
PGSC0003DMG400000803,GO:0008150
PGSC0003DMG400000811,GO:1901576
PGSC0003DMG400000828,GO:0009890
PGSC0003DMG400000872,GO:0044260
PGSC0003DMG400000951,GO:0008152
PGSC0003DMG400000965,GO:0006518
PGSC0003DMG400000976,GO:0008150
PGSC0003DMG400000984,GO:0008150
PGSC0003DMG400000985,GO:0044710
PGSC0003DMG400001082,GO:0015992
PGSC0003DMG400001126,GO:0034654
PGSC0003DMG400001221,GO:0050789
PGSC0003DMG400001283,GO:0032259
PGSC0003DMG400001371,GO:0030198
PGSC0003DMG400001410,GO:0050789
PGSC0003DMG400001422,GO:0008150
PGSC0003DMG400001434,GO:0008150
PGSC0003DMG400001444,GO:0071555
PGSC0003DMG400001452,GO:0000463
PGSC0003DMG400001513,GO:0044237
PGSC0003DMG400001528,GO:1901564
PGSC0003DMG400001529,GO:0006807
PGSC0003DMG400001550,GO:0006950
PGSC0003DMG400001551,GO:0006807
PGSC0003DMG400001570,GO:0009056
PGSC0003DMG400001574,GO:0008150
PGSC0003DMG400001590,GO:0044237
PGSC0003DMG400001591,GO:1903506
PGSC0003DMG400001617,GO:0006464
PGSC0003DMG400001627,GO:0032501
PGSC0003DMG400001630,GO:0044260
PGSC0003DMG400001659,GO:0050789
PGSC0003DMG400001690,GO:0043603
PGSC0003DMG400001759,GO:0044267
PGSC0003DMG400001772,GO:0009987
PGSC0003DMG400001808,GO:0051668
PGSC0003DMG400001853,GO:0071704
PGSC0003DMG400001915,GO:0008150
PGSC0003DMG400002045,GO:0043412
PGSC0003DMG400002049,GO:1901576
PGSC0003DMG400002068,GO:0008152
PGSC0003DMG400002144,GO:0010556
PGSC0003DMG400002151,GO:0006812
PGSC0003DMG400002153,GO:0036211
PGSC0003DMG400002156,GO:1901576
PGSC0003DMG400002167,GO:0006950
PGSC0003DMG400002196,GO:0008152
PGSC0003DMG400002204,GO:0009926
PGSC0003DMG400002217,GO:0006952
PGSC0003DMG400002345,GO:0044710
PGSC0003DMG400002386,GO:0009657
PGSC0003DMG400002388,GO:0008150
PGSC0003DMG400002392,GO:0006351
PGSC0003DMG400002426,GO:0007154
PGSC0003DMG400002452,GO:0000165
PGSC0003DMG400002473,GO:0006520
PGSC0003DMG400002483,GO:0044699
PGSC0003DMG400002487,GO:0098542
PGSC0003DMG400002534,GO:0050657
PGSC0003DMG400002541,GO:0006412
PGSC0003DMG400002597,GO:0006518
PGSC0003DMG400002612,GO:0055114
PGSC0003DMG400002688,GO:0044710
