Tags,GO ID,GO Name,GO Category,FDR,P-Value,Nr Test,Nr Reference,Non Annot Test,Non Annot Reference
[OVER],GO:0051274,beta-glucan biosynthetic process,BIOLOGICAL_PROCESS,4.93E-06,2.21E-09,16,293,859,116708
[OVER],GO:0016051,carbohydrate biosynthetic process,BIOLOGICAL_PROCESS,4.93E-06,3.14E-09,38,1652,837,115349
[OVER],GO:0035251,UDP-glucosyltransferase activity,MOLECULAR_FUNCTION,4.93E-06,1.92E-09,17,334,858,116667
[OVER],GO:0005975,carbohydrate metabolic process,BIOLOGICAL_PROCESS,4.93E-06,3.23E-09,89,6100,786,110901
[OVER],GO:0051273,beta-glucan metabolic process,BIOLOGICAL_PROCESS,6.02E-06,4.93E-09,16,311,859,116690
[OVER],GO:0030244,cellulose biosynthetic process,BIOLOGICAL_PROCESS,7.16E-06,7.03E-09,14,233,861,116768
[OVER],GO:0009250,glucan biosynthetic process,BIOLOGICAL_PROCESS,9.92E-06,1.14E-08,16,331,859,116670
[OVER],GO:0030243,cellulose metabolic process,BIOLOGICAL_PROCESS,1.04E-05,1.71E-08,14,251,861,116750
[OVER],GO:0016759,cellulose synthase activity,MOLECULAR_FUNCTION,1.04E-05,1.64E-08,13,209,862,116792
[OVER],GO:0016760,cellulose synthase (UDP-forming) activity,MOLECULAR_FUNCTION,1.04E-05,1.64E-08,13,209,862,116792
[OVER],GO:0006011,UDP-glucose metabolic process,BIOLOGICAL_PROCESS,1.07E-05,1.92E-08,13,212,862,116789
[OVER],GO:0046527,glucosyltransferase activity,MOLECULAR_FUNCTION,1.26E-05,2.48E-08,19,506,856,116495
[OVER],GO:0006006,glucose metabolic process,BIOLOGICAL_PROCESS,2.46E-05,5.23E-08,23,771,852,116230
[OVER],GO:0044262,cellular carbohydrate metabolic process,BIOLOGICAL_PROCESS,2.70E-05,6.20E-08,41,2098,834,114903
[OVER],GO:0044281,small molecule metabolic process,BIOLOGICAL_PROCESS,3.89E-05,9.56E-08,149,12942,726,104059
[OVER],GO:1901135,carbohydrate derivative metabolic process,BIOLOGICAL_PROCESS,3.96E-05,1.04E-07,71,4828,804,112173
