"","x"
"1","PGSC0003DMG400026354"
"2","PGSC0003DMG400030382"
"3","PGSC0003DMG400012163"
"4","PGSC0003DMG400030009"
"5","PGSC0003DMG400020638"
"6","PGSC0003DMG400016063"
"7","PGSC0003DMG400002821"
"8","PGSC0003DMG400012847"
"9","PGSC0003DMG400014029"
"10","PGSC0003DMG400027631"
"11","PGSC0003DMG400007160"
"12","PGSC0003DMG400020689"
"13","PGSC0003DMG401011372"
"14","Novel02695"
"15","PGSC0003DMG400013167"
"16","Novel02204"
"17","Novel00900"
"18","PGSC0003DMG400020021"
"19","PGSC0003DMG400011406"
"20","PGSC0003DMG400020829"
"21","PGSC0003DMG400017247"
"22","PGSC0003DMG400002426"
"23","PGSC0003DMG400014485"
"24","PGSC0003DMG400020118"
"25","Novel03457"
"26","Novel02216"
"27","PGSC0003DMG400005108"
"28","PGSC0003DMG400014753"
"29","PGSC0003DMG401025624"
"30","PGSC0003DMG401008471"
"31","PGSC0003DMG400023526"
"32","PGSC0003DMG400016462"
"33","PGSC0003DMG400023206"
"34","PGSC0003DMG400024310"
"35","PGSC0003DMG401030700"
"36","PGSC0003DMG400006368"
"37","Novel01727"
"38","PGSC0003DMG401019681"
"39","Novel03555"
"40","PGSC0003DMG400039789"
"41","PGSC0003DMG401030679"
"42","PGSC0003DMG400016625"
"43","Novel00018"
"44","PGSC0003DMG400025836"
"45","PGSC0003DMG400034293"
"46","PGSC0003DMG400013816"
"47","PGSC0003DMG400029643"
"48","Novel01816"
"49","PGSC0003DMG400026278"
"50","PGSC0003DMG400030692"
"51","PGSC0003DMG400011249"
"52","PGSC0003DMG400029617"
"53","PGSC0003DMG400024765"
"54","PGSC0003DMG401025807"
"55","PGSC0003DMG400008702"
"56","PGSC0003DMG400021761"
"57","PGSC0003DMG400031137"
"58","Novel00335"
"59","PGSC0003DMG401011536"
"60","PGSC0003DMG400008256"
"61","PGSC0003DMG402030647"
"62","PGSC0003DMG400027630"
"63","PGSC0003DMG400004643"
"64","PGSC0003DMG400032281"
"65","PGSC0003DMG401025892"
"66","PGSC0003DMG400042481"
"67","Novel01084"
"68","Novel03066"
"69","PGSC0003DMG400005010"
"70","PGSC0003DMG400022578"
"71","Novel02346"
"72","PGSC0003DMG401030227"
"73","PGSC0003DMG400032094"
"74","PGSC0003DMG400009565"
"75","PGSC0003DMG400017330"
"76","Novel00312"
"77","PGSC0003DMG400031263"
"78","PGSC0003DMG400005170"
"79","Novel02692"
"80","PGSC0003DMG400018922"
"81","PGSC0003DMG400019190"
"82","PGSC0003DMG400005837"
"83","PGSC0003DMG400015287"
"84","PGSC0003DMG400026853"
"85","Novel00009"
"86","Novel00406"
"87","PGSC0003DMG400008936"
"88","PGSC0003DMG400010067"
"89","Novel00024"
"90","PGSC0003DMG400016878"
"91","PGSC0003DMG400015636"
"92","PGSC0003DMG400006211"
"93","PGSC0003DMG401022752"
"94","PGSC0003DMG400032817"
"95","PGSC0003DMG400002837"
"96","PGSC0003DMG402031070"
"97","PGSC0003DMG402028848"
"98","PGSC0003DMG400005339"
"99","PGSC0003DMG400011277"
"100","PGSC0003DMG400030548"
"101","PGSC0003DMG400021857"
"102","PGSC0003DMG400021875"
"103","PGSC0003DMG400012536"
"104","PGSC0003DMG401014160"
"105","PGSC0003DMG400019307"
"106","Novel01234"
"107","PGSC0003DMG400005960"
"108","PGSC0003DMG401012010"
"109","PGSC0003DMG401017675"
"110","PGSC0003DMG400018461"
"111","Novel00785"
"112","PGSC0003DMG400027819"
"113","PGSC0003DMG402012883"
"114","PGSC0003DMG400004036"
"115","PGSC0003DMG400001627"
"116","PGSC0003DMG400017550"
"117","PGSC0003DMG401021462"
"118","PGSC0003DMG401031070"
"119","PGSC0003DMG400012118"
"120","PGSC0003DMG400028891"
"121","PGSC0003DMG400021785"
"122","Novel03422"
"123","PGSC0003DMG400014267"
"124","PGSC0003DMG400027333"
"125","Novel00201"
"126","PGSC0003DMG400028562"
"127","PGSC0003DMG400028568"
"128","PGSC0003DMG400021784"
"129","PGSC0003DMG400001371"
"130","PGSC0003DMG400024491"
"131","PGSC0003DMG400005538"
"132","PGSC0003DMG400022210"
"133","PGSC0003DMG400001848"
"134","PGSC0003DMG400041467"
"135","PGSC0003DMG400028797"
"136","PGSC0003DMG400027535"
"137","PGSC0003DMG400016623"
"138","PGSC0003DMG400015611"
"139","PGSC0003DMG400015799"
"140","PGSC0003DMG402025785"
"141","PGSC0003DMG400016270"
"142","PGSC0003DMG400030953"
"143","PGSC0003DMG400024161"
"144","PGSC0003DMG400016067"
"145","PGSC0003DMG400008223"
"146","PGSC0003DMG400001529"
"147","PGSC0003DMG400013229"
"148","PGSC0003DMG400034296"
