gene_id,B_653_readcount,B_CON_readcount,log2FoldChange,pval,padj
Cluster-15354.132252,0,1295.556337,#NAME?,2.39E-92,4.92E-87
Cluster-15354.52838,322.0599474,0,Inf,1.41E-36,1.46E-31
Cluster-15354.137009,196.0382086,1.315115496,7.2198,1.65E-22,1.14E-17
Cluster-15354.5770,17.93104889,337.4674723,-4.2342,6.60E-21,3.40E-16
Cluster-15354.77834,274.3832608,1827.678467,-2.7357,1.25E-19,5.14E-15
Cluster-15354.104244,288.8560542,14.18290439,4.3481,1.30E-18,4.47E-14
Cluster-15354.15127,38.9342615,441.198382,-3.5023,4.57E-18,1.35E-13
Cluster-15354.86688,0,705.3667679,#NAME?,1.22E-17,3.14E-13
Cluster-15354.47145,513.2635119,3130.419846,-2.6086,4.55E-17,1.04E-12
Cluster-15354.104976,50.52944903,487.0885273,-3.269,6.11E-17,1.25E-12
Cluster-15354.63552,254.3583296,0,Inf,6.69E-17,1.25E-12
Cluster-15354.82424,501.7698866,55.40197028,3.179,3.86E-16,6.64E-12
Cluster-15354.83813,283.513319,0,Inf,1.22E-15,1.94E-11
Cluster-15354.88563,3.706690226,464.7539594,-6.9702,1.64E-15,2.41E-11
Cluster-15354.109335,229.1549307,12.93732231,4.1467,2.43E-15,3.34E-11
Cluster-15354.16367,0,108.126294,#NAME?,3.39E-15,4.36E-11
Cluster-15354.150048,44.40987978,413.6186868,-3.2193,8.60E-15,1.04E-10
Cluster-15354.86852,2138.291446,342.4390659,2.6425,1.86E-14,2.13E-10
Cluster-15354.104735,2756.904897,527.8775818,2.3848,3.85E-14,4.18E-10
Cluster-15354.12734,0,72.43207917,#NAME?,5.45E-14,5.35E-10
Cluster-15354.52835,0,70.60599726,#NAME?,5.42E-14,5.35E-10
Cluster-15354.125147,0.714488493,551.9854984,-9.5935,6.05E-14,5.67E-10
Cluster-15354.118960,0,68.12233439,#NAME?,1.38E-13,1.18E-09
Cluster-15354.13929,0,193.8386163,#NAME?,1.37E-13,1.18E-09
Cluster-44418.0,171.394701,8.579073855,4.3204,1.56E-13,1.28E-09
Cluster-15354.133828,40.86649417,339.2375185,-3.0533,4.55E-13,3.48E-09
Cluster-15354.61106,2909.28598,613.3988068,2.2458,4.52E-13,3.48E-09
Cluster-15354.52836,102.2586896,0,Inf,5.20E-13,3.83E-09
Cluster-15354.126198,0,63.70479342,#NAME?,8.35E-13,5.94E-09
Cluster-15354.69262,701.8341872,124.7353515,2.4923,9.52E-13,6.55E-09
Cluster-15354.150737,21.25679939,230.5255848,-3.4389,1.04E-12,6.89E-09
Cluster-15354.77817,58.45054082,393.1787313,-2.7499,1.46E-12,9.39E-09
Cluster-15354.73058,0,61.3923865,#NAME?,2.10E-12,1.31E-08
Cluster-15354.97991,397.3737754,46.31890637,3.1008,3.04E-12,1.84E-08
Cluster-15354.51831,76.04114499,0,Inf,3.50E-12,2.06E-08
Cluster-15354.81630,1900.033094,465.8392598,2.0281,8.60E-12,4.93E-08
Cluster-15354.83650,1842.770524,223.8941338,3.041,9.49E-12,5.29E-08
Cluster-15354.131538,204.6965988,984.5593206,-2.266,1.12E-11,6.06E-08
Cluster-15354.42734,31.25070636,267.8789165,-3.0996,2.37E-11,1.25E-07
Cluster-15354.49637,3.393534991,95.97118796,-4.8217,3.44E-11,1.77E-07
Cluster-15354.78460,292.052819,33.06563532,3.1428,4.58E-11,2.30E-07
Cluster-15354.134930,426.5623882,2450.985871,-2.5225,5.00E-11,2.46E-07
Cluster-15354.82146,176.6643708,14.43720688,3.6131,5.69E-11,2.72E-07
Cluster-15354.85354,1820.566557,426.4813747,2.0938,5.80E-11,2.72E-07
Cluster-15354.67457,1619.349944,417.5731861,1.9553,6.25E-11,2.86E-07
Cluster-15354.146712,103.5088479,530.1153926,-2.3566,9.79E-11,4.39E-07
Cluster-15354.81067,1159.145525,297.5651734,1.9618,1.72E-10,7.55E-07
