Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference
[OVER]	GO:0043531	ADP binding	MOLECULAR_FUNCTION	4.7594637704237945E-9	5.728082525482963E-13	33	424	581	37983
[OVER]	GO:0005488	binding	MOLECULAR_FUNCTION	4.904683507073874E-8	1.180571309922704E-11	285	12753	329	25654
[OVER]	GO:0050896	response to stimulus	BIOLOGICAL_PROCESS	9.887208578436276E-7	4.759758612798785E-10	96	3078	518	35329
[OVER]	GO:0003824	catalytic activity	MOLECULAR_FUNCTION	9.887208578436276E-7	4.320659984750246E-10	222	9541	392	28866
[OVER]	GO:0050789	regulation of biological process	BIOLOGICAL_PROCESS	1.6689179896382054E-6	1.0042833010219072E-9	112	3877	502	34530
[OVER]	GO:0043167	ion binding	MOLECULAR_FUNCTION	1.955432481975048E-6	1.4120345278433371E-9	156	6104	458	32303
[OVER]	GO:0061809	NAD+ nucleotidase, cyclic ADP-ribose generating	MOLECULAR_FUNCTION	1.9567845386912162E-6	2.1195162893514196E-9	10	36	604	38371
[OVER]	GO:0003953	NAD+ nucleosidase activity	MOLECULAR_FUNCTION	1.9567845386912162E-6	2.1195162893514196E-9	10	36	604	38371
[OVER]	GO:0050135	NAD(P)+ nucleosidase activity	MOLECULAR_FUNCTION	1.9567845386912162E-6	2.1195162893514196E-9	10	36	604	38371
[OVER]	GO:1901363	heterocyclic compound binding	MOLECULAR_FUNCTION	8.104033292187838E-6	9.753319643985844E-9	182	7667	432	30740
[OVER]	GO:0097159	organic cyclic compound binding	MOLECULAR_FUNCTION	8.277300842634547E-6	1.0958034573231438E-8	182	7679	432	30728
[OVER]	GO:0110165	cellular anatomical entity	CELLULAR_COMPONENT	1.1462966567172544E-5	1.6555012493208633E-8	327	16130	287	22277
[OVER]	GO:0065007	biological regulation	BIOLOGICAL_PROCESS	1.3628418172092848E-5	2.1322594323890604E-8	120	4501	494	33906
[OVER]	GO:0050794	regulation of cellular process	BIOLOGICAL_PROCESS	3.947636452936675E-5	6.651451479253033E-8	100	3604	514	34803
[OVER]	GO:0006952	defense response	BIOLOGICAL_PROCESS	2.455030147270234E-4	4.431995692508547E-7	35	827	579	37580
[OVER]	GO:0016799	hydrolase activity, hydrolyzing N-glycosyl compounds	MOLECULAR_FUNCTION	2.752803268389025E-4	5.300860788810254E-7	10	70	604	38337
[OVER]	GO:0009987	cellular process	BIOLOGICAL_PROCESS	3.487689801193324E-4	7.13572350707504E-7	268	13097	346	25310
[OVER]	GO:0051716	cellular response to stimulus	BIOLOGICAL_PROCESS	3.834741760253826E-4	8.307299516737138E-7	53	1592	561	36815
[OVER]	GO:0007154	cell communication	BIOLOGICAL_PROCESS	4.031414122676875E-4	9.218542343345845E-7	40	1052	574	37355
[OVER]	GO:0008152	metabolic process	BIOLOGICAL_PROCESS	8.241408459700174E-4	1.9837305234565347E-6	231	11071	383	27336
[OVER]	GO:0043168	anion binding	MOLECULAR_FUNCTION	9.510745358183396E-4	2.4037267122620206E-6	91	3453	523	34954
[OVER]	GO:0007165	signal transduction	BIOLOGICAL_PROCESS	0.001992726945688909	5.276205657137562E-6	34	888	580	37519
[OVER]	GO:0023052	signaling	BIOLOGICAL_PROCESS	0.0024464364134720484	6.7719385617832615E-6	34	899	580	37508
[OVER]	GO:0003677	DNA binding	MOLECULAR_FUNCTION	0.0024569380871918636	7.0967040669881735E-6	62	2134	552	36273
[OVER]	GO:0006950	response to stress	BIOLOGICAL_PROCESS	0.0027363273700096754	8.23302253583366E-6	54	1774	560	36633
[OVER]	GO:0071704	organic substance metabolic process	BIOLOGICAL_PROCESS	0.0029651734494200973	9.278434190025578E-6	212	10196	402	28211
[OVER]	GO:0036094	small molecule binding	MOLECULAR_FUNCTION	0.004434178026621866	1.4408810533011238E-5	90	3566	524	34841
[OVER]	GO:0005622	intracellular anatomical structure	CELLULAR_COMPONENT	0.004729016856273345	1.593602984422357E-5	215	10452	399	27955
[OVER]	GO:0043229	intracellular organelle	CELLULAR_COMPONENT	0.004739884513411438	1.6543103970264978E-5	186	8791	428	29616
[OVER]	GO:0043226	organelle	CELLULAR_COMPONENT	0.004940993524059208	1.7839668518687717E-5	186	8802	428	29605
[OVER]	GO:0044238	primary metabolic process	BIOLOGICAL_PROCESS	0.005151940314901992	1.9221344296782014E-5	200	9614	414	28793
[OVER]	GO:0016491	oxidoreductase activity	MOLECULAR_FUNCTION	0.005498803733262522	2.1775415194367525E-5	57	1980	557	36427
[OVER]	GO:0019222	regulation of metabolic process	BIOLOGICAL_PROCESS	0.005498803733262522	2.1839032759376966E-5	73	2752	541	35655
[OVER]	GO:0004497	monooxygenase activity	MOLECULAR_FUNCTION	0.005516268790259002	2.323617856048442E-5	21	450	593	37957
[OVER]	GO:0043231	intracellular membrane-bounded organelle	CELLULAR_COMPONENT	0.005516268790259002	2.281560698581847E-5	175	8214	439	30193
[OVER]	GO:0043227	membrane-bounded organelle	CELLULAR_COMPONENT	0.005923315050645278	2.5663658902783732E-5	175	8231	439	30176
[OVER]	GO:0048511	rhythmic process	BIOLOGICAL_PROCESS	0.006978520743828078	3.107537218938968E-5	6	33	608	38374
[OVER]	GO:0031323	regulation of cellular metabolic process	BIOLOGICAL_PROCESS	0.01140604359913036	5.2163877333849275E-5	68	2581	546	35826
[OVER]	GO:0031224	intrinsic component of membrane	CELLULAR_COMPONENT	0.011614156871848537	5.4513433385737506E-5	139	6326	475	32081
