,Gene_ID,Comparison,NR ID,NT ID,KO Name,Swissprot ID,PFAM ID,KOG ID,Hit1_acc,,,,,,
1,Cluster-67248.75476,Cv653,XP_012835251.1,XM_012979797.1,"CCNC, SSN8",P93411,PF00382,KOG0794,CCC11_ORYSJ,,,,,,
2,Cluster-67248.137729,Cv653,XP_011074229.1,XM_012983412.1,--,F4I9T0,PF00400//PF04272,KOG1787,BCHB_ARATH,,,,,,
3,Cluster-67248.97664,Cv653,XP_011071733.1,XM_011073431.1,--,--,PF13414//PF04647//PF01920//PF00067//PF01544,--,-,,,SearchTerm,Comparison,Genes,
4,Cluster-21872.0,Cv653,Q9M5L6.1,DQ294281.1,"katE, CAT, catB, srpA",P55311,PF00199,KOG0047,CATA_SOLME,,,NBS,,,
5,Cluster-67248.101319,Cv653,XP_011079520.1,--,--,F4I8W1,PF10392//PF05109,--,DUF2_ARATH,,,LRR,Cv111,LRRX1_DICDI,GLO1_ARATH
6,Cluster-67248.107843,Cv653,--,--,--,--,--,--,-,,,NLR,,,
7,Cluster-67248.127520,Cv653,XP_011100313.1,XM_011102011.1,--,O23372,PF12125//PF04891//PF12937//PF00018,KOG0614,ATXR3_ARATH,,,PRR,Cv111,PRR37_ORYSJ,
8,Cluster-38634.0,Cv653,XP_011094308.1,--,--,Q9C942,--,--,CSE_ARATH,,,RLP,,,
9,Cluster-67248.132818,Cv653,XP_011100255.1,--,ERN1,Q9C5S2,PF06479,KOG1027,IRE1A_ARATH,,,RLK,,,
10,Cluster-67248.65887,Cv653,XP_012841109.1,XM_012985656.1,CNGF,Q8RWS9,PF00612//PF00520,KOG0501,CNGC5_ARATH,,,,,,
11,Cluster-73563.2,Cv653,XP_006593038.1,--,CYP26A,Q7LHG5,PF00447//PF04513//PF00665,KOG0017,YI31B_YEAST,,,,,,
12,Cluster-67248.13959,Cv653,O48935.1,AF024615.1,HVS,O48935,PF03936//PF01397//PF08625,--,TPSBF_MENPI,,,,,,
13,Cluster-11379.0,Cv653,XP_009149912.1,XM_009151664.1,LHCA4,P27521,--,--,CA4_ARATH,,,,,,
14,Cluster-67248.86831,Cv653,XP_011079923.1,XM_011081621.1,--,F4HZB2,PF02988//PF00400//PF04834,KOG1786,BCHA1_ARATH,,,,,,
15,Cluster-67248.99142,Cv653,XP_012845030.1,XM_011084678.1,TPS,Q9LMI0,PF02358//PF14565//PF00982,KOG1050,TPS7_ARATH,,,,,,
16,Cluster-67248.85568,Cv653,XP_012828048.1,--,--,O80674,PF00907,--,BH106_ARATH,,,,,,
17,Cluster-67248.90898,Cv653,--,--,--,--,PF12906//PF04554,--,-,,,,,,
18,Cluster-67248.96338,Cv653,XP_011087281.1,--,--,P92995,PF17064//PF01692//PF00190//PF02745,--,GLT1_ARATH,,,,,,
19,Cluster-67248.106883,Cv653,XP_006425687.1,XM_012991401.1,"SDHA, SDH1",O82663,PF01134//PF03789//PF01494//PF02910//PF01266//PF07992,KOG2403,SDHA1_ARATH,,,,,,
20,Cluster-67248.84097,Cv653,EYU22085.1,--,--,--,--,--,-,,,,,,
21,Cluster-67248.124400,Cv653,XP_011089164.1,XM_011090863.1,--,Q8RVL2,PF00648,KOG0045,DEK1_ARATH,,,,,,
22,Cluster-67248.76847,Cv653,XP_011072311.1,XM_011074009.1,--,Q945B6,PF09398//PF03171,--,AOP1L_ARATH,,,,,,
23,Cluster-67248.107305,Cv653,XP_012836087.1,--,--,--,PF00558,--,-,,,,,,
24,Cluster-67248.5351,Cv653,XP_009141833.1,XM_013889376.1,--,P10896,--,--,RCA_ARATH,,,,,,
25,Cluster-67248.116978,Cv653,XP_011074616.1,XM_011084016.1,--,Q9C516,PF00025//PF00503,KOG0082,XLG3_ARATH,,,,,,
26,Cluster-67248.118176,Cv653,CDP10548.1,XM_011079456.1,"USP7, UBP15",Q84WU2,PF00443//PF00917,KOG1863,UBP13_ARATH,,,,,,
27,Cluster-67248.145870,Cv653,XP_011080322.1,XM_011082020.1,--,F4IHS2,PF00176//PF00270//PF04851//PF06733,KOG0386,SYD_ARATH,,,,,,
28,Cluster-12724.0,Cv653,ADI52861.1,XM_013875157.1,"cynT, can",P27140,PF00484,KOG1578,BCA1_ARATH,,,,,,
29,Cluster-67248.60330,Cv653,XP_011071261.1,XM_003573997.2,"YARS, tyrS",Q9M876,PF00579//PF16714//PF01479,KOG2623,SYYM_ARATH,,,,,,
30,Cluster-67248.115049,Cv653,XP_012858358.1,XM_011078611.1,--,Q2PCF1,PF07728//PF00005//PF00910//PF13304//PF01637//PF02367//PF01061//PF00437//PF01695//PF03266//PF05496//PF01926//PF03193//PF00004,KOG0061,PDR2_NICPL,,,,,,
31,Cluster-67248.108528,Cv653,XP_011095119.1,XM_012976808.1,"WNK, PRKWNK",Q9SCU5,PF12678//PF11789//PF06455//PF17123//PF07714//PF00097//PF13639//PF12861//PF03854//PF14634//PF00069,KOG0584,WNK5_ARATH,,,,,,
32,Cluster-67248.36113,Cv653,XP_011099960.1,XM_011101658.1,KIFC2_3,F4IJK6,PF16796//PF09177//PF00038//PF00225,KOG0239,KN14R_ARATH,,,,,,
33,Cluster-67248.34321,Cv653,--,--,--,--,--,--,-,,,,,,
34,Cluster-67248.157720,Cv653,XP_011081850.1,--,--,P92960,--,--,KAT3_ARATH,,,,,,
35,Cluster-5943.0,Cv653,BAJ33858.1,XM_013881271.1,AGXT,Q56YA5,--,--,SGAT_ARATH,,,,,,
36,Cluster-67248.87698,Cv653,XP_012837002.1,XM_012981548.1,--,Q8H0U5,PF01073//PF01370,--,TIC62_ARATH,,,,,,
37,Cluster-67248.107452,Cv653,XP_012854141.1,--,--,Q9ZP55,PF01031,--,DRP4C_ARATH,,,,,,
38,Cluster-67248.150475,Cv653,XP_012839078.1,XM_011075535.1,--,Q0WVE9,PF00296//PF00083//PF00124//PF07690,KOG0254,PLST1_ARATH,,,,,,
39,Cluster-8912.0,Cv653,XP_006417177.1,XM_009119800.1,GAPA,Q9LPW0,PF02800//PF00044,KOG0657,G3PA2_ARATH,,,,,,
40,Cluster-67248.74132,Cv653,XP_012833752.1,XM_011090298.1,TRIP12,Q6WWW4,PF02985//PF03153,KOG0168,UPL3_ARATH,,,,,,
41,Cluster-67248.69949,Cv653,XP_012857780.1,XM_011083191.1,"CHD4, MI2B",Q9S775,PF13639//PF07649//PF05191//PF16866//PF00628//PF01780//PF00130,KOG0383,PKL_ARATH,,,,,,
42,Cluster-67248.91349,Cv653,XP_011100883.1,XM_002276361.3,--,P73627,--,KOG1235,Y1770_SYNY3,,,,,,
43,Cluster-67248.112030,Cv653,XP_012851940.1,--,kup,Q84YJ9,PF02705,--,HAK26_ORYSJ,,,,,,
44,Cluster-67248.101971,Cv653,XP_011083695.1,XM_012990460.1,"GPI, pgi",P54240,PF00342,KOG2446,G6PI1_CLAXA,,,,,,
45,Cluster-67248.92570,Cv653,XP_011079676.1,XM_011081374.1,--,Q9LZJ5,PF00437//PF00931//PF01637//PF06414//PF13304//PF00005//PF01926//PF03193//PF00664//PF01580,KOG0054,AB14C_ARATH,,,,,,
46,Cluster-67248.34459,Cv653,XP_011082168.1,--,--,--,--,--,-,,,,,,
47,Cluster-67248.103909,Cv653,XP_011070064.1,XM_011071762.1,"SUPT6H, SPT6",A8MS85,PF00096//PF15724//PF14641,KOG1856,SPT61_ARATH,,,,,,
48,Cluster-67248.49199,Cv653,AAV80394.1,--,CYP26A,P0CT39,PF04625//PF09338,KOG0017,TF26_SCHPO,,,,,,
49,Cluster-67248.94807,Cv653,--,--,--,--,--,--,-,,,,,,
50,Cluster-67248.115536,Cv653,XP_012837579.1,XM_011071625.1,E1.11.1.7,Q96522,PF00141,--,PER45_ARATH,,,,,,
51,Cluster-51470.0,Cv653,XP_004239737.1,XM_006345819.2,DNAJA2,Q04960,PF04567//PF00684//PF08073//PF01155,KOG0712,DNJH_CUCSA,,,,,,
52,Cluster-67248.13909,Cv653,XP_005838438.1,AB209597.1,--,P02452,PF01410//PF00093//PF02948,--,CO1A1_HUMAN,,,,,,
53,Cluster-67248.76489,Cv653,XP_011079717.1,KT992837.1,--,--,PF07496//PF05933,--,-,,,,,,
54,Cluster-67248.133030,Cv653,XP_012854853.1,XM_012999399.1,--,A1A5F2,PF02985//PF01602,KOG1822,HTR5B_XENTR,,,,,,
55,Cluster-31837.1,Cv653,--,XM_006534768.1,--,P70663,PF00036//PF07648//PF10591//PF13405//PF00050//PF09289//PF15761,KOG4004,SPRL1_MOUSE,,,,,,
56,Cluster-67248.106796,Cv653,XP_011073557.1,XM_011092988.1,--,--,PF12906//PF00757//PF05195//PF15678,--,-,,,,,,
57,Cluster-67248.97235,Cv653,XP_012849133.1,XM_012993679.1,APR,P92979,PF01507,--,APR1_ARATH,,,,,,
58,Cluster-67248.67629,Cv653,XP_006576082.1,--,--,--,--,--,-,,,,,,
59,Cluster-67248.62076,Cv653,XP_011082139.1,--,--,Q9SY91,PF07714//PF00069,--,PBL15_ARATH,,,,,,
60,Cluster-67248.106373,Cv653,--,--,--,--,PF09514,--,-,,,,,,
61,Cluster-67248.97704,Cv653,XP_002272195.1,XM_011092639.1,"CUL1, CDC53",Q94AH6,PF00888,KOG2166,CUL1_ARATH,,,,,,
62,Cluster-71973.0,Cv653,--,XR_366899.2,--,--,--,--,-,,,,,,
