Cluster-12724.0,GO:0006730
Cluster-21872.0,GO:0006979
Cluster-21903.0,GO:0008033
Cluster-24414.0,GO:0042254
Cluster-24764.0,GO:0009877
Cluster-29250.0,GO:0043087
Cluster-31837.1,GO:0007165
Cluster-32704.0,GO:0006468
Cluster-34321.0,GO:0006523
Cluster-34682.0,GO:0050853
Cluster-38695.1,GO:0007275
Cluster-40622.0,GO:0006412
Cluster-42771.0,GO:0006508
Cluster-44121.0,GO:0006260
Cluster-44468.0,GO:0006950
Cluster-51470.0,GO:0006355
Cluster-53550.0,GO:0042254
Cluster-5770.1,GO:0055114
Cluster-5860.1,GO:0015979
Cluster-6023.0,GO:0006544
Cluster-63417.0,GO:0006000
Cluster-64287.0,GO:0006355
Cluster-67248.100027,GO:0006355
Cluster-67248.100116,GO:0000272
Cluster-67248.100188,GO:0006355
Cluster-67248.100189,GO:0006568
Cluster-67248.100209,GO:0006869
Cluster-67248.100247,GO:0031047
Cluster-67248.100258,GO:0008152
Cluster-67248.100380,GO:0016310
Cluster-67248.100456,GO:0055114
Cluster-67248.100458,GO:0055114
Cluster-67248.100514,GO:0000160
Cluster-67248.100533,GO:0008152
Cluster-67248.100538,GO:0044564
Cluster-67248.100552,GO:0006304
Cluster-67248.100572,GO:0005975
Cluster-67248.100650,GO:0006464
Cluster-67248.100667,GO:0006629
Cluster-67248.100692,GO:0006520
Cluster-67248.100740,GO:0006118
Cluster-67248.100748,GO:0006810
Cluster-67248.100751,GO:0006810
Cluster-67248.100752,GO:0055085
Cluster-67248.100782,GO:0006804
Cluster-67248.100826,GO:0006013
Cluster-67248.100933,GO:0008152
Cluster-67248.100936,GO:0008152
Cluster-67248.101001,GO:0015947
Cluster-67248.101042,GO:0006144
Cluster-67248.101068,GO:0006508
Cluster-67248.101096,GO:0015858
Cluster-67248.101158,GO:0006810
Cluster-67248.101159,GO:0055085
Cluster-67248.101181,GO:0006508
Cluster-67248.101319,GO:0006891
Cluster-67248.101387,GO:0006855
Cluster-67248.101390,GO:0015893
Cluster-67248.101392,GO:0015893
Cluster-67248.101419,GO:0006144
Cluster-67248.101496,GO:0007165
Cluster-67248.101576,GO:0006144
Cluster-67248.101627,GO:0019521
Cluster-67248.101633,GO:0006807
Cluster-67248.101804,GO:0006520
Cluster-67248.101806,GO:0006520
Cluster-67248.101809,GO:0009058
Cluster-67248.101810,GO:0005975
Cluster-67248.101971,GO:0006098
Cluster-67248.101981,GO:0007165
Cluster-67248.102048,GO:0050992
Cluster-67248.102050,GO:0019288
Cluster-67248.102067,GO:0055114
Cluster-67248.102077,GO:0008654
Cluster-67248.102099,GO:0015992
Cluster-67248.102102,GO:0007264
Cluster-67248.102146,GO:0019684
Cluster-67248.102286,GO:0055114
Cluster-67248.102329,GO:0030150
Cluster-67248.102393,GO:0030001
Cluster-67248.102416,GO:0009058
Cluster-67248.102424,GO:0006355
Cluster-67248.102459,GO:0006144
Cluster-67248.102646,GO:0009405
Cluster-67248.102657,GO:0005975
Cluster-67248.102674,GO:0055114
Cluster-67248.102822,GO:0055114
Cluster-67248.102823,GO:0019836
Cluster-67248.102848,GO:0015031
Cluster-67248.102869,GO:0007165
Cluster-67248.103005,GO:0045859
Cluster-67248.103230,GO:0006511
Cluster-67248.103302,GO:0006955
Cluster-67248.103344,GO:0042128
Cluster-67248.103543,GO:0005975
Cluster-67248.103587,GO:0016114
Cluster-67248.103589,GO:0016114
Cluster-67248.103607,GO:0006351
Cluster-67248.103612,GO:0005975
Cluster-67248.103909,GO:0001503
Cluster-67248.103996,GO:0055114
Cluster-67248.104195,GO:0016117
Cluster-67248.104256,GO:0006355
Cluster-67248.104262,GO:0007049
Cluster-67248.104319,GO:0007218
Cluster-67248.104349,GO:0010508
Cluster-67248.104385,GO:0006865
Cluster-67248.104448,GO:0008152
Cluster-67248.104561,GO:0007264
Cluster-67248.104703,GO:0006468
Cluster-67248.105101,GO:0019058
Cluster-67248.105163,GO:0005982
Cluster-67248.105166,GO:0005982
Cluster-67248.105332,GO:0006418
Cluster-67248.105540,GO:0019048
Cluster-67248.105667,GO:0006448
Cluster-67248.105668,GO:0006448
Cluster-67248.105794,GO:0006355
Cluster-67248.105873,GO:0055114
Cluster-67248.106057,GO:0006629
Cluster-67248.106094,GO:0008299
Cluster-67248.106114,GO:0006364
Cluster-67248.106134,GO:0032780
Cluster-67248.106241,GO:0006457
Cluster-67248.106337,GO:0005975
Cluster-67248.106340,GO:0000902
Cluster-67248.106341,GO:0000902
Cluster-67248.106373,GO:0006355
Cluster-67248.106442,GO:0042967
Cluster-67248.106478,GO:0006479
Cluster-67248.106499,GO:0015940
Cluster-67248.106528,GO:0006355
Cluster-67248.106796,GO:0006468
Cluster-67248.106842,GO:0006118
Cluster-67248.106883,GO:0055114
Cluster-67248.107110,GO:0007094
Cluster-67248.107142,GO:0016310
Cluster-67248.107305,GO:0019076
Cluster-67248.107461,GO:0055114
Cluster-67248.107469,GO:0006508
Cluster-67248.107477,GO:0007264
Cluster-67248.107483,GO:0030244
Cluster-67248.107526,GO:0006952
Cluster-67248.107762,GO:0006355
Cluster-67248.107800,GO:0050776
Cluster-67248.107809,GO:0015696
Cluster-67248.107827,GO:0008152
Cluster-67248.107829,GO:0008152
Cluster-67248.107835,GO:0008152
Cluster-67248.107838,GO:0008152
Cluster-67248.107925,GO:0006879
Cluster-67248.107998,GO:0055114
Cluster-67248.108000,GO:0006413
Cluster-67248.108165,GO:0033014
Cluster-67248.108190,GO:0006812
Cluster-67248.108372,GO:0006355
Cluster-67248.108384,GO:0005975
Cluster-67248.108385,GO:0006310
Cluster-67248.108388,GO:0006814
Cluster-67248.108390,GO:0006310
Cluster-67248.108528,GO:0015992
Cluster-67248.10853,GO:0006073
Cluster-67248.108559,GO:0042254
Cluster-67248.108640,GO:0008152
Cluster-67248.109143,GO:0000372
Cluster-67248.109238,GO:0006886
Cluster-67248.109316,GO:0006355
Cluster-67248.109517,GO:0008152
Cluster-67248.109518,GO:0055114
Cluster-67248.109567,GO:0000160
Cluster-67248.109614,GO:0008152
Cluster-67248.109804,GO:0032780
Cluster-67248.109875,GO:0000413
Cluster-67248.109878,GO:0006260
Cluster-67248.109976,GO:0042773
Cluster-67248.110073,GO:0005975
Cluster-67248.110085,GO:0008152
Cluster-67248.110091,GO:0006468
Cluster-67248.110128,GO:0034968
Cluster-67248.110218,GO:0042398
Cluster-67248.110379,GO:0006486
Cluster-67248.110524,GO:0006468
Cluster-67248.110525,GO:0006468
Cluster-67248.110527,GO:0006468
Cluster-67248.110531,GO:0006468
Cluster-67248.110533,GO:0006468
Cluster-67248.110587,GO:0005985
Cluster-67248.110650,GO:0005975
Cluster-67248.110805,GO:0017038
Cluster-67248.110830,GO:0006520
Cluster-67248.110931,GO:0015948
Cluster-67248.110956,GO:0016055
Cluster-67248.110957,GO:0006629
Cluster-67248.111402,GO:0016567
Cluster-67248.111490,GO:0005975
Cluster-67248.111492,GO:0001575
Cluster-67248.111604,GO:0016114
Cluster-67248.111605,GO:0055114
Cluster-67248.111945,GO:0009308
Cluster-67248.112030,GO:0071805
Cluster-67248.112145,GO:0008210
Cluster-67248.112168,GO:0005975
Cluster-67248.112209,GO:0016192
Cluster-67248.112295,GO:0055114
Cluster-67248.112591,GO:0007017
Cluster-67248.112611,GO:0006554
Cluster-67248.112916,GO:0009966
Cluster-67248.113041,GO:0008152
Cluster-67248.113145,GO:0055085
Cluster-67248.113187,GO:0015992
Cluster-67248.113369,GO:0006098
Cluster-67248.113479,GO:0016192
Cluster-67248.113592,GO:0055114
Cluster-67248.113594,GO:0055114
Cluster-67248.113597,GO:0055114
Cluster-67248.113672,GO:0006334
Cluster-67248.114082,GO:0006351
Cluster-67248.114133,GO:0006468
Cluster-67248.114284,GO:0006810
Cluster-67248.114295,GO:0008152
Cluster-67248.114681,GO:0006508
Cluster-67248.114859,GO:0045040
Cluster-67248.114875,GO:0006355
Cluster-67248.114905,GO:0007165
Cluster-67248.114941,GO:0016310
Cluster-67248.115049,GO:0006810
Cluster-67248.115111,GO:0007018
Cluster-67248.115148,GO:0008210
Cluster-67248.115221,GO:0055114
Cluster-67248.115364,GO:0006807
Cluster-67248.115536,GO:0006804
Cluster-67248.115553,GO:0006260
Cluster-67248.115569,GO:0008152
Cluster-67248.115671,GO:0042254
Cluster-67248.115742,GO:0006355
Cluster-67248.115826,GO:0055085
Cluster-67248.115833,GO:0055085
Cluster-67248.115845,GO:0007010
Cluster-67248.115849,GO:0006418
Cluster-67248.115901,GO:0009058
Cluster-67248.115953,GO:0000160
Cluster-67248.115960,GO:0006952
Cluster-67248.115998,GO:0009772
Cluster-67248.116057,GO:0019538
Cluster-67248.116155,GO:0009405
Cluster-67248.116173,GO:0009308
Cluster-67248.116386,GO:0006355
Cluster-67248.116648,GO:0009058
Cluster-67248.116654,GO:0009058
Cluster-67248.116848,GO:0055085
Cluster-67248.116978,GO:0007165
Cluster-67248.117045,GO:0015992
Cluster-67248.117067,GO:0016117
Cluster-67248.117096,GO:0031412
Cluster-67248.117194,GO:0051225
Cluster-67248.117251,GO:0009058
Cluster-67248.117317,GO:0009405
Cluster-67248.117401,GO:0006468
Cluster-67248.117440,GO:0042967
Cluster-67248.117442,GO:0042967
Cluster-67248.117607,GO:0006468
Cluster-67248.117649,GO:0006355
Cluster-67248.117751,GO:0006508
Cluster-67248.117780,GO:0006310
Cluster-67248.117874,GO:0006400
Cluster-67248.117876,GO:0006508
Cluster-67248.118159,GO:0009098
Cluster-67248.118166,GO:0016579
Cluster-67248.118176,GO:0016579
Cluster-67248.118177,GO:0016579
Cluster-67248.118221,GO:0006118
Cluster-67248.118332,GO:0015628
Cluster-67248.118489,GO:0006419
Cluster-67248.118629,GO:0006352
Cluster-67248.118924,GO:0006468
Cluster-67248.119101,GO:0006418
Cluster-67248.119185,GO:0006886
Cluster-67248.119846,GO:0051603
Cluster-67248.119870,GO:0055085
Cluster-67248.12019,GO:0008152
Cluster-67248.120609,GO:0009405
Cluster-67248.120716,GO:0015893
Cluster-67248.120781,GO:0006885
Cluster-67248.12083,GO:0007165
Cluster-67248.120902,GO:0006560
Cluster-67248.121112,GO:0015992
Cluster-67248.121616,GO:0009231
Cluster-67248.121665,GO:0000162
Cluster-67248.121666,GO:0006571
Cluster-67248.121676,GO:0009073
Cluster-67248.121765,GO:0008152
Cluster-67248.121766,GO:0008152
Cluster-67248.121789,GO:0006468
Cluster-67248.121974,GO:0000902
Cluster-67248.122323,GO:0006265
Cluster-67248.122428,GO:0006355
Cluster-67248.122438,GO:0007017
Cluster-67248.122558,GO:0006955
Cluster-67248.122581,GO:0006310
Cluster-67248.122761,GO:0006457
Cluster-67248.122837,GO:0005975
Cluster-67248.122841,GO:0055114
Cluster-67248.122844,GO:0055114
Cluster-67248.122872,GO:0055114
Cluster-67248.123018,GO:0005982
Cluster-67248.123094,GO:0005985
Cluster-67248.123117,GO:0006352
Cluster-67248.123207,GO:0030259
Cluster-67248.123223,GO:0005975
Cluster-67248.123333,GO:0006284
Cluster-67248.123345,GO:0008152
Cluster-67248.123363,GO:0016192
Cluster-67248.123373,GO:0005975
Cluster-67248.123375,GO:0006012
Cluster-67248.123856,GO:0005975
Cluster-67248.124067,GO:0006024
Cluster-67248.124160,GO:0006940
Cluster-67248.124400,GO:0006508
Cluster-67248.124468,GO:0006412
Cluster-67248.124528,GO:0006914
Cluster-67248.124586,GO:0007165
Cluster-67248.124956,GO:0055114
Cluster-67248.125006,GO:0016192
Cluster-67248.125017,GO:0006468
Cluster-67248.125209,GO:0006886
Cluster-67248.125381,GO:0006560
Cluster-67248.125502,GO:0008643
Cluster-67248.125695,GO:0008152
Cluster-67248.125955,GO:0046488
Cluster-67248.126110,GO:0015940
Cluster-67248.126128,GO:0006468
Cluster-67248.126525,GO:0006323
Cluster-67248.126626,GO:0019684
Cluster-67248.126669,GO:0006807
Cluster-67248.126711,GO:0055114
Cluster-67248.126767,GO:0007155
Cluster-67248.127009,GO:0006479
Cluster-67248.127116,GO:0055114
Cluster-67248.127163,GO:0007165
Cluster-67248.127508,GO:0015031
Cluster-67248.127520,GO:0009399
Cluster-67248.127524,GO:0009399
Cluster-67248.127660,GO:0006807
Cluster-67248.127863,GO:0055085
Cluster-67248.127864,GO:0006465
Cluster-67248.128133,GO:0006351
Cluster-67248.128273,GO:0006075
Cluster-67248.128314,GO:0006810
Cluster-67248.128554,GO:0045040
Cluster-67248.129638,GO:0018279
Cluster-67248.130404,GO:0006807
Cluster-67248.130413,GO:0006807
Cluster-67248.130546,GO:0006355
Cluster-67248.130547,GO:0006355
Cluster-67248.130621,GO:0055114
Cluster-67248.130662,GO:0006419
Cluster-67248.130868,GO:0015992
Cluster-67248.130869,GO:0015992
Cluster-67248.130879,GO:0055114
Cluster-67248.130903,GO:0007018
Cluster-67248.130930,GO:0045444
Cluster-67248.131113,GO:0006355
Cluster-67248.131287,GO:0019643
Cluster-67248.131312,GO:0006694
Cluster-67248.131314,GO:0009058
Cluster-67248.131321,GO:0006412
Cluster-67248.131711,GO:0007165
Cluster-67248.131888,GO:0048193
Cluster-67248.131901,GO:0006457
Cluster-67248.131910,GO:0006813
Cluster-67248.131921,GO:0006508
Cluster-67248.132201,GO:0046417
Cluster-67248.132235,GO:0006914
Cluster-67248.132441,GO:0055114
Cluster-67248.132445,GO:0006508
Cluster-67248.132609,GO:0008152
Cluster-67248.132612,GO:0008152
Cluster-67248.132709,GO:0019295
Cluster-67248.132818,GO:0006397
Cluster-67248.132953,GO:0007049
Cluster-67248.133030,GO:0016192
Cluster-67248.133140,GO:0006260
Cluster-67248.133294,GO:0007155
Cluster-67248.133943,GO:0007017
Cluster-67248.134402,GO:0008210
Cluster-67248.134515,GO:0006950
Cluster-67248.134682,GO:0006468
Cluster-67248.13472,GO:0006007
Cluster-67248.135023,GO:0002949
Cluster-67248.135037,GO:0015992
Cluster-67248.135347,GO:0016579
Cluster-67248.135381,GO:0009247
Cluster-67248.135466,GO:0055114
Cluster-67248.135500,GO:0008152
Cluster-67248.135550,GO:0008152
Cluster-67248.135660,GO:0016192
Cluster-67248.135921,GO:0007049
Cluster-67248.136753,GO:0007165
Cluster-67248.136754,GO:0006950
Cluster-67248.137729,GO:0006810
Cluster-67248.138702,GO:0009116
Cluster-67248.138831,GO:0006508
Cluster-67248.139003,GO:0009058
Cluster-67248.139013,GO:0006810
Cluster-67248.13909,GO:0007275
Cluster-67248.13918,GO:0000746
Cluster-67248.139231,GO:0035556
Cluster-67248.139306,GO:0006508
Cluster-67248.139330,GO:0007165
Cluster-67248.13959,GO:0008152
Cluster-67248.139716,GO:0000902
Cluster-67248.140445,GO:0051258
Cluster-67248.140635,GO:0007059
Cluster-67248.141007,GO:0016567
Cluster-67248.141064,GO:0002949
Cluster-67248.141065,GO:0006777
Cluster-67248.141316,GO:0060478
Cluster-67248.141503,GO:0055085
Cluster-67248.142580,GO:0006631
Cluster-67248.142674,GO:0006810
Cluster-67248.143707,GO:0006357
Cluster-67248.143751,GO:0048280
Cluster-67248.143939,GO:0006144
Cluster-67248.144155,GO:0006099
Cluster-67248.144670,GO:0015976
Cluster-67248.145082,GO:0006914
Cluster-67248.145280,GO:0006890
Cluster-67248.145378,GO:0019217
Cluster-67248.145457,GO:0006144
Cluster-67248.145589,GO:0005982
Cluster-67248.145625,GO:0055114
Cluster-67248.146823,GO:0006144
