,Gene_ID,Comparison,Gene_name
1,Cluster-67248.75476,Cv653,XP_012835251.1
2,Cluster-67248.137729,Cv653,XP_011074229.1
3,Cluster-67248.97664,Cv653,XP_011071733.1
4,Cluster-21872.0,Cv653,Q9M5L6.1
5,Cluster-67248.101319,Cv653,XP_011079520.1
6,Cluster-67248.107843,Cv653,-
7,Cluster-67248.127520,Cv653,XP_011100313.1
8,Cluster-38634.0,Cv653,XP_011094308.1
9,Cluster-67248.132818,Cv653,XP_011100255.1
10,Cluster-67248.65887,Cv653,XP_012841109.1
11,Cluster-73563.2,Cv653,XP_006593038.1
12,Cluster-67248.13959,Cv653,O48935.1
13,Cluster-11379.0,Cv653,XP_009149912.1
14,Cluster-67248.86831,Cv653,XP_011079923.1
15,Cluster-67248.99142,Cv653,XP_012845030.1
16,Cluster-67248.85568,Cv653,XP_012828048.1
17,Cluster-67248.90898,Cv653,-
18,Cluster-67248.96338,Cv653,XP_011087281.1
19,Cluster-67248.106883,Cv653,XP_006425687.1
20,Cluster-67248.84097,Cv653,EYU22085.1
21,Cluster-67248.124400,Cv653,XP_011089164.1
22,Cluster-67248.76847,Cv653,XP_011072311.1
23,Cluster-67248.107305,Cv653,XP_012836087.1
24,Cluster-67248.5351,Cv653,XP_009141833.1
25,Cluster-67248.116978,Cv653,XP_011074616.1
26,Cluster-67248.118176,Cv653,CDP10548.1
27,Cluster-67248.145870,Cv653,XP_011080322.1
28,Cluster-12724.0,Cv653,ADI52861.1
29,Cluster-67248.60330,Cv653,XP_011071261.1
30,Cluster-67248.115049,Cv653,XP_012858358.1
31,Cluster-67248.108528,Cv653,XP_011095119.1
32,Cluster-67248.36113,Cv653,XP_011099960.1
33,Cluster-67248.34321,Cv653,-
34,Cluster-67248.157720,Cv653,XP_011081850.1
35,Cluster-5943.0,Cv653,BAJ33858.1
36,Cluster-67248.87698,Cv653,XP_012837002.1
37,Cluster-67248.107452,Cv653,XP_012854141.1
38,Cluster-67248.150475,Cv653,XP_012839078.1
39,Cluster-8912.0,Cv653,XP_006417177.1
40,Cluster-67248.74132,Cv653,XP_012833752.1
41,Cluster-67248.69949,Cv653,XP_012857780.1
42,Cluster-67248.91349,Cv653,XP_011100883.1
43,Cluster-67248.112030,Cv653,XP_012851940.1
44,Cluster-67248.101971,Cv653,XP_011083695.1
45,Cluster-67248.92570,Cv653,XP_011079676.1
46,Cluster-67248.34459,Cv653,XP_011082168.1
47,Cluster-67248.103909,Cv653,XP_011070064.1
48,Cluster-67248.49199,Cv653,AAV80394.1
49,Cluster-67248.94807,Cv653,-
50,Cluster-67248.115536,Cv653,XP_012837579.1
51,Cluster-51470.0,Cv653,XP_004239737.1
52,Cluster-67248.13909,Cv653,XP_005838438.1
53,Cluster-67248.76489,Cv653,XP_011079717.1
54,Cluster-67248.133030,Cv653,XP_012854853.1
55,Cluster-31837.1,Cv653,XM_006534768.1
56,Cluster-67248.106796,Cv653,XP_011073557.1
57,Cluster-67248.97235,Cv653,XP_012849133.1
58,Cluster-67248.67629,Cv653,XP_006576082.1
59,Cluster-67248.62076,Cv653,XP_011082139.1
60,Cluster-67248.106373,Cv653,-
61,Cluster-67248.97704,Cv653,XP_002272195.1
62,Cluster-71973.0,Cv653,XR_366899.2
63,Cluster-67248.55799,Cv653,XP_011085946.1
64,Cluster-67248.5858,Cv653,XP_009141833.1
65,Cluster-67248.57902,Cv653,XP_012855602.1
66,Cluster-67248.97736,Cv653,XP_011102236.1
67,Cluster-67248.76270,Cv653,XP_012829722.1
68,Cluster-67248.115450,Cv653,XP_011074531.1
69,Cluster-67248.141316,Cv653,XP_011099247.1
70,Cluster-67248.128314,Cv653,XP_011076913.1
71,Cluster-67248.98373,Cv653,EYU20032.1
