,Gene_ID,Comparison,Gene_name
1,Novel03424,Cv653,XP_009625533.1
2,PGSC0003DMG400026354,Cv653,XP_006362880.1
3,PGSC0003DMG400010498,Cv653,XP_006367953.1
4,PGSC0003DMG400001283,Cv653,XP_006346269.1
5,PGSC0003DMG400030382,Cv653,XP_009622973.1
6,PGSC0003DMG400030092,Cv653,XP_009609248.1
7,PGSC0003DMG400021353,Cv653,XP_006348472.1
8,Novel01223,Cv653,EYU20493.1
9,PGSC0003DMG400016154,Cv653,XP_006353208.1
10,PGSC0003DMG400004532,Cv653,XP_006349353.1
11,PGSC0003DMG400021701,Cv653,XP_006361962.1
12,PGSC0003DMG401012873,Cv653,XP_006340557.1
13,PGSC0003DMG400009213,Cv653,XP_006351170.1
14,PGSC0003DMG400016536,Cv653,XP_006356160.1
15,PGSC0003DMG400012215,Cv653,XP_006343994.1
16,PGSC0003DMG402027687,Cv653,XP_006366824.1
17,PGSC0003DMG400025737,Cv653,XP_006346281.1
18,PGSC0003DMG400020206,Cv653,XP_006338711.1
19,PGSC0003DMG400016115,Cv653,XP_006353145.1
20,PGSC0003DMG400007410,Cv653,XP_004251036.1
21,PGSC0003DMG400013574,Cv653,XP_006353768.1
22,PGSC0003DMG400001591,Cv653,XP_006359669.1
23,Novel03054,Cv653,XP_006352282.1
24,PGSC0003DMG400022855,Cv653,XP_010024490.1
25,PGSC0003DMG400004168,Cv653,NDA1
26,PGSC0003DMG400014264,Cv653,XP_006353371.1
27,PGSC0003DMG400033572,Cv653,XP_006351731.1
28,PGSC0003DMG400010637,Cv653,XP_009793443.1
29,PGSC0003DMG400000440,Cv653,XP_006348995.1
30,PGSC0003DMG400017198,Cv653,XP_006354442.1
31,PGSC0003DMG400004659,Cv653,XP_006349916.1
32,PGSC0003DMG400010485,Cv653,XP_006365622.1
33,PGSC0003DMG400019386,Cv653,ACF17667.1
34,PGSC0003DMG400006351,Cv653,XP_004236733.1
35,PGSC0003DMG400014200,Cv653,XP_006341380.1
36,PGSC0003DMG400003964,Cv653,XP_006351020.1
37,PGSC0003DMG400030684,Cv653,XP_006359498.1
38,PGSC0003DMG400005862,Cv653,XP_010480024.1
39,PGSC0003DMG400028631,Cv653,XP_004252305.1
40,PGSC0003DMG400012163,Cv653,XP_006343887.1
41,PGSC0003DMG400014345,Cv653,XP_006353296.1
42,PGSC0003DMG400030802,Cv653,XP_002298397.2
43,PGSC0003DMG400000345,Cv653,XP_004251656.1
44,PGSC0003DMG402003830,Cv653,XP_006356643.1
45,PGSC0003DMG400030009,Cv653,XP_002263654.2
46,PGSC0003DMG400020017,Cv653,AFU52655.1
47,PGSC0003DMG400020638,Cv653,XP_006344092.1
48,Novel00691,Cv653,XP_006339026.1
49,PGSC0003DMG400012696,Cv653,XP_010319169.1
50,PGSC0003DMG400026414,Cv653,XP_006360953.1
51,PGSC0003DMG400021865,Cv653,XP_004248177.1
52,PGSC0003DMG400016063,Cv653,XP_006338201.1
53,PGSC0003DMG400027194,Cv653,XP_006355688.1
