,Gene_ID,Comparison,Gene_name
1,Cluster-36085.0,Cv653,XM_009152285.1
2,Cluster-15354.28956,Cv653,CDX75539.1
3,Cluster-15354.100852,Cv653,XP_009133111.1
4,Cluster-15354.131693,Cv653,XP_009128451.1
5,Cluster-15354.30036,Cv653,XP_009128983.1
6,Cluster-15354.69862,Cv653,XP_009119980.1
7,Cluster-15354.58791,Cv653,CDY62680.1
8,Cluster-15354.54116,Cv653,XP_009134016.1
9,Cluster-15354.39338,Cv653,XP_009108895.1
10,Cluster-15354.145370,Cv653,XP_009104769.1
11,Cluster-15354.74476,Cv653,XP_009113880.1
12,Cluster-15354.82116,Cv653,CDY04834.1
13,Cluster-15354.94574,Cv653,XM_013836734.1
14,Cluster-15354.87490,Cv653,CDY09570.1
15,Cluster-15354.84254,Cv653,CDY41143.1
16,Cluster-15354.31054,Cv653,XM_013797150.1
17,Cluster-15354.64834,Cv653,KFK30163.1
18,Cluster-15354.119602,Cv653,XP_006411151.1
19,Cluster-15354.111665,Cv653,CDY33607.1
20,Cluster-15354.98295,Cv653,CDX80379.1
21,Cluster-15354.104574,Cv653,XP_009133248.1
22,Cluster-15354.84420,Cv653,CDX78669.1
23,Cluster-15354.50921,Cv653,NP_567921.1
24,Cluster-15354.81569,Cv653,XM_013830703.1
25,Cluster-15354.25748,Cv653,CDX90682.1
26,Cluster-15354.68326,Cv653,CDY33018.1
27,Cluster-15354.71609,Cv653,XP_006285963.1
28,Cluster-15354.76178,Cv653,XP_009137373.1
29,Cluster-15354.97445,Cv653,CDY52690.1
30,Cluster-15354.38955,Cv653,CDY49026.1
31,Cluster-15354.123160,Cv653,CDY09709.1
32,Cluster-15354.122770,Cv653,XP_009135058.1
33,Cluster-49498.0,Cv653,CDX86336.1
34,Cluster-15354.87424,Cv653,XP_009113389.1
35,Cluster-15354.27636,Cv653,XM_009108888.1
36,Cluster-15354.42734,Cv653,CDY28305.1
37,Cluster-15354.83785,Cv653,XP_009141679.1
38,Cluster-15354.57859,Cv653,XM_013794611.1
39,Cluster-15354.79697,Cv653,XM_013800501.1
40,Cluster-15354.96204,Cv653,CDX69935.1
41,Cluster-15354.136526,Cv653,CDX70591.1
42,Cluster-15354.69551,Cv653,XP_009129814.1
43,Cluster-15354.65967,Cv653,XM_009120244.1
44,Cluster-15354.88672,Cv653,XM_013879985.1
45,Cluster-15354.3706,Cv653,XM_013869618.1
46,Cluster-15354.109928,Cv653,XM_009145702.1
47,Cluster-15354.67280,Cv653,CDY50124.1
48,Cluster-15354.126587,Cv653,XP_009111600.1
49,Cluster-15354.77206,Cv653,XP_009138698.1
50,Cluster-15354.93173,Cv653,AHN09414.1
51,Cluster-15354.81346,Cv653,XP_010446757.1
52,Cluster-15354.82827,Cv653,XP_009114497.1
53,Cluster-15354.34673,Cv653,CDX67923.1
54,Cluster-15354.135847,Cv653,XP_010426065.1
55,Cluster-15354.78876,Cv653,XP_006431824.1
56,Cluster-15354.63564,Cv653,XP_009104436.1
57,Cluster-15354.81995,Cv653,XP_009112283.1
58,Cluster-15354.86852,Cv653,CDX96231.1
59,Cluster-15354.82316,Cv653,XP_009143521.1
60,Cluster-15354.77181,Cv653,NP_196930.2
61,Cluster-15354.122429,Cv653,XP_009144875.1
62,Cluster-15354.84828,Cv653,XP_006407174.1
63,Cluster-51899.0,Cv653,XP_009102464.1
64,Cluster-15354.125059,Cv653,XP_006405110.1
65,Cluster-15354.4421,Cv653,XP_010436756.1
66,Cluster-15354.13834,Cv653,XP_009118966.1
67,Cluster-15354.6437,Cv653,CDY30689.1
68,Cluster-15354.93292,Cv653,CDX89233.1
69,Cluster-15354.83555,Cv653,CDY32315.1
70,Cluster-15354.38585,Cv653,XM_013798000.1
71,Cluster-15354.147644,Cv653,CDX94370.1
72,Cluster-15354.30479,Cv653,CDX70128.1
73,Cluster-15354.81946,Cv653,XM_009146042.1
74,Cluster-15354.82121,Cv653,XP_009123934.1
75,Cluster-15354.83261,Cv653,XM_013841610.1
76,Cluster-15354.85892,Cv653,CDY34173.1
77,Cluster-15354.46150,Cv653,CDX78340.1
78,Cluster-15354.83543,Cv653,XP_006417177.1
79,Cluster-15354.126588,Cv653,CDY04025.1
80,Cluster-15354.95337,Cv653,XP_006431272.1
81,Cluster-15354.89255,Cv653,XP_009104499.1
82,Cluster-15354.84351,Cv653,CDY67153.1
83,Cluster-15354.84468,Cv653,XP_009125910.1
84,Cluster-15354.7969,Cv653,XP_009144007.1
85,Cluster-15354.91648,Cv653,XP_006279987.1
86,Cluster-15354.55907,Cv653,CDY05352.1
87,Cluster-15354.114845,Cv653,XP_009146189.1
88,Cluster-15354.66454,Cv653,CDY68242.1
89,Cluster-15354.25620,Cv653,XP_009133967.1
90,Cluster-15354.38251,Cv653,CDY44006.1
91,Cluster-15354.87320,Cv653,XM_009122577.1
92,Cluster-15354.85894,Cv653,XP_006290863.1
93,Cluster-15354.25458,Cv653,XP_009116145.1
94,Cluster-15354.103467,Cv653,XP_009118697.1
95,Cluster-15354.84729,Cv653,XP_009134413.1
96,Cluster-15354.36521,Cv653,XM_009148628.1
97,Cluster-15354.127493,Cv653,XP_009134682.1
98,Cluster-15354.58887,Cv653,CDX68353.1
99,Cluster-15354.98883,Cv653,CDY51388.1
100,Cluster-15354.3789,Cv653,CDY13581.1
101,Cluster-15354.77377,Cv653,XP_009105069.1
102,Cluster-15354.90394,Cv653,XP_009130626.1
103,Cluster-15354.139018,Cv653,XP_009113198.1
104,Cluster-15354.83667,Cv653,XP_009102354.1
105,Cluster-15354.83322,Cv653,AC155339.1
106,Cluster-15354.145367,Cv653,XP_009106088.1
107,Cluster-15354.57513,Cv653,XP_006397467.1
