,Gene_ID,Comparison,NR ID,NT ID,KO Name,Swissprot ID,PFAM ID,KOG ID,Hit1_acc,,,,,,
1,Novel03424,Cv653,XP_009625533.1,XM_006354386.2,--,O53732,PF05401//PF01209//PF12831//PF00743//PF02558//PF07992//PF02737//PF01266//PF01593//PF08241//PF08123//PF05175//PF00070//PF03721//PF01135//PF01494//PF05891//PF01134,--,UFAA1_MYCTU,,,,,,
2,PGSC0003DMG400026354,Cv653,XP_006362880.1,XM_006362818.2,--,--,PF03600,--,-,,SearchTerm,Comparison,Genes,,
3,PGSC0003DMG400010498,Cv653,XP_006367953.1,HG975440.1,--,B3EWI4,PF07123,--,PST2_PETHY,,NBS,,,,
4,PGSC0003DMG400001283,Cv653,XP_006346269.1,XM_006346207.2,--,B6VJS4,PF00891,--,ROMT_VITVI,,LRR,Cv653,R13L1_ARATH,LRRX1_DICDI,NCED3_ARATH
5,PGSC0003DMG400030382,Cv653,XP_009622973.1,XM_015310197.1,E1.11.1.7,P22195,PF00141,--,PER1_ARAHY,,,Cv111,R13L1_ARATH,LRRX1_DICDI,NCED3_ARATH
6,PGSC0003DMG400030092,Cv653,XP_009609248.1,XM_006341260.2,--,F4J117,PF00782//PF04179//PF04741//PF07546//PF05706,--,LSF1_ARATH,,NLR,,,,
7,PGSC0003DMG400021353,Cv653,XP_006348472.1,XM_006348410.2,--,P43298,PF07714//PF00069//PF13855,--,TMK1_ARATH,,,,,,
8,Novel01223,Cv653,EYU20493.1,XM_006350012.2,"RP-L39e, RPL39",Q5SMI4,PF00832,KOG0002,RL393_ORYSJ,,PRR,Cv653,PRR95_ORYSJ,PRR1_TOBAC,
9,PGSC0003DMG400016154,Cv653,XP_006353208.1,HG975450.1,MRPL54,--,--,--,-,,,Cv111,PRR95_ORYSJ,,
10,PGSC0003DMG400004532,Cv653,XP_006349353.1,XM_006349291.2,petF,Q9ZTS2,PF00111,--,FER_CAPAN,,,111v653,PRR1_TOBAC,,
11,PGSC0003DMG400021701,Cv653,XP_006361962.1,XM_006361900.2,C1QBP,Q8W487,PF02330,KOG2536,YB95_ARATH,,,,,,
12,PGSC0003DMG401012873,Cv653,XP_006340557.1,XM_006340495.2,--,Q0WQF4,PF05531//PF00015//PF16740//PF10392//PF01158//PF00435,KOG2180,VP53A_ARATH,,RLP,Cv653,RLP12_ARATH,,
13,PGSC0003DMG400009213,Cv653,XP_006351170.1,XM_006351108.2,SLC45A1_2_4,Q03411,--,KOG0637,SUT_SPIOL,,,Cv111,RLP12_ARATH,,
14,PGSC0003DMG400016536,Cv653,XP_006356160.1,HG975445.1,--,--,--,--,-,,,111v653,RLP12_ARATH,,
15,PGSC0003DMG400012215,Cv653,XP_006343994.1,XM_015307151.1,--,Q8GXB3,PF02178,--,AHL5_ARATH,,RLK,,,,
16,PGSC0003DMG402027687,Cv653,XP_006366824.1,XM_006366762.2,SCPL-I,P07519,PF00450,KOG1282,CBP1_HORVU,,,,,,
17,PGSC0003DMG400025737,Cv653,XP_006346281.1,HG975440.1,--,Q9LMU1,PF02163,--,EGY3_ARATH,,,,,,
18,PGSC0003DMG400020206,Cv653,XP_006338711.1,XM_006338649.2,--,Q9FYA2,PF03106,--,WRK75_ARATH,,,,,,
19,PGSC0003DMG400016115,Cv653,XP_006353145.1,XM_006353083.2,E1.1.1.195,Q9ZRF1,PF13241//PF02737//PF08240//PF00107//PF02826//PF03446//PF01097//PF02629,KOG0023,MTDH_FRAAN,,,,,,
20,PGSC0003DMG400007410,Cv653,XP_004251036.1,XM_006349045.2,"RP-LP2, RPLP2",P41099,--,KOG3449,RLA2_PARAR,,,,,,
21,PGSC0003DMG400013574,Cv653,XP_006353768.1,XM_015311461.1,K07052,Q9NZW4,PF02517,--,DSPP_HUMAN,,,,,,
22,PGSC0003DMG400001591,Cv653,XP_006359669.1,XM_015314514.1,--,P27484,PF00098//PF00313,KOG3070,GRP2_NICSY,,,,,,
23,Novel03054,Cv653,XP_006352282.1,XM_004244557.2,--,Q9JZ44,PF00575,--,RS1_NEIMB,,,,,,
24,PGSC0003DMG400022855,Cv653,XP_010024490.1,NM_001288201.1,dxs,O78328,PF02775//PF02780//PF13292//PF00676,KOG0523,DXS_CAPAN,,,,,,
25,PGSC0003DMG400004168,Cv653,NDA1,NM_001318655.1,ndh1,M0ZYF3,PF07992//PF00737//PF00070,KOG2495,INDA1_SOLTU,,,,,,
26,PGSC0003DMG400014264,Cv653,XP_006353371.1,HG975442.1,--,--,PF14554,--,-,,,,,,
27,PGSC0003DMG400033572,Cv653,XP_006351731.1,XM_006351669.2,SENP7,Q8L7S0,PF02902,KOG0779,ULP2B_ARATH,,,,,,
28,PGSC0003DMG400010637,Cv653,XP_009793443.1,XM_006364371.2,"lcyB, crtL1, crtY",Q43503,PF05834//PF01266//PF07992//PF12831//PF01494//PF00070//PF01134,--,LCYB_SOLLC,,,,,,
29,PGSC0003DMG400000440,Cv653,XP_006348995.1,XM_006348933.2,--,Q94B55,PF00023//PF03275//PF13639//PF13606,KOG4177,XB31_ARATH,,,,,,
30,PGSC0003DMG400017198,Cv653,XP_006354442.1,XM_006354380.2,--,Q9SL05,--,--,PGR5_ARATH,,,,,,
31,PGSC0003DMG400004659,Cv653,XP_006349916.1,XM_006349854.2,E5.1.3.6,Q9LIS3,PF00106//PF00520//PF00056//PF01370//PF01073,KOG1371,GAE6_ARATH,,,,,,
32,PGSC0003DMG400010485,Cv653,XP_006365622.1,AK327246.1,"ppnK, NADK",Q5JK52,PF01513//PF00781,KOG2178,NADK1_ORYSJ,,,,,,
33,PGSC0003DMG400019386,Cv653,ACF17667.1,XM_006358593.2,E4.3.1.24,P26600,--,KOG0222,PAL5_SOLLC,,,,,,
34,PGSC0003DMG400006351,Cv653,XP_004236733.1,XM_006346648.2,E5.2.1.8,Q9M2S7,PF05680//PF00254,KOG0543,FK201_ARATH,,,,,,
35,PGSC0003DMG400014200,Cv653,XP_006341380.1,XM_006341318.2,FLOT,D2XNQ8,--,--,FLOT1_MEDTR,,,,,,
36,PGSC0003DMG400003964,Cv653,XP_006351020.1,XM_006350958.2,--,Q39117,PF02416,--,TGT2_ARATH,,,,,,
37,PGSC0003DMG400030684,Cv653,XP_006359498.1,XM_006359436.2,SLC17A,Q3E9A0,PF00083//PF03424//PF07690,KOG2532,ANTR6_ARATH,,,,,,
