Gene_id,readcount_S_653,readcount_S_111,log2FoldChange,pval,padj,Gene description,Gene name
Novel00955,1876.577628,3247.809348,-0.79136,0.00014855,0.045619,--,aldehyde oxidase 1 homolog [Solanum lycopersicum]
Novel01333,561.9875273,1245.467884,-1.1481,2.15E-06,0.0027588,--,PREDICTED: apyrase 2 isoform X2 [Solanum tuberosum]
Novel01454,33.27628278,85.35813268,-1.359,0.00016149,0.048639,--,PREDICTED: uncharacterized protein LOC102579386 [Solanum tuberosum]
Novel01569,45.76479152,316.9238111,-2.7918,2.12E-09,1.10E-05,--,PREDICTED: alpha-farnesene synthase-like [Solanum tuberosum]
Novel01887,303.1192988,685.7699929,-1.1778,3.95E-05,0.018183,--,"PREDICTED: type I inositol 1,4,5-trisphosphate 5-phosphatase CVP2-like [Solanum tuberosum]"
Novel02419,1434.190465,801.8826299,0.83877,8.35E-05,0.030062,--,PREDICTED: chalcone--flavonone isomerase-like isoform X1 [Solanum tuberosum]
Novel02516,1.009242058,131.0932025,-7.0212,2.93E-07,0.00076431,-//-,
PGSC0003DMG400000205,169.9592782,405.9395011,-1.2561,2.64E-07,0.0007508,Lanatoside 15'-O-acetylesterase [Source:PGSC_GENE;Acc:PGSC0003DMG400000205],
PGSC0003DMG400000425,238.0304467,115.9048815,1.0382,6.56E-05,0.025051,"Flavonoid 3',5'-hydroxylase [Source:PGSC_GENE;Acc:PGSC0003DMG400000425]",
PGSC0003DMG400000530,28.75720903,93.02173393,-1.6936,2.69E-06,0.0030062,Leaf senescence protein [Source:PGSC_GENE;Acc:PGSC0003DMG400000530],
PGSC0003DMG400000735,7290.689746,18602.38092,-1.3514,5.29E-05,0.021601,Glucose-1-phosphate adenylyltransferase [Source:PGSC_GENE;Acc:PGSC0003DMG400000735],
PGSC0003DMG400001559,73.61917023,263.1189581,-1.8376,5.43E-06,0.0051534,Transporter [Source:PGSC_GENE;Acc:PGSC0003DMG400001559],
PGSC0003DMG400001635,11.48170223,48.51472198,-2.0791,2.03E-05,0.0118,Chalcone synthase [Source:PGSC_GENE;Acc:PGSC0003DMG400001635],
PGSC0003DMG400002045,99.939067,29.57594335,1.7566,5.32E-05,0.021601,ATP binding protein [Source:PGSC_GENE;Acc:PGSC0003DMG400002045],
PGSC0003DMG400002345,57.5316684,143.2794111,-1.3164,2.21E-05,0.012165,Cytochrome P450 hydroxylase [Source:PGSC_GENE;Acc:PGSC0003DMG400002345],
