Gene_id,readcount_S_111,readcount_S_CON,log2FoldChange,pval,padj,Gene description,Gene name
EPlSTUG00000001246,8.756679011,0,Inf,0.0014365,0.027764,-//-,
Novel00013,76.97953751,24.70454342,1.6397,9.49E-06,0.00051363,-//-,
Novel00017,2828.742412,1652.522578,0.77549,0.00097078,0.020853,--,PREDICTED: uncharacterized protein LOC102604838 [Solanum tuberosum]
Novel00021,12.21704212,40.96844964,-1.7456,0.00031863,0.008896,--,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At3g47570 [Solanum lycopersicum]
Novel00023,22.47380939,66.19955853,-1.5586,5.06E-05,0.0020113,--,PREDICTED: TMV resistance protein N-like [Solanum tuberosum]
Novel00024,48.41852345,145.3869549,-1.5863,4.12E-08,4.36E-06,--,PREDICTED: TMV resistance protein N-like isoform X1 [Solanum tuberosum]>gi|565403452|ref|XP_006367173.1| PREDICTED: TMV resistance protein N-like isoform X2 [Solanum tuberosum]>gi|565403454|ref|XP_006367174.1| PREDICTED: TMV resistance protein N-like isoform X3 [Solanum tuberosum]>gi|565403456|ref|XP_006367175.1| PREDICTED: TMV resistance protein N-like isoform X4 [Solanum tuberosum]>gi|565403458|ref|XP_006367176.1| PREDICTED: TMV resistance protein N-like isoform X5 [Solanum tuberosum]>gi|565403460|ref|XP_006367177.1| PREDICTED: TMV resistance protein N-like isoform X6 [Solanum tuberosum]
Novel00027,14.93405533,49.24753309,-1.7214,0.00104,0.021941,--,PREDICTED: probable leucine-rich repeat receptor-like protein kinase At1g35710-like [Solanum tuberosum]
Novel00033,111.3885883,331.4006153,-1.573,2.58E-05,0.0011696,--,PREDICTED: chitin-binding lectin 1-like [Solanum tuberosum]
Novel00036,117.545997,61.31723165,0.93886,0.0015281,0.02891,--,PREDICTED: kirola-like [Solanum tuberosum]
Novel00064,237.9745468,469.879574,-0.98148,0.00038796,0.010259,--,"PREDICTED: uncharacterized protein LOC102600694, partial [Solanum tuberosum]"
Novel00078,15.87940659,171.5552084,-3.4334,9.25E-28,2.21E-24,--,PREDICTED: BURP domain-containing protein 17-like [Solanum tuberosum]
Novel00141,29.7906375,89.2534222,-1.583,4.54E-06,0.00027424,--,PREDICTED: acetylajmalan esterase [Solanum lycopersicum]
Novel00164,68.90312415,165.7150037,-1.2661,9.48E-06,0.00051363,--,PREDICTED: uncharacterized protein LOC102597311 isoform X4 [Solanum tuberosum]
